name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tegucigalpa, Distrito Central, Honduras",2022-01-01,28.1,15,21.4,28.1,15,21.4,15.2,70.3,0,0,0,,0,0,,18.3,76.4,1020.1,60.7,10.2,,,,,2022-01-01T06:13:12,2022-01-01T17:31:54,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-02,29.1,17.9,22.5,28.6,17.9,22.4,15,65.6,0,0,0,,0,0,,18.3,73.1,1020.4,47.2,10.1,,,,,2022-01-02T06:13:34,2022-01-02T17:32:28,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-03,28,14.7,21.5,28.3,14.7,21.5,15,68.7,0,0,0,,0,0,,24.1,49.3,1022.1,51.5,10,,,,,2022-01-03T06:13:55,2022-01-03T17:33:03,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-04,27.7,18,21.9,27.4,18,21.9,15.1,67.5,0,0,0,,0,0,44.6,37.5,30,1021.5,76.7,9.6,,,,,2022-01-04T06:14:15,2022-01-04T17:33:37,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-05,28,17,21.2,27.5,17,21.2,14.3,66.8,0,0,0,,0,0,,24.1,51.6,1019.6,57.8,9.5,,,,,2022-01-05T06:14:34,2022-01-05T17:34:12,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-06,27,16,20.9,27,16,20.9,14.5,68.5,0,0,0,,0,0,,18.3,54.9,1019,57.9,10,,,,,2022-01-06T06:14:52,2022-01-06T17:34:47,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-07,29,13,20.8,28.2,13,20.6,12.6,64.1,0,0,0,,0,0,,14.8,60.4,1020.7,33.7,10.6,,,,,2022-01-07T06:15:09,2022-01-07T17:35:22,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-08,27,17,20.8,26.9,17,20.8,13.7,65.6,0,0,0,,0,0,,20.5,45.9,1023.2,51.4,10.2,,,,,2022-01-08T06:15:25,2022-01-08T17:35:57,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-09,26.8,16.7,21,27.1,16.7,21,14.8,69.8,0,0,0,,0,0,,22.3,49.2,1023.6,68.7,9.6,,,,,2022-01-09T06:15:40,2022-01-09T17:36:31,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-10,24.9,17,19.9,24.9,17,19.9,15.8,78.7,0.3,100,8.33,rain,0,0,40.7,22.3,15.6,1023.2,75.5,8.8,188.8,10.4,6,10,2022-01-10T06:15:55,2022-01-10T17:37:06,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-11,27,16.2,20.8,26.6,16.2,20.7,14.1,69.2,0.9,100,4.17,rain,0,0,40.7,33.6,20.6,1023.3,52.7,9.5,203.2,14.6,9,10,2022-01-11T06:16:08,2022-01-11T17:37:41,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-12,27,16,20.4,26.8,16,20.3,14.5,71.7,4,100,4.17,rain,0,0,42.5,29.5,17.2,1022.5,56.9,9.9,232,16.7,9,10,2022-01-12T06:16:20,2022-01-12T17:38:15,0.33,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-13,26,16,19.6,26,16,19.6,15.6,79.6,0,0,0,,0,0,21.6,31.7,22.3,1022.9,59.1,8.9,234.9,17,9,10,2022-01-13T06:16:31,2022-01-13T17:38:49,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-14,25,16,20.2,25,16,20.2,13.9,69.2,0,0,0,rain,0,0,15.5,25.9,22.7,1021.7,57.6,8.8,226.3,16.1,9,10,2022-01-14T06:16:41,2022-01-14T17:39:23,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-15,29,11,19.6,28.1,11,19.5,12,65.9,0,0,0,,0,0,18.4,27.7,195.9,1020.6,18.5,10.1,252.3,18.2,9,10,2022-01-15T06:16:50,2022-01-15T17:39:57,0.43,Clear,Clear conditions throughout the day.,clear-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-16,28.7,12,20.5,28.3,12,20.5,13.3,66.1,0,0,0,rain,0,0,24.5,29.5,8.8,1021.3,32.2,10,214.7,15.5,9,10,2022-01-16T06:16:57,2022-01-16T17:40:31,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-17,24,16,19.1,24,16,19.1,14.4,75.3,0,0,0,,0,0,25.6,25.9,17.3,1022.1,86.6,10.2,207.2,14.8,9,10,2022-01-17T06:17:04,2022-01-17T17:41:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-18,26.2,15,19.6,26.2,15,19.6,13.4,69.4,0,0,0,,0,0,27.7,18.4,31.4,1021.9,72.5,9.5,254.4,18.4,9,10,2022-01-18T06:17:10,2022-01-18T17:41:37,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-19,27.1,16,21.5,27.1,16,21.5,14.3,66.6,0,0,0,,0,0,21.6,20.5,77.1,1021,66.3,10,255.9,18.5,9,10,2022-01-19T06:17:14,2022-01-19T17:42:10,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-20,28.7,15,21.4,27.9,15,21.4,13.4,63.6,0,0,0,,0,0,19.4,18.4,15.9,1020,38.4,10,256.5,18.5,9,10,2022-01-20T06:17:17,2022-01-20T17:42:42,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
"Tegucigalpa, Distrito Central, Honduras",2022-01-21,27,14,20.2,27.5,14,20.2,14.1,69.4,0,0,0,,0,0,21.2,25.9,27.5,1020.5,45.6,10,252.8,18.3,9,10,2022-01-21T06:17:20,2022-01-21T17:43:14,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78721099999,MHTG,78720099999"
