name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Thimphu, Bhutan",2022-01-01,11,-21.6,1.5,11,-21.6,1,-3.9,70.8,20,100,4.17,snow,,,14.4,14.1,131.7,1032.4,61.8,15,142.5,12.5,7,,2022-01-01T06:51:41,2022-01-01T17:18:03,0.95,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-02,14,-20.5,3.5,14,-20.5,2.9,-3.8,63.9,10,100,4.17,"rain,snow",,,26.3,27.7,150.2,1028.6,45.7,13.6,178.8,15.5,7,,2022-01-02T06:51:57,2022-01-02T17:18:44,0.98,"Snow, Rain, Partially cloudy",Clearing in the afternoon with morning rain or snow.,rain,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-03,13,-17.9,3.5,13,-17.9,2.5,-2.6,68.8,0,0,0,,,,49,25.6,146.1,1024.8,73.2,11.2,164.7,14.4,7,,2022-01-03T06:52:11,2022-01-03T17:19:26,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-04,15,-16.6,4,15,-20.5,3.3,-3.6,61.5,0,0,0,,,,49,24.1,139.6,1025.4,36.5,12.3,182.5,15.7,7,,2022-01-04T06:52:23,2022-01-04T17:20:09,0.05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-05,15.1,-18.2,4.9,15.1,-24.4,4.2,-2.6,62.8,0,0,0,,,,28.1,29.5,139.5,1024.3,47.3,15.1,138.6,12,5,,2022-01-05T06:52:34,2022-01-05T17:20:52,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-06,15,-9.9,5.8,15,-9.9,5.4,0.3,71.7,0,0,0,,,,28.1,26.6,161.3,1021.7,60.6,11.6,156.4,13.5,7,,2022-01-06T06:52:44,2022-01-06T17:21:36,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-07,16,-12.6,5.8,16,-12.6,5,0,71.1,0,0,0,,,,31,22.3,140.4,1023.4,43.1,12.2,165.6,14.2,7,,2022-01-07T06:52:52,2022-01-07T17:22:21,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-08,18,-10.4,6.1,18,-14.5,5.5,0,71,0,0,0,,,,34.9,35.8,144.2,1023.9,22.5,15,172.7,14.9,7,,2022-01-08T06:52:59,2022-01-08T17:23:06,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-09,18,-12.6,6,18,-12.6,5.5,-0.8,69.2,0,0,0,,,,34.9,33.5,154,1021.2,31.1,15.1,179.4,15.6,7,,2022-01-09T06:53:04,2022-01-09T17:23:52,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-10,16,-8.6,4.4,16,-10.6,3.6,-3,65.6,0.1,100,4.17,"rain,snow",0,0,39.2,29.5,167.9,1021,36.1,16.7,167.3,14.4,6,10,2022-01-10T06:53:07,2022-01-10T17:24:38,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-11,16,-17.5,1.6,16,-21.4,0.3,-7,64.6,0.6,100,20.83,"rain,snow",0,0,39.2,30.6,172.5,1022.1,53.3,18.9,180.9,16.2,7,10,2022-01-11T06:53:09,2022-01-11T17:25:24,0.28,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,rain,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-12,14,-9.1,2.3,14,-16.9,0.3,-4.2,66.6,1.3,100,8.33,snow,0,0.2,46.4,27.7,174.5,1019.3,83.9,14.6,109.7,9.8,6,10,2022-01-12T06:53:10,2022-01-12T17:26:11,0.31,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,rain,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-13,11,-12.4,1.7,11,-18.3,0.1,-3.9,70.4,0.8,100,33.33,"rain,snow",0.1,0.2,37.1,25.9,168.8,1020.1,70.2,12.7,175.6,15.3,7,10,2022-01-13T06:53:08,2022-01-13T17:26:59,0.34,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-14,15,-15.9,1,15,-19.9,-0.3,-7,61.4,0.2,100,8.33,"rain,snow",0,0,35.3,27.7,166.4,1021.1,48.1,18,184,16.5,7,10,2022-01-14T06:53:06,2022-01-14T17:27:46,0.38,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-15,13,-13.9,1.2,13,-17.1,0.3,-6.5,62.5,0.7,100,20.83,"rain,snow",0.1,0,48.2,29.5,158.4,1020.4,40.1,15.4,178.4,16,7,10,2022-01-15T06:53:01,2022-01-15T17:28:34,0.41,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-16,16,-14.8,0.9,16,-18.4,-1.5,-11.3,52,0,0,0,,0,0.1,64.4,25.9,198.6,1022.3,19.7,20.3,196.9,17.3,8,10,2022-01-16T06:52:56,2022-01-16T17:29:22,0.44,Clear,Clear conditions throughout the day.,clear-day,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-17,14,-19.3,-1.4,14,-23.5,-4.1,-13.2,44.6,0,0,0,,0,0,55.8,27.7,189.7,1025.8,26.2,22,179.1,15.8,7,10,2022-01-17T06:52:48,2022-01-17T17:30:10,0.48,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-18,16,-17.6,0,16,-17.9,-1.8,-10.1,54.9,0,0,0,,0,0,50.4,35.6,156.8,1022.6,52.8,18.3,166.7,14.9,7,10,2022-01-18T06:52:39,2022-01-18T17:30:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-19,10,-13.1,-1.6,10,-17.8,-4.5,-8.7,62.6,0.2,100,8.33,"rain,snow",0,0,50.4,25.6,140.2,1017.6,64.1,23.6,184.2,16.4,7,10,2022-01-19T06:52:29,2022-01-19T17:31:47,0.54,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-20,9,-9.1,-0.6,7.9,-17,-2.8,-4.6,76.7,0.4,100,4.17,snow,3.8,1.5,40.7,27,127.7,1014.5,91.1,10,111.3,9.9,5,10,2022-01-20T06:52:17,2022-01-20T17:32:36,0.58,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-21,9,-10.1,0.2,8,-15.3,-1.8,-4.4,74.7,3.7,100,29.17,snow,3.1,3.4,37.8,25.9,181.8,1015.2,84,9.4,151,13.4,6,10,2022-01-21T06:52:03,2022-01-21T17:33:25,0.61,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-22,10,-9.9,-0.7,10,-17.3,-3.7,-5.6,75,4.6,100,50,snow,3.7,5.4,39.2,22.7,160,1013.9,91.2,7.4,157.3,14,7,10,2022-01-22T06:51:48,2022-01-22T17:34:14,0.65,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-23,2.8,-11.1,-3.5,0.1,-17.9,-6.9,-6.4,81.6,3,100,45.83,snow,2.3,3.7,55.8,32.4,162.8,1015,86.4,10.5,127.9,11.4,5,10,2022-01-23T06:51:31,2022-01-23T17:35:02,0.68,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"55773099999,remote"
"Thimphu, Bhutan",2022-01-24,9,-17.5,-1.9,7.3,-18.5,-4.5,-7.1,72.4,3,100,25,snow,1.7,1.7,55.8,22.3,107.9,1017.6,88.4,11,152.3,13.6,7,10,2022-01-24T06:51:13,2022-01-24T17:35:51,0.72,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-25,12,-13.1,-0.4,12,-17,-1.8,-7,69.4,4.1,100,54.17,"rain,snow",1.9,2.9,41.8,29.5,162.7,1016.2,80.1,10.2,128,11.4,7,10,2022-01-25T06:50:53,2022-01-25T17:36:40,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-26,2.2,-14.3,-4.5,0,-20.8,-7.7,-7.6,80.5,8,100,50,snow,7.4,3.3,71.3,35.3,166.8,1016.6,86.5,9.7,105.1,9.6,5,10,2022-01-26T06:50:32,2022-01-26T17:37:28,0.79,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"55773099999,remote"
"Thimphu, Bhutan",2022-01-27,3.4,-20.9,-6,0.5,-23.5,-9.2,-10.9,70.7,3,100,33.33,snow,4.1,2.2,71.3,17.6,145.9,1018.9,63.7,17.3,152.1,13.5,7,10,2022-01-27T06:50:09,2022-01-27T17:38:17,0.82,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"55773099999,remote"
"Thimphu, Bhutan",2022-01-28,12,-18.2,-1.6,12,-18.2,-3.8,-9.8,61.6,0.3,100,12.5,"rain,snow",0,2.8,73.8,30.7,186.2,1018,42.7,16.8,197.8,17.3,8,10,2022-01-28T06:49:45,2022-01-28T17:39:05,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-29,13,-10.6,-1.3,13,-19,-4.5,-11.5,53.3,0,0,0,,0,0.3,65.9,27.4,123.3,1015.9,9.4,21.6,209.9,18,8,10,2022-01-29T06:49:19,2022-01-29T17:39:53,0.9,Clear,Clear conditions throughout the day.,clear-day,"VQPR,43399099999,55773099999,remote"
"Thimphu, Bhutan",2022-01-30,6.1,-16.3,-2.1,3.4,-16.3,-3.9,-10,64.2,0.2,100,8.33,"rain,snow",0.2,0,59,33.8,76.6,1011.5,66.7,21.2,172.4,14.9,7,10,2022-01-30T06:48:52,2022-01-30T17:40:41,0.93,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"55773099999,remote"
"Thimphu, Bhutan",2022-01-31,12,-12.8,-0.4,12,-16.6,-2.6,-5.1,75.2,2.5,100,25,snow,2.4,0.7,42.5,25.6,119,1013.7,85.6,10.5,158.4,13.8,7,10,2022-01-31T06:48:24,2022-01-31T17:41:28,0.97,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"VQPR,43399099999,55773099999,remote"
