name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Thiruvananthapuram, KL, India",2022-01-01,32.2,24.9,28.8,39.2,24.9,32.4,23.5,73.5,0.6,100,4.17,rain,0,0,,15.8,331.1,1012,51.5,4.9,257.1,22.2,9,,2022-01-01T06:36:35,2022-01-01T18:14:49,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOTV,43371099999,43377099999,43354099999,remote,43372099999"
"Thiruvananthapuram, KL, India",2022-01-02,32,25,28.8,38.5,25,32.6,24,76.2,0.5,100,4.17,rain,0,0,,30.6,282.3,1010.7,41.9,4.7,225.4,19.6,8,,2022-01-02T06:37:00,2022-01-02T18:15:20,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VOTV,43371099999,43377099999,43354099999,remote,43372099999"
"Thiruvananthapuram, KL, India",2022-01-03,32.6,25.9,29.4,37.9,25.9,33.4,23.7,72.5,0.076,100,4.17,rain,0,0,,9.4,227.3,1010.8,42,4.7,234.3,20.1,8,,2022-01-03T06:37:24,2022-01-03T18:15:52,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOTV,43371099999,43377099999,43354099999,43372099999"
"Thiruvananthapuram, KL, India",2022-01-04,32.2,25.9,28.9,37.9,25.9,32.7,23.7,74.5,0,0,0,,0,0,,21.6,251.7,1011.4,26,4.6,238.8,20.8,9,,2022-01-04T06:37:47,2022-01-04T18:16:23,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43377099999,43354099999,remote,43372099999"
"Thiruvananthapuram, KL, India",2022-01-05,32.4,24.7,28.6,36.9,24.7,31.6,23.1,72.9,0,0,0,,0,0,,11.2,279.7,1011.8,28.4,4.4,242,21,9,,2022-01-05T06:38:10,2022-01-05T18:16:55,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43377099999,43354099999,43372099999"
"Thiruvananthapuram, KL, India",2022-01-06,31.6,24.9,28.3,36.5,24.9,31.1,23.2,74.6,0,0,0,,0,0,,11.2,207.3,1011,32.5,4.1,251.6,22,9,,2022-01-06T06:38:32,2022-01-06T18:17:26,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43377099999,43354099999,43372099999"
"Thiruvananthapuram, KL, India",2022-01-07,31.5,24.7,28.4,37.1,24.7,31.6,23.8,76.7,0,0,0,,0,0,,11.2,262.3,1011.6,39.7,3.8,259.5,22.6,9,,2022-01-07T06:38:53,2022-01-07T18:17:57,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43377099999,43354099999,43372099999"
"Thiruvananthapuram, KL, India",2022-01-08,31,25.9,28.3,36.5,25.9,31.8,23.7,76.3,0.227,100,4.17,rain,0,0,,9.4,181.3,1011.9,52,4,244.2,21,9,,2022-01-08T06:39:13,2022-01-08T18:18:28,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VOTV,43371099999,43377099999,43354099999,43372099999"
"Thiruvananthapuram, KL, India",2022-01-09,31.2,24.9,27.7,36.5,24.9,30.3,23.4,77.9,0.755,100,4.17,rain,0,0,,18.4,49.6,1010.9,39.1,4.4,178.7,15.6,6,,2022-01-09T06:39:33,2022-01-09T18:18:59,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOTV,43371099999,43377099999,43354099999,remote,43372099999"
"Thiruvananthapuram, KL, India",2022-01-10,31.4,24.9,28.2,36.3,24.9,30.9,23.3,75.3,0,0,0,,0,0,7.6,9.4,220.4,1010.9,36.6,4.6,267.6,22.9,9,10,2022-01-10T06:39:51,2022-01-10T18:19:30,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43377099999,43354099999,43372099999"
"Thiruvananthapuram, KL, India",2022-01-11,32.5,24.6,28.7,37.9,24.6,31.8,23.4,73.8,0,0,0,,0,0,13.3,9.4,201.2,1010.8,29.1,4.3,241.8,20.9,9,10,2022-01-11T06:40:09,2022-01-11T18:20:00,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43377099999,43354099999,43372099999"
"Thiruvananthapuram, KL, India",2022-01-12,32,25.6,28.9,37.9,25.6,32.3,23.2,72,0,0,0,rain,0,0,13,18.4,290.7,1011,38.1,4.8,239,20.7,9,10,2022-01-12T06:40:26,2022-01-12T18:20:30,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43377099999,43354099999,43372099999"
"Thiruvananthapuram, KL, India",2022-01-13,32.8,22.9,28.4,37.5,22.9,31.1,23,73.4,0,0,0,,0,0,12.6,18.4,313.5,1010.7,25.6,5.6,242.3,20.9,9,10,2022-01-13T06:40:43,2022-01-13T18:20:59,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43377099999,remote,43354099999,43372099999"
"Thiruvananthapuram, KL, India",2022-01-14,32,24.7,28.6,36.8,24.7,31.5,22.8,71.7,0,0,0,,0,0,12.6,14.8,287.8,1010.4,31.6,4.5,237.5,20.6,9,10,2022-01-14T06:40:58,2022-01-14T18:21:29,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43377099999,43354099999,43372099999"
"Thiruvananthapuram, KL, India",2022-01-15,32,24.6,28.6,36.8,24.6,31.3,22.6,70.6,0,0,0,,0,0,15.1,9.4,287.4,1010.4,32.1,4.6,239.9,20.9,9,10,2022-01-15T06:41:12,2022-01-15T18:21:58,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOTV,43371099999,43377099999,43354099999,43372099999"
