name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tianjin, China, China",2022-01-01,7,-6,0.4,4.3,-8,-2.3,-9.3,53.7,0,0,0,,0,0,52.6,32.7,319.9,1026.3,0,7.1,97.1,8.3,4,,2022-01-01T07:30:37,2022-01-01T16:58:48,0.94,Clear,Clear conditions throughout the day.,clear-day,"54527099999,54527399999,ZBTJ"
"Tianjin, China, China",2022-01-02,3.1,-9,-2.3,1,-9.9,-4.1,-14.3,44.2,0,0,0,,0,0,52.6,18,154.1,1031.1,0,14.1,120.4,10.4,5,,2022-01-02T07:30:45,2022-01-02T16:59:37,0.98,Clear,Clear conditions throughout the day.,clear-day,"54527099999,54527399999,ZBTJ"
"Tianjin, China, China",2022-01-03,5.4,-6.1,-1.5,2.7,-7.1,-2.7,-10.6,57.4,0,0,0,,0,0,45,18,339.6,1026.7,0,9.8,109,9.4,5,,2022-01-03T07:30:50,2022-01-03T17:00:28,0,Clear,Clear conditions throughout the day.,clear-day,"54527099999,54527399999,ZBTJ"
"Tianjin, China, China",2022-01-04,5.4,-6.5,-1.2,3.4,-6.5,-2.7,-7.1,66,0,0,0,,0,0,45,18,149.8,1031,0,10.4,113.8,9.8,5,,2022-01-04T07:30:54,2022-01-04T17:01:20,0.05,Clear,Clear conditions throughout the day.,clear-day,"54527099999,54527399999,ZBTJ"
"Tianjin, China, China",2022-01-05,4.1,-7,-1.8,2.6,-11.9,-3.7,-5.2,78.7,0,0,0,,0,0,24.8,10.8,2,1029.9,1.2,8.4,82.1,7.1,4,,2022-01-05T07:30:55,2022-01-05T17:02:13,0.08,Clear,Clear conditions throughout the day.,clear-day,"54527099999,54527399999,ZBTJ"
"Tianjin, China, China",2022-01-06,5.3,-7,-1.9,2.7,-7.1,-2.9,-6.1,75.3,0,0,0,,0,0,18,18,144.2,1034,0,4,109.8,9.5,5,,2022-01-06T07:30:54,2022-01-06T17:03:08,0.11,Clear,Clear conditions throughout the day.,clear-day,"54527099999,54527399999,ZBTJ"
"Tianjin, China, China",2022-01-07,4.1,-6,-0.9,1.4,-6,-1.9,-4.5,78.3,0,0,0,,0,0,20.9,14.4,222.3,1030.4,0,2.1,93.3,8,4,,2022-01-07T07:30:51,2022-01-07T17:04:04,0.14,Clear,Clear conditions throughout the day.,clear-day,"54527099999,54527399999,ZBTJ"
"Tianjin, China, China",2022-01-08,9,-4,1.3,6.1,-6.5,-0.2,-6.5,64.4,0,0,0,,0,0,34.6,21.6,321,1025.6,4,5.9,115.2,10,5,,2022-01-08T07:30:46,2022-01-08T17:05:01,0.18,Clear,Clear conditions throughout the day.,clear-day,"54527099999,54527399999,ZBTJ"
"Tianjin, China, China",2022-01-09,4.5,-4,-0.1,2.5,-7.1,-2.2,-3.6,78.8,0,0,0,,0,0,32.8,15.4,120.1,1025.8,2.3,9.7,84.3,7.1,4,,2022-01-09T07:30:39,2022-01-09T17:05:59,0.21,Clear,Clear conditions throughout the day.,clear-day,"54527099999,54527399999,ZBTJ"
"Tianjin, China, China",2022-01-10,3,-6,-1,-1.8,-10.7,-4.7,-11.3,54,0,0,0,,0,0,53.3,32.4,357.5,1026.9,18.5,10.6,101,8.7,5,10,2022-01-10T07:30:30,2022-01-10T17:06:58,0.25,Clear,Clear conditions throughout the day.,clear-day,"54527099999,54527399999,ZBTJ"
