name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"TÃ³rshavn, FÃ¸royar",2022-01-01,10,4,6.8,6,-2,1.2,4.6,86.3,19.4,100,75,rain,0,0,90.7,63,132.3,987.7,98.6,6.5,2.4,0.2,0,,2022-01-01T09:50:07,2022-01-01T15:11:31,0.96,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-02,8,-1,2.2,3.9,-9.2,-4.3,-0.3,84.2,2.5,100,54.17,"rain,snow",0,0,74.2,55.4,324.3,983.4,95,8,4.8,0.3,0,,2022-01-02T09:49:24,2022-01-02T15:13:12,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-03,2,-2,1,-5.3,-10.4,-7.3,-2.7,76.9,1.1,100,45.83,"rain,snow",0,0,131.8,96.5,318.2,988.8,94.5,5.4,3.9,0.3,0,,2022-01-03T09:48:34,2022-01-03T15:14:58,0.02,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-04,2,1,1.5,-5.3,-8.9,-7.3,-2.9,72.8,1.8,100,66.67,"rain,snow",0,0,135.4,92.5,336.8,998.4,91.9,6.2,3.4,0.3,0,,2022-01-04T09:47:39,2022-01-04T15:16:49,0.06,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-05,1,-1,0.4,0,-6.4,-3.8,-5.6,64.3,0,0,0,,0,0,59.4,44.6,342.8,1011.9,95,9.7,7.3,0.7,1,,2022-01-05T09:46:38,2022-01-05T15:18:46,0.09,Overcast,Cloudy skies throughout the day.,cloudy,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-06,5,2,3.4,4,-3.8,-1.5,0.5,81.5,11.6,100,50,rain,0,0,88.9,48.2,138.1,991.3,97.3,9.2,0.7,0,0,,2022-01-06T09:45:31,2022-01-06T15:20:46,0.12,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-07,5,-1,2.1,3,-3.6,0.5,-0.2,84.6,0,0,0,,0,0,,27.7,271.6,991.1,52.8,9.9,8.2,0.8,1,,2022-01-07T09:44:19,2022-01-07T15:22:51,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-08,4,0,3,1.7,-4,-1.6,1,87,3.6,100,37.5,rain,0,0,72.4,53.6,120,982.5,80.6,9.3,3.1,0.2,0,,2022-01-08T09:43:02,2022-01-08T15:25:01,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-09,6,2,4.2,4,-0.7,1.2,1.7,84.1,0.2,100,8.33,"rain,snow",0,0,59.4,40.7,99.5,992.8,55.5,9.5,7.8,0.7,1,,2022-01-09T09:41:40,2022-01-09T15:27:14,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-10,7,5,6.2,4.5,-0.4,1.3,3.5,83.2,13.9,100,79.17,rain,0,0,81.7,51.8,175.2,993.7,92.9,8.9,2.2,0.1,0,10,2022-01-10T09:40:13,2022-01-10T15:29:31,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-11,9,5,6.3,5.5,-0.4,1.9,3.2,80.6,3.4,100,75,rain,0,0,85.3,38.9,237.5,1003.2,93.1,9.2,12.3,1.1,1,10,2022-01-11T09:38:42,2022-01-11T15:31:52,0.29,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-12,10,9,9.1,7,4.9,5.7,7.7,90.9,2.2,100,50,rain,0,0,101.5,35.3,261.6,1009.4,100,6.8,2.4,0,0,10,2022-01-12T09:37:05,2022-01-12T15:34:16,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-13,9,4,6.9,5.9,-3.2,1.9,3.9,81.5,2.5,100,58.33,rain,0,0,88.9,59.4,278.4,1015.1,93.8,9.3,1.9,0.2,0,10,2022-01-13T09:35:25,2022-01-13T15:36:44,0.35,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-14,8,2,4.8,4.8,-0.2,2,1.7,80.9,2.7,100,25,rain,0,0,48.6,33.5,232.4,1026.4,92.6,8.5,13.6,1.2,1,10,2022-01-14T09:33:40,2022-01-14T15:39:14,0.39,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-15,8,3,6.9,5.3,-4.2,3,6.2,95.4,3,100,50,rain,0,0,83.5,53.6,258.4,1008.7,98.6,7.5,8,0.7,0,10,2022-01-15T09:31:51,2022-01-15T15:41:47,0.42,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-16,7,2,4.1,2.5,-5.9,-1.5,1.3,82.3,7.3,100,54.17,"rain,snow",0,0,100.1,68.4,292,1010.7,93.5,9.8,1.7,0.1,0,10,2022-01-16T09:29:58,2022-01-16T15:44:22,0.45,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-17,8,2,6.1,5,1.4,2.4,4.4,89,0.7,100,29.17,"rain,snow",0,0,72.7,50,256.9,1021.8,99.5,9.1,6.6,0.6,0,10,2022-01-17T09:28:01,2022-01-17T15:47:00,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-18,9,5,7.8,6.3,1.3,4.5,7.2,95.6,12.3,100,75,rain,0,0,81.4,37.1,230.5,1010.1,100,6.8,3.3,0.1,0,10,2022-01-18T09:26:01,2022-01-18T15:49:41,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-19,5,-1,0.8,0.3,-9.7,-6,-4.4,68.6,2.1,100,33.33,"rain,snow",0,0,72.4,53.6,323.4,1019.1,86.4,9.2,13.7,1.2,1,10,2022-01-19T09:23:57,2022-01-19T15:52:23,0.55,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-20,7,-2,3.5,3,-5.6,-0.4,0.3,80.2,0.2,100,8.33,rain,0,0,63.4,37.1,280.3,1030.4,82.2,7.9,9.2,0.8,1,10,2022-01-20T09:21:50,2022-01-20T15:55:07,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-21,8,7,7.3,5.5,1.2,3.6,6.6,95.3,1.1,100,37.5,rain,0,0,69.1,53.6,257.8,1022.6,99.1,5.3,7.8,0.9,1,10,2022-01-21T09:19:40,2022-01-21T15:57:53,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-22,9,7,7.8,7.9,2.2,4.9,5.5,85.4,0.2,100,8.33,rain,0,0,99.7,37.1,241.1,1014.5,95.9,9.1,18,1.5,1,10,2022-01-22T09:17:26,2022-01-22T16:00:40,0.66,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-23,9,4,7,5.2,-2,2.4,4.8,85.9,4.1,100,50,"rain,snow",0,0,97.2,40.7,239.4,1006.5,99.1,9,6.6,0.6,1,10,2022-01-23T09:15:10,2022-01-23T16:03:29,0.69,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-24,5,3,4.1,3,-3.5,-0.3,0.3,76.9,1,100,37.5,rain,0,0,68.4,44.6,270,1018.8,91.3,10,21.2,1.8,1,10,2022-01-24T09:12:51,2022-01-24T16:06:19,0.73,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-25,7,2,5.5,3.5,-5.6,0.5,2,78.9,1.1,100,37.5,"rain,snow",0,0,114.8,68.4,251.4,1014.6,93.1,9.2,13.5,1.1,1,10,2022-01-25T09:10:29,2022-01-25T16:09:10,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"EKVG,06010099999"
"TÃ³rshavn, FÃ¸royar",2022-01-26,5,2,4,5,-5,-1.2,0.4,77.6,12.2,100,50,"rain,snow",0,0,94.7,70.6,300.8,1003.2,95,9.3,4.2,0.3,0,10,2022-01-26T09:08:05,2022-01-26T16:12:02,0.8,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"EKVG,06010099999"
