name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Vaduz, Liechtenstein",2022-01-01,13.8,6.3,9.4,13.8,4.1,8.3,-1.5,47.2,0,0,0,,0,156.5,31.7,14.8,132.9,1029.1,37.5,24.5,56.5,4.8,3,,2022-01-01T08:08:24,2022-01-01T16:42:45,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06686099999,D5721,06990099999,06680099999,06786099999,06790099999,11105099999,11304099999,06681099999,C5455"
"Vaduz, Liechtenstein",2022-01-02,12.3,8.3,10.3,12.3,6.2,9.4,-1.5,44.3,0,0,0,,0,154.1,31.7,18.4,141,1023.7,69.6,17.5,30.4,2.7,2,,2022-01-02T08:08:23,2022-01-02T16:43:43,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06686099999,D5721,06990099999,06680099999,06786099999,06790099999,11105099999,11304099999,06681099999,C5455,AT546"
"Vaduz, Liechtenstein",2022-01-03,12.1,4.8,8.7,12.1,3.6,7.6,1,58.7,0.006,100,12.5,rain,0,154.6,27.9,14.8,156.4,1020.1,88.4,14,10.5,0.9,1,,2022-01-03T08:08:19,2022-01-03T16:44:43,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"06686099999,D5721,06990099999,06680099999,06786099999,06790099999,11105099999,11304099999,C5455,AT546"
"Vaduz, Liechtenstein",2022-01-04,17.5,9.3,12.9,17.5,7.3,12.6,1.1,45.5,0.305,100,16.67,rain,0,159.5,44.8,16.7,127.1,1003.1,96.9,13.4,21.5,1.8,1,,2022-01-04T08:08:12,2022-01-04T16:45:45,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"06686099999,06990099999,06680099999,06790099999,11105099999,11304099999,C5455,AT546"
"Vaduz, Liechtenstein",2022-01-05,10.3,-1.2,2.7,10.3,-2.4,1.8,-0.5,80.4,5.692,100,54.17,rain,7.3,169.8,39,18.3,330.1,1011.1,84.6,7.4,15,1.4,1,,2022-01-05T08:08:03,2022-01-05T16:46:50,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"06686099999,06990099999,06680099999,06786099999,06790099999,11105099999,11304099999,06681099999,C5455,AT546"
"Vaduz, Liechtenstein",2022-01-06,1.8,-2.4,-0.3,1.8,-2.4,-0.8,-2.9,83.4,0.299,100,12.5,"rain,snow",2.6,174.9,16.6,9.3,326.9,1022.1,58.6,10.5,9.5,0.8,0,,2022-01-06T08:07:50,2022-01-06T16:47:56,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"06686099999,06990099999,06680099999,06786099999,06790099999,11105099999,11304099999,C5455"
"Vaduz, Liechtenstein",2022-01-07,1.3,-2.9,-0.7,1.3,-7.3,-2.5,-6,68.2,0.014,100,20.83,"rain,snow",3.5,173.6,24.2,14.7,144.2,1022.5,62.4,11.6,26.6,2.3,2,,2022-01-07T08:07:35,2022-01-07T16:49:04,0.15,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"06686099999,D5721,06990099999,06680099999,06790099999,11105099999,11304099999,C5455,AT546"
"Vaduz, Liechtenstein",2022-01-08,3.3,-0.4,1.5,1,-4.3,-1.4,-3.5,69.9,0.62,100,41.67,"rain,snow",3.9,178,39,14.8,139,1016,64,11.8,11.3,0.8,1,,2022-01-08T08:07:17,2022-01-08T16:50:14,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"06686099999,06990099999,06680099999,11302099999,11101099999,06790099999,11105099999,11304099999,11301099999,C5455,04704"
"Vaduz, Liechtenstein",2022-01-09,7.3,0.3,2.7,3.7,-2.3,0.9,-2,74.2,4.841,100,75,"rain,snow",9.8,183.4,56.4,22.4,170,1007.2,72.7,14.8,14,1.3,1,,2022-01-09T08:06:57,2022-01-09T16:51:25,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"06686099999,06990099999,06680099999,11302099999,11101099999,06790099999,11105099999,11304099999,11301099999,04704,C5455,AT546"
"Vaduz, Liechtenstein",2022-01-10,1.6,-1.4,0.2,1.3,-2.2,-0.5,-1.5,88.6,7.476,100,45.83,"rain,snow",6,194.2,16.7,7.6,40.8,1020.5,78.1,5.9,21.1,1.7,1,10,2022-01-10T08:06:33,2022-01-10T16:52:38,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"06686099999,06990099999,06680099999,06786099999,06790099999,11105099999,11304099999,06681099999,C5455"
"Vaduz, Liechtenstein",2022-01-11,2.6,-3.2,0,2.3,-5.7,-1.1,-3.4,78.1,0,0,0,,0,194.9,20.6,13,147.8,1032.3,40.3,18.9,50.9,4.3,3,10,2022-01-11T08:06:07,2022-01-11T16:53:53,0.29,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06686099999,06990099999,06680099999,06786099999,06693099999,06790099999,11105099999,11304099999,06681099999,C5455,AT546"
"Vaduz, Liechtenstein",2022-01-12,0,-7.9,-4.1,-2,-8.8,-6,-8.6,71.8,0,0,0,,0,194.7,20.6,11.2,151.7,1039.9,10.3,23.4,71,6.2,3,10,2022-01-12T08:05:38,2022-01-12T16:55:09,0.32,Clear,Clear conditions throughout the day.,clear-day,"06686099999,06990099999,06680099999,06786099999,06790099999,11105099999,11304099999,06681099999,C5455"
