name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Villavicencio, Colombia",2022-01-01,32,22,28.8,34.2,22,30.3,19.9,60.3,,0,0,,0,0,,7.6,75.5,1012.2,31.3,10.3,,,,,2022-01-01T06:01:34,2022-01-01T17:54:48,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80234099999,SKVV"
"Villavicencio, Colombia",2022-01-02,32,20,28.2,34.9,20,29.8,20.3,63.7,,0,0,,0,0,,14.4,50.3,1013.2,57.8,10.3,,,,,2022-01-02T06:02:00,2022-01-02T17:55:17,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80234099999,SKVV"
"Villavicencio, Colombia",2022-01-03,34,20,29.7,33.7,20,29.7,16.2,46.5,,0,0,,0,0,,14.8,77.3,1013.2,9,10.3,,,,,2022-01-03T06:02:26,2022-01-03T17:55:47,0.03,Clear,Clear conditions throughout the day.,clear-day,"80234099999,SKVV"
"Villavicencio, Colombia",2022-01-04,30,21,27.6,32.6,21,29.1,20,64.1,,0,0,,0,0,,9.4,37.1,1012.5,55.4,10.3,,,,,2022-01-04T06:02:51,2022-01-04T17:56:16,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80234099999,SKVV"
"Villavicencio, Colombia",2022-01-05,32,23.9,28.6,32.9,23.9,29.3,18.5,55.3,,0,0,,0,0,,11.2,62.5,1011,41.7,10.4,,,,,2022-01-05T06:03:16,2022-01-05T17:56:45,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80234099999,SKVV"
"Villavicencio, Colombia",2022-01-06,33,22,28.4,33.5,22,28.9,18.3,56,,0,0,,0,0,,13.7,42.8,1011.8,49.8,10.3,,,,,2022-01-06T06:03:40,2022-01-06T17:57:14,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80234099999,SKVV"
"Villavicencio, Colombia",2022-01-07,34,24,29.9,34.1,24,30,15.8,43.1,,0,0,,0,0,,16.6,52.4,1012.8,14.6,10.3,,,,,2022-01-07T06:04:04,2022-01-07T17:57:42,0.16,Clear,Clear conditions throughout the day.,clear-day,"80234099999,SKVV"
"Villavicencio, Colombia",2022-01-08,33,21,28.9,34.6,21,29.8,18.3,53.6,,0,0,,0,0,,11.2,74.4,1013.5,40.7,10.2,,,,,2022-01-08T06:04:27,2022-01-08T17:58:10,0.19,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"80234099999,SKVV"
"Villavicencio, Colombia",2022-01-09,26,23.9,24.8,26,23.9,24.8,19.6,73.4,,0,0,,0,0,,7.6,335,1014.5,90.2,10.3,,,,,2022-01-09T06:04:49,2022-01-09T17:58:37,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"80234099999,SKVV"
"Villavicencio, Colombia",2022-01-10,30,22,26.1,31.9,22,26.8,18.5,63.8,0.2,100,8.33,rain,0,0,15.1,11.2,351.5,1013.4,88.4,14.1,295.6,14.8,6,10,2022-01-10T06:05:11,2022-01-10T17:59:05,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"80234099999,remote,SKVV"
"Villavicencio, Colombia",2022-01-11,30.8,21.8,25.9,31.7,21.8,26.3,17,58.6,0,0,0,,0,0,18.7,10.1,329,1012.6,89.3,17.2,157.6,11.5,6,10,2022-01-11T06:05:31,2022-01-11T17:59:31,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80234099999,remote,SKVV"
"Villavicencio, Colombia",2022-01-12,32,22,26.2,34.2,22,26.8,17.1,58.4,0.2,100,8.33,rain,0,0,16.9,14.8,340.2,1012.4,76.2,16.6,213.6,15.5,7,10,2022-01-12T06:05:52,2022-01-12T17:59:58,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"80234099999,remote,SKVV"
"Villavicencio, Colombia",2022-01-13,32,22,26.3,33.5,22,26.8,17.1,57.5,0.2,100,8.33,rain,0,0,14.8,9.7,324.9,1012.5,53.8,16.6,151.2,10.7,6,10,2022-01-13T06:06:11,2022-01-13T18:00:23,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"80234099999,remote,SKVV"
"Villavicencio, Colombia",2022-01-14,30.2,22,25.4,32.7,22,26.1,18.3,65.9,0.6,100,20.83,rain,0,0,16.6,11.2,311.7,1012.9,92,16.4,71.2,5.1,3,10,2022-01-14T06:06:30,2022-01-14T18:00:49,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"80234099999,remote,SKVV"
"Villavicencio, Colombia",2022-01-15,33,22,27.4,35.3,22,28.2,17,54,0.1,100,4.17,rain,0,0,13,14.8,359.3,1013.3,70.8,16.6,231.8,16.8,6,10,2022-01-15T06:06:48,2022-01-15T18:01:13,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"80234099999,remote,SKVV"
"Villavicencio, Colombia",2022-01-16,31,21,25.7,33.7,21,26.7,17.4,60.7,0,0,0,,0,0,12.2,11.2,305.5,1013.2,67.6,16.6,248.3,17.7,8,10,2022-01-16T06:07:05,2022-01-16T18:01:37,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"80234099999,remote,SKVV"
