name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Wellington, New Zealand",2022-01-01,24,16,19.5,24,16,19.5,13.3,68.4,0,0,0,,0,0,,33.4,352,1015.6,0,10.9,266.9,22.9,10,,2022-01-01T05:51:17,2022-01-01T20:56:59,0.94,Clear,Clear conditions throughout the day.,clear-day,"93439099999,93420099999,93436000488,NZWN,93597099999,93479099999,AT702"
"Wellington, New Zealand",2022-01-02,28,15,20.8,27.6,15,20.7,14.2,68.9,0,0,0,,0,0,,22.3,11.7,1020.7,0,11.2,243.1,21.1,9,,2022-01-02T05:52:08,2022-01-02T20:57:03,0.97,Clear,Clear conditions throughout the day.,clear-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-03,25.1,18.1,21.9,25.1,18.1,21.9,15.5,67.3,0,0,0,,0,0,,33.4,5.9,1017.6,0,11.1,272.6,23.4,10,,2022-01-03T05:53:00,2022-01-03T20:57:06,0,Clear,Clear conditions throughout the day.,clear-day,"93439099999,93420099999,93436000488,NZWN,93597099999,93479099999,AT702"
"Wellington, New Zealand",2022-01-04,23,16,19.3,23,16,19.3,15.5,79,0,0,0,,0,0,,29.5,204.3,1012.9,1.2,10.8,237,20.4,10,,2022-01-04T05:53:54,2022-01-04T20:57:05,0.04,Clear,Clear conditions throughout the day.,clear-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-05,20.1,17,18.3,20.1,17,18.3,16.2,87.6,0,0,0,,0,0,,22.3,211.9,1011.3,43.9,10.4,230.5,20,9,,2022-01-05T05:54:50,2022-01-05T20:57:03,0.07,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-06,19,14,16,19,14,16,13.3,84.7,0.391,100,4.17,rain,0,0,,37,180.2,1015,97.9,10.4,178.7,15.5,10,,2022-01-06T05:55:47,2022-01-06T20:56:58,0.1,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-07,17,13,14.5,17,13,14.5,9.9,74.3,0.88,100,12.5,rain,0,0,,35.2,170.6,1021.4,59.5,9.6,215.4,18.5,8,,2022-01-07T05:56:45,2022-01-07T20:56:51,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-08,21.1,11,16.9,21.1,11,16.9,11,69.6,0,0,0,,0,0,,35.2,4.1,1020.7,6.2,10.8,222.1,19.2,10,,2022-01-08T05:57:45,2022-01-08T20:56:41,0.17,Clear,Clear conditions throughout the day.,clear-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-09,22,17.1,19.4,22,17.1,19.4,14.6,73.7,0,0,0,,0,0,70.6,51.8,2.7,1016.7,61.7,11,160.4,14,6,,2022-01-09T05:58:47,2022-01-09T20:56:29,0.2,Partially cloudy,Partly cloudy throughout the day.,wind,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-10,24,18.1,20.3,24,18.1,20.3,15.9,76.1,0,0,0,,0,0,,38.8,6.2,1017.9,46.1,11.1,178.6,15.4,8,,2022-01-10T05:59:49,2022-01-10T20:56:15,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-11,24,18.1,20.6,24,18.1,20.6,17,81,0.428,100,8.33,rain,0,0,61.2,48.2,4.3,1016.7,84.8,10.3,237.3,20.6,9,10,2022-01-11T06:00:53,2022-01-11T20:55:58,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-12,23,17,19.9,23,17,19.9,14.7,73.3,0,0,0,rain,0,0,47.9,35.3,12.4,1013.6,78.5,10.8,191.9,16.8,6,10,2022-01-12T06:01:58,2022-01-12T20:55:39,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-13,18.1,14.1,15.7,18.1,14.1,15.7,9.4,67.3,0.299,100,12.5,rain,0,0,50,38.8,157.5,1021.7,77,10,217.5,19.2,10,10,2022-01-13T06:03:05,2022-01-13T20:55:18,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-14,19,14,16.5,19,14,16.5,10,65.6,0,0,0,,0,0,36,31.6,159.2,1022.4,44.8,10.9,262.5,22.9,9,10,2022-01-14T06:04:12,2022-01-14T20:54:55,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-15,19.1,13,16.3,19.1,13,16.3,11.1,71.9,0,0,0,,0,0,30.2,37.1,162.5,1021.7,0,10.2,278.3,24.3,10,10,2022-01-15T06:05:20,2022-01-15T20:54:29,0.4,Clear,Clear conditions throughout the day.,clear-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-16,21.1,12,17.2,21.1,12,17.2,12.1,72.8,0,0,0,,0,0,19.4,25.9,201.9,1018.6,0,10.5,276.8,24,10,10,2022-01-16T06:06:29,2022-01-16T20:54:01,0.43,Clear,Clear conditions throughout the day.,clear-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-17,20.1,14,17.8,20.1,14,17.8,12.8,73.2,0,0,0,,0,0,21.6,24.1,199,1013.2,0,10.7,271.3,23.6,9,10,2022-01-17T06:07:39,2022-01-17T20:53:31,0.47,Clear,Clear conditions throughout the day.,clear-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-18,19.1,15,17.3,19.1,15,17.3,14.2,82.7,0,0,0,,0,0,22.3,22.3,192.2,1012.4,18.7,10.3,274.3,23.8,9,10,2022-01-18T06:08:50,2022-01-18T20:52:58,0.5,Clear,Clear conditions throughout the day.,clear-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-19,24,18,20.7,24,18,20.7,16.2,75.8,0,0,0,,0,0,65.9,42.4,0.6,1007.8,60.4,10.9,219.5,19.2,8,10,2022-01-19T06:10:02,2022-01-19T20:52:24,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-20,20,15,17,20,15,17,13,78.2,5.887,100,8.33,rain,0,0,63,37.1,189.5,1008.5,74.3,10.2,182.1,15.7,8,10,2022-01-20T06:11:14,2022-01-20T20:51:47,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-21,20.1,12,16.5,20.1,12,16.5,12.1,76.2,0,0,0,rain,0,0,28.8,25.9,201.4,1015.7,7.8,10.5,260.6,22.8,8,10,2022-01-21T06:12:27,2022-01-21T20:51:09,0.6,Clear,Clear conditions throughout the day.,clear-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-22,26,13.1,19.6,26,13.1,19.6,11.7,62.9,0,0,0,,0,0,46.4,33.4,6.5,1018.5,0,11.3,267.2,23.3,9,10,2022-01-22T06:13:41,2022-01-22T20:50:28,0.64,Clear,Clear conditions throughout the day.,clear-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-23,21.1,16.1,18.5,21.1,16.1,18.5,14.4,77.4,0,0,0,rain,0,0,51.5,29.5,12.8,1015.5,43.2,10.3,168.3,14.7,7,10,2022-01-23T06:14:55,2022-01-23T20:49:45,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-24,22.1,15,18.7,22.1,15,18.7,14.6,78,0,0,0,,0,0,28.4,20.5,199.9,1013.7,16.6,8.3,185.5,16,7,10,2022-01-24T06:16:10,2022-01-24T20:49:00,0.71,Clear,Clear conditions throughout the day.,clear-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-25,23,18.1,20.1,23,18.1,20.1,16.2,78.6,0,0,0,rain,0,0,45.7,37,2.8,1009.5,68.9,10.8,81.3,7.3,4,10,2022-01-25T06:17:25,2022-01-25T20:48:13,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-26,23.1,18,20.5,23.1,18,20.5,17.5,83.5,2.821,100,20.83,rain,0,0,57.6,37,2.2,1001.8,87.7,11.1,101.5,8.9,4,10,2022-01-26T06:18:40,2022-01-26T20:47:24,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
"Wellington, New Zealand",2022-01-27,19.1,14,16.1,19.1,14,16.1,10.6,70.2,0.69,100,16.67,rain,0,0,59.4,46.4,169.9,1013.4,48.5,9.9,250.4,21.7,9,10,2022-01-27T06:19:56,2022-01-27T20:46:34,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"93439099999,93420099999,93436000488,NZWN,93479099999,AT702"
