name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Windhoek, Khomas, Namibia",2022-01-01,34,15.1,25.1,31.4,15.1,24.1,-5.5,14.5,0,0,0,,0,0,42.5,16.6,262.4,1020.7,1.3,18.2,355.7,30.7,10,,2022-01-01T06:10:33,2022-01-01T19:39:46,0.95,Clear,Clear conditions throughout the day.,clear-day,"68002099999,FYWE,FYWW,68110099999,FYWH,68112099999,C9040"
"Windhoek, Khomas, Namibia",2022-01-02,33.8,20,26.5,31.5,20,25.6,-0.3,18.1,0,0,0,,0,0,45.4,29.2,250,1019.2,15.6,19.6,318.3,27.4,10,,2022-01-02T06:11:12,2022-01-02T19:40:03,0,Clear,Clear conditions throughout the day.,clear-day,"68002099999,FYWE,FYWW,68110099999,FYWH,68112099999,C9040,remote"
"Windhoek, Khomas, Namibia",2022-01-03,33,18,26,30.6,18,25.1,3.4,27.7,0,0,0,,0,0,48.2,25.9,296.9,1018.3,15.2,19.4,341.8,29.7,10,,2022-01-03T06:11:51,2022-01-03T19:40:19,0.02,Clear,Clear conditions throughout the day.,clear-day,"68002099999,FYWE,FYWW,68110099999,FYWH,68112099999,C9040"
"Windhoek, Khomas, Namibia",2022-01-04,34.2,17,26.2,31.6,17,25.2,-3.1,14.7,0,0,0,,0,0,38.8,27,269.6,1018.6,32.1,20.3,334.7,28.8,10,,2022-01-04T06:12:30,2022-01-04T19:40:33,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68002099999,FYWE,FYWW,68110099999,FYWH,68112099999,C9040,remote"
"Windhoek, Khomas, Namibia",2022-01-05,34,15.9,25.3,31.4,15.9,24.4,-4.5,17.9,0,0,0,,0,0,28,18.7,239.5,1019.5,27.6,19.7,279.9,24.2,10,,2022-01-05T06:13:10,2022-01-05T19:40:46,0.09,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"68002099999,FYWE,FYWW,68110099999,FYWH,68112099999,C9040"
"Windhoek, Khomas, Namibia",2022-01-06,35.1,18.9,26.9,32.4,18.9,25.9,-2.9,14.6,0,0,0,,0,0,33.9,18.3,208.2,1019.7,19.7,22.4,355.1,30.7,10,,2022-01-06T06:13:51,2022-01-06T19:40:58,0.12,Clear,Clear conditions throughout the day.,clear-day,"68002099999,FYWE,FYWW,68110099999,FYWH,68112099999,C9040"
"Windhoek, Khomas, Namibia",2022-01-07,36.7,18.1,27.2,33.8,18.1,26,-1,17.2,0,0,0,,0,0,37.1,21.3,202.2,1019,16.5,18,354.8,30.7,10,,2022-01-07T06:14:32,2022-01-07T19:41:09,0.15,Clear,Clear conditions throughout the day.,clear-day,"68002099999,FYWE,FYWW,68110099999,FYWH,68112099999,C9040"
"Windhoek, Khomas, Namibia",2022-01-08,34.5,20,24.6,32.3,20,24.1,10.4,44.1,2,100,4.17,rain,0,0,53.6,27.9,79,1020.1,60.2,23.6,250.6,21.7,10,,2022-01-08T06:15:13,2022-01-08T19:41:18,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"68002099999,FYWE,FYWW,68110099999,FYWH,68112099999,C9040,remote"
"Windhoek, Khomas, Namibia",2022-01-09,29.9,20,23.6,28.9,20,23.5,12.6,51.8,0.2,100,4.17,rain,0,0,38.9,23.7,55.1,1018.3,64.5,19.3,224.1,19.2,10,,2022-01-09T06:15:54,2022-01-09T19:41:26,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"68002099999,FYWE,FYWW,68110099999,FYWH,68112099999,C9040"
"Windhoek, Khomas, Namibia",2022-01-10,33.3,14.9,23.7,30.9,14.9,22.9,3.1,34.6,0.2,100,4.17,rain,0,0,50,24.1,260.8,1016.7,29.2,23.6,367.7,31.8,10,10,2022-01-10T06:16:36,2022-01-10T19:41:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"68002099999,FYWE,FYWW,68110099999,FYWH,68112099999,C9040,remote"
