name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Yan'an, China",2022-01-01,4.7,-10.4,-3.1,0.6,-14.7,-6.7,-11.1,59.5,0,0,0,,0,0,32,20.2,343.5,1033.1,7.3,18.9,138.3,12,6,,2022-01-01T07:54:21,2022-01-01T17:36:50,0.94,Clear,Clear conditions throughout the day.,clear-day,"53845099999,remote"
"Yan'an, China",2022-01-02,5.2,-12.4,-3.7,2.8,-15.3,-7.2,-11.2,59.2,0,0,0,,0,0,37.4,28.8,143,1029.1,0.6,21.5,132,11.4,5,,2022-01-02T07:54:30,2022-01-02T17:37:37,0.98,Clear,Clear conditions throughout the day.,clear-day,"53845099999,remote"
"Yan'an, China",2022-01-03,4.5,-10.4,-2.9,2.8,-14.8,-5.5,-9.7,63.6,0,0,0,,0,0,37.4,15.8,28.5,1029.7,28.3,16.4,136.7,11.7,6,,2022-01-03T07:54:38,2022-01-03T17:38:26,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"53845099999,remote"
"Yan'an, China",2022-01-04,4.4,-11.3,-2.6,2.8,-11.3,-5,-9.8,60.5,0,0,0,,0,0,18.7,10.1,110.8,1028.7,70.4,16.9,113.8,9.7,5,,2022-01-04T07:54:44,2022-01-04T17:39:16,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53845099999,remote"
"Yan'an, China",2022-01-05,4.2,-6.3,-1.8,4.2,-8.9,-4.5,-5.7,77.5,0,0,0,,0,0,20.5,15.5,163,1026.3,44.6,6.6,93.1,7.9,4,,2022-01-05T07:54:48,2022-01-05T17:40:06,0.08,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"53845099999,remote"
"Yan'an, China",2022-01-06,2.7,-5.9,-2.3,-0.4,-7.2,-4.3,-5,83.5,0,0,0,,0,0,22,13,164.2,1032.2,51.6,3.9,108.4,9.3,4,,2022-01-06T07:54:49,2022-01-06T17:40:58,0.11,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"53845099999,remote"
"Yan'an, China",2022-01-07,2.6,-7,-1.7,1.8,-8.6,-2.7,-4.6,81.2,0,0,0,,0,0,22,12.6,197.5,1031.4,61.2,5.3,99.2,8.5,4,,2022-01-07T07:54:49,2022-01-07T17:41:52,0.14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"53845099999,remote"
"Yan'an, China",2022-01-08,2.8,-5.1,-1.3,2.8,-8.9,-3.5,-4.9,77.6,0,0,0,,0,0,17.6,10.4,12.9,1029.4,77.2,5.9,76.1,6.6,3,,2022-01-08T07:54:47,2022-01-08T17:42:46,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53845099999,remote"
"Yan'an, China",2022-01-09,3.9,-9.9,-2.6,3.9,-13.2,-4.6,-6.6,75.6,0,0,0,,0,0,16.2,10.8,34.7,1026.6,45,4.9,132.4,11.4,6,,2022-01-09T07:54:43,2022-01-09T17:43:41,0.21,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"53845099999,remote"
"Yan'an, China",2022-01-10,2,-6.1,-1.9,-1.8,-10.6,-6,-9.3,58.9,0,0,0,,0,0,40.3,27,348.6,1031.1,17.6,21.9,145.2,12.6,6,10,2022-01-10T07:54:37,2022-01-10T17:44:37,0.25,Clear,Clear conditions throughout the day.,clear-day,"53845099999,remote"
