name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
amsterdam,2022-01-01,13.4,9.1,11.7,13.4,6.8,11.4,10,89.4,0.332,100,4.17,rain,0,0,35.4,24.1,199.9,1020.5,99.5,21.8,39.7,2.6,1,,2022-01-01T08:50:30,2022-01-01T16:37:36,0.95,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,2022-01-02,12.5,10,11.5,12.5,6.1,11.3,9.3,86.4,6.9,100,62.5,rain,0,0,61.1,46.3,224.3,1010.8,95.4,22.6,29.5,2,1,,2022-01-02T08:50:21,2022-01-02T16:38:42,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,2022-01-03,10.8,8.2,9.5,10.8,4.9,6.4,7.1,85.4,0.643,100,4.17,rain,0,0,59.1,37.7,232.9,1007.4,49.7,15.1,46.2,3.1,2,,2022-01-03T08:50:08,2022-01-03T16:39:51,0.02,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"06260099999,E5029,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,2022-01-04,8.6,4,6.8,6.1,0.2,3.9,4.6,85.8,0.889,100,29.17,rain,0,0,36.7,20.5,268.1,997.8,94,28.3,40.2,2.7,1,,2022-01-04T08:49:52,2022-01-04T16:41:03,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,E5029,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,2022-01-05,7.6,3.5,5.6,3.3,-1.1,1,2.3,79.7,3.771,100,62.5,rain,0,0,59.5,41.4,287.2,1004.9,78.8,18.1,32.3,2,1,,2022-01-05T08:49:33,2022-01-05T16:42:17,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,2022-01-06,6,0.6,3.7,2.8,-1.8,0.6,0.9,82.2,0.116,100,16.67,rain,0,0,42.4,28.2,217.1,1016.7,56.9,25.1,46.9,3,2,,2022-01-06T08:49:10,2022-01-06T16:43:34,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,2022-01-07,6.2,2.6,4.4,2.3,-2.2,0.2,1.8,83.6,2.346,100,70.83,rain,0,0,47.9,31,216.7,1008.9,88.9,27.9,23.7,1.6,0,,2022-01-07T08:48:43,2022-01-07T16:44:53,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E5029,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,2022-01-08,6.6,1.5,3.7,3.9,-2.2,-0.5,2,88.9,11.312,100,54.17,"rain,snow",0,0,51,37.6,187.6,1002.4,84.9,24.1,26.9,2,1,,2022-01-08T08:48:14,2022-01-08T16:46:15,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06260099999,D3248,E5029,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,2022-01-09,7.1,1.2,5.3,4.4,-1,1.6,2.9,84.5,6.542,100,62.5,rain,0,0,47.9,33.1,277.6,998.3,71.5,18,28.7,1.9,1,,2022-01-09T08:47:41,2022-01-09T16:47:39,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,2022-01-10,6.5,0.1,2.6,4.9,-3.2,0.3,1.6,93.8,0.005,100,4.17,rain,0,0,16.9,13.5,162.4,1019.9,74.4,8.7,51.9,3.4,2,,2022-01-10T08:47:05,2022-01-10T16:49:05,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,D3248,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
