name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
antarctica,2022-01-01,-21,-26.2,-23.4,-30.6,-38.6,-34.9,-24.5,90.9,0,0,0,,,,,26.6,102.2,,68.3,,377.3,32.6,6,,2022-01-01T00:00:00,2022-01-02T00:00:00,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
antarctica,2022-01-02,-22.6,-28.8,-25.5,-33.2,-41.2,-36.9,-27.7,81.3,0,0,0,,,,,23.8,159,,40.4,,418.7,36,7,,2022-01-02T00:00:00,2022-01-03T00:00:00,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
antarctica,2022-01-03,-21.9,-28.2,-24.9,-34.6,-40.7,-37.5,-27.6,78.1,0,0,0,,,,,27.7,154.6,,5,,426.3,36.6,7,,2022-01-03T00:00:00,2022-01-04T00:00:00,0.02,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-04,-21.7,-27.6,-25,-31.7,-42.7,-37.7,-27.5,79.3,0,0,0,,,,,31.7,149.2,,0.4,,430.3,37,7,,2022-01-04T00:00:00,2022-01-05T00:00:00,0.05,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-05,-22.2,-28.8,-25.6,-27.3,-40.5,-34.5,-28.3,78.3,0,0,0,,,,,17.3,130.4,,12.2,,423.1,36.6,7,,2022-01-05T00:00:00,2022-01-06T00:00:00,0.08,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-06,-23.6,-29.5,-26.5,-37.1,-44,-40.2,-28.8,81.2,0,0,0,,,,,30.6,138.3,,0,,426,36.8,7,,2022-01-06T00:00:00,2022-01-07T00:00:00,0.12,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-07,-25.5,-31.3,-28.4,-39.3,-48.8,-44.1,-30.8,79.8,0,0,0,,,,,37.8,138.5,,0,,426.5,36.7,7,,2022-01-07T00:00:00,2022-01-08T00:00:00,0.15,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-08,-24.7,-31,-28,-33.9,-46.6,-40.8,-29.7,85.1,0,0,0,,,,,29.2,140.2,,51.7,,417.3,36.3,7,,2022-01-08T00:00:00,2022-01-09T00:00:00,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
antarctica,2022-01-09,-24.1,-31,-27.6,-36.3,-46.2,-41.4,-30.3,78.3,0,0,0,,,,,29.9,133.9,,27.4,,416.3,36,7,,2022-01-09T00:00:00,2022-01-10T00:00:00,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
antarctica,2022-01-10,-22.1,-31.3,-27.4,-34.1,-46.9,-41.2,-30.8,73.9,0,0,0,,0,50,36,29.9,130.6,1002.6,7.6,24.1,445.4,38.6,7,10,2022-01-10T00:00:00,2022-01-11T00:00:00,0.25,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-11,-21.8,-29.7,-25.5,-33.4,-43.6,-38.3,-31.6,56.5,0,0,0,,0,50,43.2,25.6,142.6,1004.1,1.6,24.1,428.2,37.1,7,10,2022-01-11T00:00:00,2022-01-12T00:00:00,0.28,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-12,-19.7,-28.5,-23.9,-32.4,-43.5,-37.8,-29.7,58.4,0,0,0,,0,52.1,53.6,33.8,128.9,1002.9,0,24.1,425.8,36.5,7,10,2022-01-12T00:00:00,2022-01-13T00:00:00,0.31,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-13,-19.3,-26.2,-23,-31.6,-41,-36.5,-28.3,61.5,0,0,0,,0,56.2,56.5,36,120.3,1004,51.2,24.1,406.7,34.9,7,10,2022-01-13T00:00:00,2022-01-14T00:00:00,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
antarctica,2022-01-14,-17.1,-27.9,-21.8,-24.3,-41.4,-31.9,-25.7,70.6,0.2,100,8.33,snow,0,88.5,41.8,25.6,110,1006.5,91.2,11.4,344.1,29.7,6,10,2022-01-14T00:00:00,2022-01-15T00:00:00,0.38,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,remote
antarctica,2022-01-15,-19.3,-26,-21.7,-30.5,-38.9,-33.4,-26.1,67.7,0.1,100,4.17,snow,0,73.8,38.2,27.7,130,1005,81,18.6,354.3,30.3,6,10,2022-01-15T00:00:00,2022-01-16T00:00:00,0.41,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,remote
antarctica,2022-01-16,-21,-27.7,-24.5,-32.5,-41.2,-37.2,-29.9,60.5,0,0,0,,0,57.3,43.9,27.4,133.9,1006.2,40.2,24.1,401.7,34.7,7,10,2022-01-16T00:00:00,2022-01-17T00:00:00,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
antarctica,2022-01-17,-21.6,-29.1,-25,-34,-43.3,-38.5,-31.2,56.6,0,0,0,,0,64.5,46.4,29.2,143.1,1004.8,1,24.1,405.8,35.2,7,10,2022-01-17T00:00:00,2022-01-18T00:00:00,0.48,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-18,-22.1,-29.3,-25.6,-34.4,-44.7,-39.5,-31.4,58.3,0,0,0,,0,52.1,51.8,31.3,136.5,1007.6,0,24.1,402.3,34.8,7,10,2022-01-18T00:00:00,2022-01-19T00:00:00,0.5,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-19,-18.5,-28.2,-22.8,-30.7,-43.1,-36.5,-29.4,54.9,0,0,0,,0,62.4,58.3,34.2,153.6,1007.7,0.3,24.1,397.1,34,7,10,2022-01-19T00:00:00,2022-01-20T00:00:00,0.55,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-20,-18.6,-24.2,-21.5,-31.5,-39.1,-35.4,-28.7,52.1,0,0,0,,0,50,63.7,37.8,145,1007.3,9.7,24.1,389.2,33.6,7,10,2022-01-20T00:00:00,2022-01-21T00:00:00,0.58,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-21,-18.8,-25.5,-22.2,-31.1,-40.6,-35.8,-28.4,56.9,0,0,0,,0,50,61.9,37.4,138.2,1011,19.2,24.1,382.9,33.2,7,10,2022-01-21T00:00:00,2022-01-22T00:00:00,0.62,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-22,-20.5,-25.3,-22.7,-33.6,-38.2,-36,-28.9,57.2,0,0,0,,0,50,60.5,41.4,126.6,1008,42.5,24.1,356.3,31,6,10,2022-01-22T00:00:00,2022-01-23T00:00:00,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
antarctica,2022-01-23,-17.8,-25.4,-20.1,-30.9,-38.5,-33.6,-26.2,58.3,0,0,0,,0,51.1,65.5,39.6,133.3,1001.7,13.7,24.1,373,32.3,7,10,2022-01-23T00:00:00,2022-01-24T00:00:00,0.69,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-24,-19.6,-25.5,-22.5,-28.5,-41.8,-36.1,-27.6,64,0.2,100,8.33,snow,0.1,52.1,67.3,41.8,123.2,999.2,35.6,17.4,346.6,30,7,10,2022-01-24T00:00:00,2022-01-25T00:00:00,0.72,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow,remote
antarctica,2022-01-25,-14.7,-19.3,-16.7,-20,-27.6,-23.6,-19.3,80.7,1.3,100,50,snow,0.3,100.6,19.4,14,60.1,993.7,100,0.9,269.1,23.2,5,10,2022-01-25T00:00:00,2022-01-26T00:00:00,0.75,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,remote
antarctica,2022-01-26,-19.1,-27.1,-22.9,-28.1,-40.8,-35.7,-28.4,61,0.9,100,12.5,snow,1.4,99.9,51.5,31,130.3,1000.5,55,23.6,327.3,28.2,6,10,2022-01-26T00:00:00,2022-01-27T00:00:00,0.79,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,remote
antarctica,2022-01-27,-23.6,-30.1,-26.8,-36.9,-44.7,-41.1,-32.6,57.7,0,0,0,,0,69.7,52.2,31.7,139.4,1000.2,18.9,24.1,355.8,30.7,6,10,2022-01-27T00:00:00,2022-01-28T00:00:00,0.83,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-28,-25.4,-32,-28.9,-38.2,-47.6,-43.1,-34,61.1,0,0,0,,0,72.8,47.2,29.2,133.3,999.9,9.8,24.1,351.9,30.4,6,10,2022-01-28T00:00:00,2022-01-29T00:00:00,0.86,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-01-29,-22.1,-33.9,-27.7,-30.1,-48.6,-39.9,-31.6,69.5,0.2,100,8.33,snow,0,99.7,40,24.8,120.1,1001.9,59.8,12.6,318.7,27.5,6,10,2022-01-29T00:00:00,2022-01-30T00:00:00,0.9,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,remote
antarctica,2022-01-30,-21.9,-29.6,-25.1,-33.2,-44.8,-36.8,-28.9,70.2,0.2,100,8.33,snow,0,99.8,47.5,28.4,129.2,1005.3,59,13.4,315.4,27.2,6,10,2022-01-30T00:00:00,2022-01-31T00:00:00,0.93,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,remote
antarctica,2022-01-31,-23,-31.3,-26.9,-36.6,-47.6,-41.9,-33.6,53.2,0,0,0,,0,64.5,56.2,33.5,142.4,1006.8,7.1,24.1,336.3,29,6,10,2022-01-31T00:00:00,2022-02-01T00:00:00,0.97,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-02-01,-21.6,-29.4,-25.1,-36.4,-46.6,-41,-31.9,53.1,0,0,0,,0,50,67.7,42.1,135.3,999.5,5.9,24.1,329.1,28.3,6,10,2022-02-01T00:00:00,2022-02-02T00:00:00,0,Clear,Clear conditions throughout the day.,clear-day,remote
antarctica,2022-02-02,-22.3,-27.2,-24.9,-37,-44,-40.7,-31.4,54.7,0,0,0,,0,50,72.7,45.4,125.7,1002,29.1,24.1,322.9,27.9,6,10,2022-02-02T00:00:00,2022-02-03T00:00:00,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,remote
antarctica,2022-02-03,-24.7,-30.3,-27.6,-38.8,-47.3,-43.1,-33.7,55.9,0,0,0,,0,53.1,63.7,38.9,128.2,1012.3,38.2,24.1,305.4,26.4,6,10,2022-02-03T00:00:00,2022-02-04T00:00:00,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
antarctica,2022-02-04,-24.5,-31.7,-28.1,-38.6,-48.7,-43.6,-34.1,56.7,0,0,0,,0,66.6,56.9,34.6,123.7,1016.4,24,24.1,305.7,26.6,6,10,2022-02-04T00:00:00,2022-02-05T00:00:00,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
