name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
austin,2022-01-01,25,4.3,21.2,25,0.1,20.9,14.9,69.1,0,0,0,,0,0,52.6,26.2,198.6,1005,55,13.9,113.4,4.9,2,,2022-01-01T07:27:40,2022-01-01T17:41:49,0.96,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,72254413958,E5093"
austin,2022-01-02,8.2,-3.8,2.2,5,-10.9,-2,-8.1,48.2,0.07,100,4.17,"rain,snow",0,0,57,33.7,336.9,1028.1,27.4,16,329.4,13.3,6,,2022-01-02T07:27:53,2022-01-02T17:42:32,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
austin,2022-01-03,13.3,-2.3,4.4,13.3,-4.6,4.1,-6.8,49.1,0,0,0,,0,0,,8.5,184.7,1031.7,2.5,16,305.8,13.3,6,,2022-01-03T07:28:05,2022-01-03T17:43:16,0.03,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,72254013904,72254413958,D9418,E5093"
austin,2022-01-04,19,1.3,9.6,19,1.3,9.5,0,53,0,0,0,,0,0,51.8,21,203.2,1020.8,7.2,16,319.7,12.6,6,,2022-01-04T07:28:14,2022-01-04T17:44:01,0.06,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
austin,2022-01-05,23,5.4,12.9,23,5.4,12.9,3,57.3,0,0,0,,0,0,,11.1,293.6,1013,2.3,15.9,322.3,12.8,6,,2022-01-05T07:28:23,2022-01-05T17:44:47,0.1,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418"
austin,2022-01-06,12.9,2,7.6,12.9,-1.4,6.2,-1.7,55.1,0,0,0,,0,0,42.6,25.1,358,1017.7,3.4,16,293.9,12.7,6,,2022-01-06T07:28:29,2022-01-06T17:45:34,0.13,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
austin,2022-01-07,4.8,-1.8,2,4.8,-4.5,0.6,-4.1,65.3,0.068,100,4.17,rain,0,0,27.7,13.6,8.5,1023.3,67.1,13.2,88.1,3.7,2,,2022-01-07T07:28:34,2022-01-07T17:46:21,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,72254413958,D9418,E5093"
austin,2022-01-08,17.4,4.9,11.4,17.4,4.9,11.4,10.3,93.2,3.202,100,50,rain,0,0,29.5,10.9,211.7,1016.5,100,5.4,63,2.8,2,,2022-01-08T07:28:37,2022-01-08T17:47:09,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
austin,2022-01-09,16.9,9.3,13.5,16.9,6.6,13.4,7.2,67.8,0,0,0,,0,0,46.3,24.2,336.6,1024.2,60.4,15.1,238.5,10.4,5,,2022-01-09T07:28:39,2022-01-09T17:47:58,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
austin,2022-01-10,14.6,4.9,9.4,14.6,0.9,7.6,-4.8,37.7,0,0,0,,0,0,47.1,24.7,7.1,1035.5,39.8,16,189.1,10.9,6,10,2022-01-10T07:28:39,2022-01-10T17:48:47,0.26,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,D9418,E5093"
