name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bakersfield,2022-01-01,11.6,3.7,7.3,11.6,3.1,6.3,3.3,76.6,0,0,0,,0,0,42.5,13.1,22.4,1021.8,13.5,10.7,117.7,10.3,5,,2022-01-01T07:05:12,2022-01-01T16:54:33,0.97,Clear,Clear conditions throughout the day.,clear-day,"SE059,74917100479,KTSP,72384023155,CI125,CI005,KBFL,CSBFL"
bakersfield,2022-01-02,15.5,0.6,7.1,15.5,-1.2,6.5,1.8,71.5,0,0,0,,0,0,40.7,11.3,78.6,1024.8,0,10.5,124,10.8,5,,2022-01-02T07:05:22,2022-01-02T16:55:20,0,Clear,Clear conditions throughout the day.,clear-day,"74917100479,KTSP,72384023155,CI125,CI005,KBFL,CSBFL"
bakersfield,2022-01-03,14.3,1.6,7.8,14.3,-1,6.9,0.9,63.5,0,0,0,,0,0,,14.9,76.4,1023.6,0,12.5,123,10.7,5,,2022-01-03T07:05:29,2022-01-03T16:56:09,0.03,Clear,Clear conditions throughout the day.,clear-day,"74917100479,KTSP,72384023155,CI005,KBFL,CSBFL"
bakersfield,2022-01-04,14.9,4.3,9.2,14.9,2.3,8.3,3.9,70.7,0,0,0,,0,0,38.9,16.7,59.3,1026.2,18.9,11.9,92.7,8.1,5,,2022-01-04T07:05:35,2022-01-04T16:56:58,0.07,Clear,Clear conditions throughout the day.,clear-day,"SE059,74917100479,KTSP,72384023155,CI125,KBFL,CSBFL"
bakersfield,2022-01-05,15.5,5.6,10.1,15.5,3.9,9.6,5.8,75.5,0,0,0,,0,0,37.1,11.3,99.6,1024.6,14.3,9.9,106.5,9.3,5,,2022-01-05T07:05:39,2022-01-05T16:57:48,0.1,Clear,Clear conditions throughout the day.,clear-day,"SE059,74917100479,KTSP,72384023155,CI125,KBFL,CSBFL"
bakersfield,2022-01-06,15.6,6,10.2,15.6,5.1,9.9,6.4,78,0,0,0,,0,0,,9.3,117.9,1018.1,0,8.7,100.4,8.7,5,,2022-01-06T07:05:41,2022-01-06T16:58:40,0.13,Clear,Clear conditions throughout the day.,clear-day,"72389523149,74917100479,KTSP,72384023155,CI125,KBFL,CSBFL"
bakersfield,2022-01-07,10.6,5.1,8.2,10.6,3.3,7.7,6.7,90.2,0,0,0,,0,0,40.7,14.9,121.8,1014.7,47.1,4.1,36.1,3,2,,2022-01-07T07:05:40,2022-01-07T16:59:32,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SE059,74917100479,KTSP,72384023155,CI125,KBFL,CSBFL"
bakersfield,2022-01-08,13.8,5.6,9.7,13.8,3.9,9.2,7.4,86.4,0,0,0,,0,0,50,13,3.8,1019.5,57.5,5.3,87.3,7.5,4,,2022-01-08T07:05:38,2022-01-08T17:00:26,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72389523149,74917100479,KTSP,KSDB,72384023155,CI005,KBFL,CSBFL"
bakersfield,2022-01-09,15.6,3.4,8.1,15.6,1.3,7.4,6,87.6,0,0,0,,0,0,61.2,20.5,330.8,1025.7,47.2,4.6,110.4,9.7,5,,2022-01-09T07:05:34,2022-01-09T17:01:20,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72389523149,KSDB,72384023155,CI125,KBFL,CSBFL"
bakersfield,2022-01-10,13.3,3.9,7.7,13.3,1.6,6.8,5.6,87.1,0,0,0,,0,0,59.4,11.3,124.1,1029.6,28.1,4.4,72.3,6.3,5,10,2022-01-10T07:05:28,2022-01-10T17:02:15,0.26,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72389523149,KSDB,74917100479,KTSP,72384023155,CI125,KBFL,CSBFL"
bakersfield,2022-01-11,15,3.9,9.2,15,1.6,8.2,5.8,80.2,0,0,0,,0,0,68.4,18.4,61.4,1028.1,13.2,4.9,123,10.8,5,10,2022-01-11T07:05:21,2022-01-11T17:03:11,0.3,Clear,Clear conditions throughout the day.,clear-day,"72389523149,74917100479,KTSP,KSDB,72384023155,CI125,KBFL,CSBFL"
bakersfield,2022-01-12,17.2,3.9,9.8,17.2,0.5,9.2,5.2,74.9,0,0,0,rain,0,0,46.4,14.8,48.6,1025.3,0,5.6,107.4,9.4,5,10,2022-01-12T07:05:11,2022-01-12T17:04:07,0.33,Clear,Clear conditions throughout the day.,clear-day,"74917100479,KTSP,72384023155,KBFL,CSBFL"
bakersfield,2022-01-13,16.1,7.9,11,16.1,5.3,10.5,6.8,76.2,0,0,0,,0,0,17.3,14.9,21.3,1023.7,0,5.1,68.3,6.1,4,10,2022-01-13T07:04:59,2022-01-13T17:05:04,0.36,Clear,Clear conditions throughout the day.,clear-day,"74917100479,KTSP,72384023155,CI125,KBFL,CSBFL"
bakersfield,2022-01-14,15,4.3,8.9,15,3.2,8.5,6,83,0,0,0,rain,0,0,51.8,16.9,326.6,1022.6,0,3.7,115.3,10.1,5,10,2022-01-14T07:04:45,2022-01-14T17:06:02,0.4,Clear,Clear conditions throughout the day.,clear-day,"72389523149,74917100479,KTSP,KSDB,72384023155,CI125,KBFL,CSBFL"
bakersfield,2022-01-15,13.3,4.4,8.3,13.3,2.5,7.7,6.7,90.3,0,0,0,rain,0,0,51.8,20.4,298.5,1022.7,54.6,2.6,38.9,3.4,2,10,2022-01-15T07:04:30,2022-01-15T17:07:01,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74917100479,KTSP,72384023155,KBFL,CSBFL"
