name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
barentsburg,2022-01-01,-10,-14,-12.2,-12.1,-25.7,-19.4,-17.7,63.8,0.3,100,12.5,snow,0,61.1,18,37.1,121.1,1017.1,84.8,9.8,0,,0,,,,0.95,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"01008099999,ENSB,20107099999"
barentsburg,2022-01-02,-10,-13.4,-11.5,-12.4,-24,-20.4,-17.6,60.9,1,100,20.83,snow,0.6,61.3,21.6,44.6,141.4,1016.2,56.4,9.8,0,,0,,,,0,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"01008099999,ENSB,20107099999"
barentsburg,2022-01-03,-10.4,-16.1,-14,-18.6,-28.4,-24.7,-20.5,58,0.2,100,4.17,snow,0.4,62,76,53.6,127.5,1018.3,15.6,9.3,0,,0,,,,0.02,Snow,Clear conditions throughout the day with afternoon snow.,snow,"01008099999,ENSB,20107099999"
barentsburg,2022-01-04,-13.7,-19,-17,-20.4,-29.8,-25.7,-21.1,70.6,0,0,0,,0,62.1,42.8,24.8,115.7,1012.8,52.7,9.5,0,,0,,,,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"01008099999,01017099999,ENSB,20107099999,remote"
barentsburg,2022-01-05,-12.9,-19.4,-16.1,-19.8,-29.3,-24.4,-20.7,68,0,0,0,,0.6,62.3,32.4,25.2,129.5,1005.9,75.4,9.7,0,,0,,,,0.09,Partially cloudy,Partly cloudy throughout the day.,snow,"01008099999,ENSB,20107099999,remote"
barentsburg,2022-01-06,-4.1,-13,-9.7,-10.4,-23,-17,-13.1,76.9,1.6,100,8.33,snow,5,64.7,61.2,39.6,151.9,1002.6,80.2,6.9,0,,0,,,,0.12,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"01008099999,ENSB,20107099999,remote"
barentsburg,2022-01-07,-7.2,-17,-11.9,-10.2,-27.2,-19.2,-15.3,75.8,5,100,4.17,snow,3.1,70.7,36,40.7,114.8,1003,46.5,9.1,0,,0,,,,0.15,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"01008099999,ENSB,20107099999"
barentsburg,2022-01-08,-10.2,-18,-14.5,-12.4,-27.9,-21.6,-18.8,70.1,0.5,100,4.17,snow,1.2,71.6,14.4,25.9,118.6,1004.9,80,9.4,0,,0,,,,0.19,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"01008099999,ENSB,20107099999"
barentsburg,2022-01-09,-2,-12,-6.8,-3,-19.1,-10.6,-8.2,89.5,8,100,12.5,snow,3.9,74,43.2,28.8,117,1000.8,92.3,7,0,,0,,,,0.25,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"01008099999,ENSB,20107099999"
barentsburg,2022-01-10,-4,-8,-6.4,-6.4,-16,-11.6,-8.9,83,3,100,4.17,snow,1.9,77.7,25.2,24.1,126.8,1008.1,91.3,8.8,0,,0,10,,,0.25,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"01008099999,ENSB,20107099999"
barentsburg,2022-01-11,0,-5,-2.5,-6,-12.3,-9.1,-6,77.7,0.9,100,8.33,"rain,snow",3,79,74.2,51.8,132,992.7,91.3,8.5,0,,0,10,,,0.29,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"01008099999,ENSB,20107099999"
barentsburg,2022-01-12,2,-1.3,0.8,0.1,-5.5,-3.6,-3.1,76,4.7,100,8.33,"rain,snow",3,83,50.4,35.3,128,968.3,71.8,9.2,0,,0,10,,,0.32,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"01008099999,ENSB,20107099999"
barentsburg,2022-01-13,1,-7,-2.2,-3.7,-16,-9,-5.8,77,1.7,100,8.33,"rain,snow",0.7,84.8,57.6,46.4,102.1,970.2,80.5,8.3,0,,0,10,,,0.35,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"01008099999,ENSB,20107099999"
barentsburg,2022-01-14,-6.9,-14.4,-11.3,-12.5,-24.4,-19.3,-15.8,69.4,2.7,100,8.33,snow,4.6,85.9,54,40.7,88.2,994.3,72.4,7.3,0,,0,10,,,0.38,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"01008099999,ENSB,20107099999"
barentsburg,2022-01-15,-14,-17.1,-15.1,-20,-26.3,-23.7,-21.1,60.7,0,0,0,,1.7,86.5,36,31.7,333.1,994.3,41.7,9.9,0,,0,10,,,0.42,Partially cloudy,Partly cloudy throughout the day.,snow,"01008099999,ENSB,remote,20107099999"
barentsburg,2022-01-16,-11,-19.2,-13.8,-13,-24.7,-20.5,-17.9,72.1,0.4,100,8.33,snow,0,83.8,28.8,24.1,21.2,983.1,85,9.1,0,,0,10,,,0.45,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"01008099999,ENSB,20107099999,remote"
barentsburg,2022-01-17,-12,-16,-14.1,-14.6,-24.8,-21.2,-19.4,64.8,0.3,100,8.33,snow,0,89.8,21.6,24.1,322.6,990.7,63.9,9.7,0,,0,10,,,0.48,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"01008099999,ENSB,20107099999"
barentsburg,2022-01-18,-9.2,-18.3,-12.5,-16.4,-27.6,-21.8,-17.5,66.2,0,0,0,,1.2,88.2,66.6,50,119.3,986.4,81.8,9.8,0,,0,10,,,0.5,Partially cloudy,Partly cloudy throughout the day.,snow,"01008099999,ENSB,20107099999,remote"
barentsburg,2022-01-19,-8,-13,-10.6,-13.7,-25.3,-19.9,-15.9,65.8,1.5,100,8.33,snow,0.7,91.6,68.4,59.4,86.9,984.4,70.8,8.5,0,,0,10,,,0.55,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"01008099999,ENSB,20107099999"
