name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
baton rouge,2022-01-01,28.8,23.4,25.1,31.2,23.4,25.7,21.5,81,0.688,100,12.5,rain,0,0,59.2,44,195.4,1008.7,96.9,15.8,167.4,7.1,4,,2022-01-01T07:01:50,2022-01-01T17:15:10,0.96,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72104600460,99999953960,KBTR,KHZR,72232013970,72096700457,1313W,LSU01,1311W"
baton rouge,2022-01-02,23.4,-0.6,11.3,23.4,-6.7,8.9,8.8,84.3,0,0,0,,0,0,50,34.9,306.4,1016.6,97.5,15,31.5,1.3,1,,2022-01-02T07:02:03,2022-01-02T17:15:54,0,Overcast,Cloudy skies throughout the day.,cloudy,"72104600460,KBTR,KHZR,72232013970,72096700457,LSU01,1311W"
baton rouge,2022-01-03,9.9,-2.1,2.9,8.9,-5.6,0.2,-4,62.5,0,0,0,,0,0,33.5,16.4,339.6,1029.4,17.4,16,335,14.4,6,,2022-01-03T07:02:15,2022-01-03T17:16:38,0.03,Clear,Clear conditions throughout the day.,clear-day,"72104600460,KBTR,KHZR,72232013970,72096700457,LSU01,1311W"
baton rouge,2022-01-04,13.4,-1.1,5.5,13.4,-4.1,4.3,1.2,75.7,0,0,0,,0,0,,16.3,112.6,1024.1,9.6,16,273.8,11.8,7,,2022-01-04T07:02:25,2022-01-04T17:17:23,0.06,Clear,Clear conditions throughout the day.,clear-day,"72104600460,KBTR,KHZR,72232013970,72096700457,LSU01,1311W"
baton rouge,2022-01-05,20.7,8.8,14,20.7,8.4,13.9,9.9,77.7,0,0,0,,0,0,,10.7,102.3,1015.9,78.5,15.5,167.8,7.2,5,,2022-01-05T07:02:33,2022-01-05T17:18:09,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72104600460,KBTR,KHZR,72232013970,72096700457,1313W,1311W"
baton rouge,2022-01-06,22.1,3.9,12.9,22.1,0.8,12,10.1,84.1,0.916,100,12.5,rain,0,0,43.9,26.3,339.5,1015,65.7,15.5,241.7,10.6,5,,2022-01-06T07:02:39,2022-01-06T17:18:56,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72104600460,KBTR,KHZR,72232013970,72096700457,1313W,LSU01,1311W"
baton rouge,2022-01-07,12.8,0.8,6.4,12.8,-1.2,5.1,1.7,74,0,0,0,,0,0,,19.4,54.4,1023.7,23.9,16,299.3,12.8,6,,2022-01-07T07:02:44,2022-01-07T17:19:43,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72104600460,KBTR,KHZR,72232013970,72096700457,1313W,LSU01,1311W"
baton rouge,2022-01-08,18.8,9,14.5,18.8,6.8,14.2,10.7,78.6,0.271,100,4.17,rain,0,0,59,24.9,107.5,1022.8,88.5,16,145.2,6.3,3,,2022-01-08T07:02:47,2022-01-08T17:20:32,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72104600460,KBTR,KHZR,72232013970,72096700457,1313W,LSU01,1311W"
baton rouge,2022-01-09,26.6,14,19.6,26.6,14,19.6,18.2,92.1,22.009,100,29.17,rain,0,0,44.6,34.7,173.9,1022.2,96,11.6,90.6,5.2,4,,2022-01-09T07:02:48,2022-01-09T17:21:20,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72104600460,KBTR,KHZR,72232013970,72096700457,LSU01,1311W"
baton rouge,2022-01-10,13.9,4,9.5,13.9,2.7,7.9,0.2,56.5,0,0,0,,0,0,40.7,26.9,12.6,1031,29.2,16,231.6,14.2,7,10,2022-01-10T07:02:48,2022-01-10T17:22:10,0.26,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72104600460,KBTR,KHZR,72232013970,72096700457,LSU01,1311W"
baton rouge,2022-01-11,15,1.7,7.8,15,-1.8,6.2,-2.5,51.5,0,0,0,,0,0,31.7,23.1,30.3,1032.5,0.1,16,167.9,14.4,7,10,2022-01-11T07:02:46,2022-01-11T17:23:00,0.29,Clear,Clear conditions throughout the day.,clear-day,"72104600460,KBTR,KHZR,72232013970,72096700457,1313W,1311W"
