name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
beijing,2022-01-01,8,-10,-1.6,6.2,-13.1,-4.9,-13.7,45.4,0,0,0,,0,0,42.8,32.4,323.1,1027.2,0,11.3,106.3,9.2,5,,2022-01-01T07:36:07,2022-01-01T16:59:47,0.94,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-01-02,2,-12,-3.4,-1.1,-16.4,-5.5,-16.1,38.9,0,0,0,,0,0,42.8,18,195.2,1030.9,45.4,12.5,109.6,9.3,5,,2022-01-02T07:36:14,2022-01-02T17:00:37,0.98,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
beijing,2022-01-03,5.2,-10,-2.7,3.4,-14.1,-4.5,-14.3,44.7,0,0,0,,0,0,27.4,14.4,2.9,1026.6,6.6,11.1,113.5,9.8,5,,2022-01-03T07:36:19,2022-01-03T17:01:28,0,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-01-04,3,-10,-3.9,2,-14.1,-5.4,-11,59.9,0,0,0,,0,0,15.8,10.8,44.3,1031.2,14.4,10.4,100.4,8.7,4,,2022-01-04T07:36:22,2022-01-04T17:02:21,0.05,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-01-05,2.3,-9,-3.6,2,-9.8,-4.7,-7.6,75.3,0,0,0,,0,0,15.8,10.8,8.8,1030.4,66.5,9.6,97.2,8.5,4,,2022-01-05T07:36:22,2022-01-05T17:03:15,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
beijing,2022-01-06,6,-7.5,-1.9,6,-11.9,-4,-9.7,60.1,0,0,0,,0,0,16.9,10.8,18.5,1033.8,0.3,9.8,111.4,9.5,5,,2022-01-06T07:36:21,2022-01-06T17:04:11,0.11,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-01-07,4,-8,-3.3,3.3,-9.4,-3.9,-8.3,71,0,0,0,,0,0,14.4,10.8,316.4,1030.1,1.3,8.5,78.6,6.7,4,,2022-01-07T07:36:17,2022-01-07T17:05:08,0.14,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-01-08,8.5,-8,-0.2,6.9,-11.2,-2.1,-10.3,53.3,0,0,0,,0,0,33.1,18,359.8,1025.8,10.3,9.2,118,10.2,5,,2022-01-08T07:36:11,2022-01-08T17:06:06,0.18,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-01-09,1,-3,-0.5,1,-3.6,-1.7,-4.4,75.1,0,0,0,,0,0,23,10.8,82.2,1026.3,64.9,9.8,83.5,7.2,4,,2022-01-09T07:36:03,2022-01-09T17:07:05,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
beijing,2022-01-10,2,-5,-1.7,-1.4,-9.5,-5.6,-14.8,46.2,0,0,0,,0,0,38.2,36,353.1,1027.7,24,11.8,122.9,10.6,5,10,2022-01-10T07:35:52,2022-01-10T17:08:06,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
beijing,2022-01-11,0,-9,-4.9,0,-12.9,-7.1,-18.6,34.4,0,0,0,,0,0,38.2,10.8,33.6,1028.2,22.6,12.5,112.3,9.7,3,10,2022-01-11T07:35:39,2022-01-11T17:09:07,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
beijing,2022-01-12,2,-10,-3.7,-1.8,-13.1,-7.7,-16.2,41.1,0,0,0,,0,0,64.8,43.2,336.5,1026.6,53.5,12.4,80.1,6.8,3,10,2022-01-12T07:35:24,2022-01-12T17:10:10,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
beijing,2022-01-13,4,-6,-1.6,1.3,-10.4,-5,-17.4,30.5,0,0,0,,0,0,37.4,18,258.8,1028.5,0,11.7,116.9,10.2,4,10,2022-01-13T07:35:07,2022-01-13T17:11:13,0.34,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-01-14,1.8,-11,-4.8,0.5,-11,-5.3,-11.8,59.3,0,0,0,,0,0,21.2,7.5,102.3,1021.8,18.4,9,112.8,9.8,4,10,2022-01-14T07:34:48,2022-01-14T17:12:18,0.37,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-01-15,4,-9,-2.7,-0.8,-14.3,-6.7,-14.7,48,0,0,0,,0,0,51.8,32.4,347.2,1024.2,3.7,9.8,114.7,10,4,10,2022-01-15T07:34:27,2022-01-15T17:13:23,0.41,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-01-16,1,-9,-4.7,-1,-14.3,-7.1,-17.3,38.4,0,0,0,,0,0,32.8,10.8,344.6,1030.7,7.8,12.1,116.6,10.1,4,10,2022-01-16T07:34:03,2022-01-16T17:14:29,0.44,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-01-17,5,-11,-2.5,2.3,-15.3,-5.5,-17.2,36.9,0,0,0,,0,0,38.9,25.2,288,1030.5,0,11.5,122.9,10.7,4,10,2022-01-17T07:33:38,2022-01-17T17:15:36,0.47,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-01-18,3,-12,-4.1,3,-12,-4.9,-12.4,54.8,0,0,0,,0,0,22,7.7,53.2,1025.9,22.5,10,113.8,9.9,4,10,2022-01-18T07:33:10,2022-01-18T17:16:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
beijing,2022-01-19,-1.8,-7,-3.5,-4,-8.7,-6.4,-10.7,59.9,0,0,0,,0,0,24.1,18,150,1032.1,32.3,9.8,115.2,9.9,4,10,2022-01-19T07:32:40,2022-01-19T17:17:52,0.54,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
beijing,2022-01-20,-2.8,-7,-4.1,-3,-11.9,-7.2,-9.8,64.5,0,0,0,,0,0,23,14.4,145.7,1034.5,91.4,9.3,85,7.4,3,10,2022-01-20T07:32:08,2022-01-20T17:19:00,0.58,Overcast,Cloudy skies throughout the day.,cloudy,"ZBAA,54511099999"
beijing,2022-01-21,-2.6,-5,-3.5,-3.9,-7.1,-5.9,-8.6,68.7,0.2,100,4.17,snow,0.2,0,20.2,10.8,136.2,1031.4,97.9,8,89.9,7.6,3,10,2022-01-21T07:31:34,2022-01-21T17:20:10,0.61,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"ZBAA,54511099999"
beijing,2022-01-22,-1,-6,-3.8,-1,-6,-3.9,-5.9,85.6,1.8,100,8.33,snow,1.4,1.5,13.3,6.1,56.9,1028.6,70.3,4,76.9,6.6,3,10,2022-01-22T07:30:58,2022-01-22T17:21:19,0.65,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"ZBAA,54511099999"
beijing,2022-01-23,0,-6,-2.1,0,-6,-3,-4.4,84.7,0,0,0,,0,0.4,13.3,10.8,141.9,1030.4,13.7,3.9,114.2,10,4,10,2022-01-23T07:30:21,2022-01-23T17:22:30,0.68,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-01-24,1,-3,-1,1,-3.1,-1.7,-3.7,82.6,0,0,0,,0,1.2,14.8,8.7,178.4,1026.6,26.8,2.2,110.1,9.6,4,10,2022-01-24T07:29:41,2022-01-24T17:23:40,0.72,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
beijing,2022-01-25,6,-3,1.3,2.4,-6,-1.6,-8.4,55.2,0,0,0,,0,1.4,43.2,25.2,313.5,1024.8,3.7,8,129.8,11.3,4,10,2022-01-25T07:28:59,2022-01-25T17:24:51,0.75,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-01-26,1.2,-5,-2.1,-1,-9.9,-5.7,-14.4,39.6,0,0,0,,0,1.1,43.2,18,3.5,1030.6,77.4,12.7,103.8,9.1,3,10,2022-01-26T07:28:15,2022-01-26T17:26:03,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
beijing,2022-01-27,2.2,-8,-2.4,1,-13.1,-5.6,-15.2,38.5,0,0,0,,0,1.7,30.6,18,17.4,1033.1,23.9,12.9,138.8,12.2,4,10,2022-01-27T07:27:29,2022-01-27T17:27:14,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
beijing,2022-01-28,3,-7,-3,3,-11.9,-5.6,-16.6,36.2,0,0,0,,0,0.5,30.6,14.4,18.8,1031.9,76.7,12.3,130,11.4,4,10,2022-01-28T07:26:42,2022-01-28T17:28:26,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
beijing,2022-01-29,4.2,-8,-2.4,4.2,-13.1,-4.6,-15.8,38.4,0,0,0,,0,0,20.2,18,348.9,1026.7,3,11.7,141,12.3,4,10,2022-01-29T07:25:53,2022-01-29T17:29:38,0.89,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-01-30,3,-10,-3.1,1.2,-11.4,-4.3,-9,65.9,0.8,100,4.17,"rain,snow",0.1,0,20.5,14.4,46.6,1024.4,17,7,130,11.4,4,10,2022-01-30T07:25:02,2022-01-30T17:30:50,0.93,"Snow, Rain",Clear conditions throughout the day with late afternoon rain or snow.,snow,"ZBAA,54511099999"
beijing,2022-01-31,0,-7,-2.3,-4.6,-12.3,-8.3,-16.6,34.4,0,0,0,,0,0.1,61.2,39.6,313.4,1025.9,4.2,13.2,146.1,12.7,4,10,2022-01-31T07:24:09,2022-01-31T17:32:02,0.96,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-02-01,2,-10,-4.4,2,-15.5,-7.6,-18.1,36,0,0,0,,0,0,48.2,18,348.2,1032.7,0,13,151.4,13.1,5,10,2022-02-01T07:23:14,2022-02-01T17:33:15,0,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-02-02,5,-12,-4.1,3.3,-17.9,-6.7,-17.7,39.6,0,0,0,,0,0,28.8,18,336.4,1030.9,0,12.5,152.5,13.2,5,10,2022-02-02T07:22:18,2022-02-02T17:34:27,0.03,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-02-03,2.2,-10,-3.1,-0.1,-12.9,-5.8,-17.5,35.6,0,0,0,,0,0,38.2,14.4,6.9,1029.8,13.6,13,146.8,12.7,4,10,2022-02-03T07:21:20,2022-02-03T17:35:39,0.06,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-02-04,1,-6.5,-3.8,-3.9,-13.6,-9.5,-20.7,26.6,0,0,0,,0,0,43.2,36,322.9,1033,0.2,13.2,158,13.9,5,10,2022-02-04T07:20:21,2022-02-04T17:36:52,0.09,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-02-05,4,-6,-1.3,0.9,-13.1,-6.2,-20.1,23.5,0,0,0,,0,0,42.5,32.4,299.8,1033.4,6,13.2,158.9,14,5,10,2022-02-05T07:19:19,2022-02-05T17:38:04,0.13,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
beijing,2022-02-06,6,-6,0.4,3.7,-7.1,-2.4,-17.1,27.5,0,0,0,,0,0,34.9,21.6,324.2,1031.9,58.4,12.2,147.5,13.1,4,10,2022-02-06T07:18:17,2022-02-06T17:39:16,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
