name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
berlin,2022-01-01,12.5,10.9,11.9,12.5,10.9,11.9,10,88.4,0.555,100,29.17,rain,0,0,,28.8,257.5,1021.5,95.5,19.8,13.6,1.2,1,,2022-01-01T08:17:23,2022-01-01T16:02:56,0.95,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"00427,00420,03987,remote,00403,E2835,00433,00400"
berlin,2022-01-02,11.5,8,9.8,11.5,6,8.9,7.4,85.4,2.06,100,29.17,rain,0,0,,21.9,213.7,1013,83.5,37.4,8.7,0.6,0,,2022-01-02T08:17:14,2022-01-02T16:04:03,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-03,10.7,7,9,10.7,4,6.8,5.7,80.3,3.544,100,58.33,rain,0,0,,35.9,238.3,1006.3,47.9,35.4,23.1,1.9,2,,2022-01-03T08:17:01,2022-01-03T16:05:12,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-04,6.9,5.3,6.2,5,1.5,3.9,4.9,91.3,1.721,100,33.33,rain,0,0,,19.8,227,996.8,95.3,33.4,10.4,0.7,1,,2022-01-04T08:16:45,2022-01-04T16:06:24,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-05,4.8,2.5,3.7,1.8,-1.7,0,0.9,82.3,0.821,100,29.17,rain,0,0,,25.3,241,997.9,63.4,36.5,27.7,2.3,2,,2022-01-05T08:16:25,2022-01-05T16:07:39,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-06,4,-0.9,1.2,0,-5.4,-3.1,-2.9,74.8,0.066,100,8.33,"rain,snow",0,0,,30.9,285.9,1013.5,14.5,44.5,51.1,4.5,3,,2022-01-06T08:16:02,2022-01-06T16:08:56,0.12,"Snow, Rain",Clear conditions throughout the day with early morning snow or rain.,rain,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-07,2.7,-1.6,0.5,-1.7,-5.6,-3.5,-1.3,88.1,0.582,100,33.33,"rain,snow",0.3,0.1,,19.5,196.3,1014.2,73.2,22,20.8,1.7,1,,2022-01-07T08:15:35,2022-01-07T16:10:15,0.15,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-08,3,-0.2,1.3,0.4,-4.8,-1.9,-0.3,89,0.811,100,12.5,"rain,snow",0.2,0.4,,15.7,199,1008.7,48,20.1,30.7,2.6,2,,2022-01-08T08:15:05,2022-01-08T16:11:37,0.19,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,snow,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-09,3.1,-0.8,1.3,1.6,-6,-2.5,-1.8,80.2,0.127,100,12.5,rain,0,0.1,,18.8,148.2,999.3,95.1,36.7,18.7,1.8,1,,2022-01-09T08:14:32,2022-01-09T16:13:01,0.25,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-10,4.8,-0.8,3.1,3.4,-4.4,0.8,1.9,91.4,0.41,100,37.5,"rain,snow",0,0,20.5,11.9,320.3,1019.3,74.3,11.3,13.4,1,1,10,2022-01-10T08:13:56,2022-01-10T16:14:28,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-11,-0.6,-3.2,-2.3,-3.1,-8,-5.6,-3.9,88.8,0,0,0,,0,0,22.7,14.9,148.2,1035.5,17.1,6.5,24,2.2,1,10,2022-01-11T08:13:16,2022-01-11T16:15:57,0.29,Clear,Clear conditions throughout the day.,clear-day,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-12,3.2,-2.4,0.6,-0.1,-5.5,-2.5,-0.5,92.7,0.253,100,12.5,"rain,snow",0,0,38.9,16.5,247.8,1036.5,94.5,6.3,18.8,1.7,1,10,2022-01-12T08:12:33,2022-01-12T16:17:27,0.32,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-13,5.1,3.4,4.1,1.2,-0.6,0.2,2.6,89.7,0,0,0,rain,0,0,54,24,264.9,1034.4,75.9,10.1,15.9,1.2,1,10,2022-01-13T08:11:47,2022-01-13T16:19:00,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-14,6.7,3.5,5.4,3.5,0.4,1.6,3.5,87.6,0.245,100,16.67,rain,0,0,55.1,26.4,279.3,1029.5,78.4,15.6,9.3,0.7,0,10,2022-01-14T08:10:57,2022-01-14T16:20:34,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-15,2.9,0.6,1.7,2.5,-3.3,-0.7,-0.1,88.1,0,0,0,,0,0,25.6,13.2,276.6,1029.1,26.9,20.4,25.7,2.2,1,10,2022-01-15T08:10:05,2022-01-15T16:22:10,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-16,5.1,-1,1.9,1.1,-4.3,-1.5,0,87.2,0.178,100,12.5,rain,0,0,54,21.8,237.6,1020.7,99.9,15.3,18.4,1.8,1,10,2022-01-16T08:09:10,2022-01-16T16:23:48,0.45,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-17,6.1,1.1,4.2,1.7,-3.4,-0.4,1,79.8,4.477,100,37.5,rain,0,0,90.4,37.2,288.5,1021.5,61.3,30.3,21.5,1.7,1,10,2022-01-17T08:08:12,2022-01-17T16:25:27,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-18,5.3,-0.9,2.7,3.1,-5.1,-0.4,0.3,84.5,0,0,0,,0,0,36,15.9,276.7,1034.5,48,28.3,29.3,2.5,1,10,2022-01-18T08:07:11,2022-01-18T16:27:08,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-19,5.4,2.6,4,2.8,-1.8,0.4,1.1,81.7,0,0,0,rain,0.5,0.2,54.7,24.8,238.9,1023.1,92.5,26.2,31.5,2.9,2,10,2022-01-19T08:06:07,2022-01-19T16:28:50,0.55,Overcast,Cloudy skies throughout the day.,snow,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-20,4,-1.9,1.3,-0.6,-7.8,-4.4,-2.7,75.4,2.049,100,58.33,"rain,snow",1.6,1.2,64.8,43,291.2,1015,55.3,33.1,41,3.5,3,10,2022-01-20T08:05:00,2022-01-20T16:30:33,0.59,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-21,2.3,-2.9,0,-2.1,-8.5,-5.3,-4.9,70.2,0.801,100,12.5,rain,0.9,2.3,49.3,27.9,283.8,1023.9,31,41.5,68.8,5.9,3,10,2022-01-21T08:03:51,2022-01-21T16:32:18,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"00427,00420,03987,00403,E2835,00433,00400"
berlin,2022-01-22,3.7,1.4,2.8,3.1,-2.4,-0.1,0.7,85.9,1.364,100,29.17,rain,0,0.4,46.8,21.3,311.2,1026.8,84.6,31,39.1,3.3,2,10,2022-01-22T08:02:38,2022-01-22T16:34:04,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"00427,00420,03987,00403,E2835,00433,00400"
