name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
birmingham,2022-01-01,14,11.8,12.8,14,11.8,12.8,11.1,89.5,0.777,100,16.67,rain,0,0,37.2,21.1,186.3,1013.5,66.2,12.6,65.6,1.8,1,,2022-01-01T08:18:19,2022-01-01T16:04:19,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999,AU757"
birmingham,2022-01-02,11.9,8.1,9.9,11.9,6,8.6,8.4,90.8,5.987,100,25,rain,0,0,34.9,19.4,214.9,1007.2,62.5,17.7,69.4,1.9,2,,2022-01-02T08:18:10,2022-01-02T16:05:25,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999,AU757"
birmingham,2022-01-03,9.1,6.1,8,6.9,3.9,5.8,5.3,83.3,1.032,100,8.33,rain,0,0,34.9,17,214.2,1004.7,44,14.9,78.1,2.2,2,,2022-01-03T08:17:57,2022-01-03T16:06:34,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999,AU757"
birmingham,2022-01-04,6.8,1.8,3.7,5.8,-2.7,0.2,1.2,84.7,1.377,100,20.83,"rain,snow",0,0,30.7,26.3,312.8,1001.8,57.1,17.8,95.4,2.7,2,,2022-01-04T08:17:40,2022-01-04T16:07:46,0.06,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow clearing later.,rain,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999,AU757"
birmingham,2022-01-05,5.9,-2.1,2.5,2.6,-3.9,-0.8,0,83.8,0.095,100,4.17,rain,0,0,34.7,22.9,293.8,1013.6,20.4,16.3,101.3,2.9,2,,2022-01-05T08:17:21,2022-01-05T16:09:01,0.09,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999,AU757"
birmingham,2022-01-06,6.8,-4.4,1.6,4,-7.8,-1.6,0.4,92.4,1.691,100,29.17,"rain,snow",0,0,36.2,20.1,187.7,1013.4,51.7,13.3,29.4,1,1,,2022-01-06T08:16:57,2022-01-06T16:10:18,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03529099999,03414099999,EGBB,D6997,03535099999,03534099999,03544099999,AU757"
birmingham,2022-01-07,4.9,1.8,3.4,2,-1.9,0,0.3,80.4,0.147,100,4.17,rain,0,0,29.2,19.5,245.6,1008.1,34.6,21.6,53.9,1.6,1,,2022-01-07T08:16:31,2022-01-07T16:11:38,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999,AU757"
birmingham,2022-01-08,9.1,2.8,5.9,6.5,-0.6,2.8,4.4,90.7,2.999,100,41.67,rain,0,0,38.5,22.9,227.8,998.9,72.9,15,29.1,0.8,1,,2022-01-08T08:16:01,2022-01-08T16:13:00,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03529099999,03414099999,E8801,EGBB,03535099999,03534099999,03544099999,AU757"
birmingham,2022-01-09,7.1,2,3.9,5.9,-1.1,1.6,1.6,85.4,0,0,0,,0,0,22.5,15.6,239.1,1001.3,20.9,16,103.6,3,2,,2022-01-09T08:15:28,2022-01-09T16:14:24,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03529099999,03414099999,EGBB,03535099999,03534099999,03544099999,AU757"
birmingham,2022-01-10,8.9,1.5,5.6,7.5,-0.7,3.8,5.2,97.4,0.215,100,12.5,rain,0,0,19.6,13.1,162.9,1016.4,91.3,10.6,31.1,1,1,,2022-01-10T08:14:51,2022-01-10T16:15:50,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"03529099999,03414099999,EGBB,D6997,03535099999,03534099999,03544099999,AU757"
