name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bordeaux,2022-01-01,20.7,6.9,11.8,20.7,5.4,11.2,8.3,81.6,0.007,100,4.17,rain,,,20.4,14.4,138.8,1024.3,68,16.1,70.6,6.1,4,,2022-01-01T08:40:08,2022-01-01T17:31:51,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-02,16.8,9,12.5,16.8,8.6,12.5,9.5,81.8,0,0,0,,,,32.4,21.8,231.7,1025.7,92.2,20.4,43.5,3.9,2,,2022-01-02T08:40:10,2022-01-02T17:32:46,0,Overcast,Cloudy skies throughout the day.,cloudy,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-03,17.8,9.9,12.7,17.8,8.4,12.6,9.5,81.6,0,0,0,,,,34.6,21.8,181,1021.3,95.6,19.3,67.7,5.8,3,,2022-01-03T08:40:09,2022-01-03T17:33:43,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-04,14.8,7.9,11.7,14.8,5.9,11.1,8.4,81.1,0.773,100,25,rain,,,37.2,21.4,255.4,1008.5,89.6,21.3,21.3,1.8,1,,2022-01-04T08:40:05,2022-01-04T17:34:42,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-05,8.8,0,5,7.7,-0.4,4,1.8,81.2,0.275,100,20.83,rain,,,31,14.7,331.6,1018.2,66.8,19.1,63.1,5.5,3,,2022-01-05T08:39:59,2022-01-05T17:35:43,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-06,9,-1,3.4,9,-1.4,3.1,-0.9,76,0,0,0,,,,14.1,7.3,253.1,1023.6,89.7,13.9,81.8,6.8,4,,2022-01-06T08:39:50,2022-01-06T17:36:46,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-07,13,3,7.2,13,-0.4,5.3,2.4,71.8,0.296,100,25,rain,,,40.8,29.3,244.6,1025.3,90,19.1,60.3,5.2,3,,2022-01-07T08:39:39,2022-01-07T17:37:50,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-08,11.8,8,10.4,11.8,5.9,9.7,8.4,88,9.498,100,54.17,rain,,,78.1,44.9,263.2,1020.8,91.9,10.8,50.4,4.4,3,,2022-01-08T08:39:25,2022-01-08T17:38:56,0.19,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-09,11,5.8,9.2,11,1.8,7.6,7.6,87.9,12.672,100,54.17,rain,,,72.8,24.7,287.2,1014.4,96.4,8.4,13.3,1.1,1,,2022-01-09T08:39:09,2022-01-09T17:40:03,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-10,12.9,9.1,11.1,12.9,8.1,10.9,10.5,95.9,6.732,100,54.17,rain,0,0,54.2,32.2,321.4,1019,99.7,8,14.6,1.2,1,10,2022-01-10T08:38:49,2022-01-10T17:41:12,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-11,11.1,3.2,7.3,11.1,1.7,6.6,4.2,82.7,0,0,0,rain,0,0,20.5,14.5,16.2,1029.3,51.9,13,84.1,7.1,4,10,2022-01-11T08:38:28,2022-01-11T17:42:22,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-12,6.1,0,2.5,3.1,-3.5,-0.5,-0.4,81.6,0.007,100,4.17,rain,0,0,27.7,16.5,26.1,1034.5,5.4,14.3,85.4,7.3,4,10,2022-01-12T08:38:04,2022-01-12T17:43:33,0.32,Rain,Clear conditions throughout the day with afternoon rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-13,5.2,-2,0.7,3,-4,-1.5,-0.7,90.5,0.024,100,8.33,"rain,snow",0,0,18.9,12.9,97.3,1035.3,33.2,5.9,72.5,6.2,4,10,2022-01-13T08:37:37,2022-01-13T17:44:46,0.35,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow in the morning and afternoon.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-14,8,-1.1,1.4,6.8,-5.4,-1,-0.2,90.4,0.004,100,4.17,"rain,snow",0,0,20.9,16.3,115.8,1033.3,51.7,5.1,67.1,5.9,4,10,2022-01-14T08:37:08,2022-01-14T17:46:00,0.38,"Snow, Rain, Partially cloudy",Clearing in the afternoon with afternoon rain or snow.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-15,8.9,-4.1,0.6,8.9,-6.2,0.3,-1.4,88,0.017,100,8.33,"rain,snow",0,0,12.8,7.5,115.9,1028.1,61.6,3.7,75.8,6.6,4,10,2022-01-15T08:36:37,2022-01-15T17:47:15,0.42,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-16,3.3,-3.1,-1.1,2,-5.3,-2.4,-1.7,95.8,0.007,100,4.17,"rain,snow",0,0,23.3,12.4,34.2,1032.4,83.4,1.1,60.3,5.2,3,10,2022-01-16T08:36:03,2022-01-16T17:48:31,0.45,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-17,7.1,-0.1,3.6,5.4,-2.6,2.1,2.7,94.2,0,0,0,,0,0,25.6,12.9,33.1,1036.4,99.3,6.2,56.3,4.7,3,10,2022-01-17T08:35:26,2022-01-17T17:49:48,0.48,Overcast,Cloudy skies throughout the day.,cloudy,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-18,5,-1.6,2.4,4.1,-3.5,1.2,1.7,95.3,0,0,0,,0,0,17.4,9,216.6,1033.3,94.5,5.6,25.1,2.1,1,10,2022-01-18T08:34:48,2022-01-18T17:51:07,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-19,9.1,4.9,6.3,8.5,2.4,5.5,5.3,93.6,0.017,100,4.17,rain,0,0,18.1,11,211.4,1032.5,98.8,9.1,24.5,2.1,1,10,2022-01-19T08:34:07,2022-01-19T17:52:26,0.55,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-20,7.3,3,6.2,7,0.1,4.1,5.5,95.3,0.543,100,25,rain,0,0,29.5,20.2,49.8,1031.7,93.7,8.1,23,2,2,10,2022-01-20T08:33:23,2022-01-20T17:53:45,0.59,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-21,6,1.1,3.1,2.2,-3.1,-0.5,-0.3,79.1,0.007,100,4.17,rain,0,0,40.5,22.4,22,1034.6,30.4,18.1,74.3,6.6,3,10,2022-01-21T08:32:38,2022-01-21T17:55:06,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-22,8.7,-2.7,2.6,6.2,-3.4,-0.1,-0.7,80,0.007,100,4.17,rain,0,0,28.1,18.2,31,1034.5,2.9,18,95,8.2,4,10,2022-01-22T08:31:50,2022-01-22T17:56:27,0.66,Rain,Clear conditions throughout the day with morning rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-23,8.9,-1,2.8,7.4,-4.3,1,-0.2,82.2,0,0,0,,0,0,20.6,12.9,56.6,1029.3,0.9,11.8,97.6,8.5,4,10,2022-01-23T08:31:00,2022-01-23T17:57:49,0.69,Clear,Clear conditions throughout the day.,clear-day,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-24,13.8,-0.8,4.4,13.8,-2.7,3.2,1.2,82,0.007,100,4.17,rain,0,0,23.3,12.6,87.6,1028.5,0.9,8,97,8.5,4,10,2022-01-24T08:30:08,2022-01-24T17:59:12,0.73,Rain,Clear conditions throughout the day with morning rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-25,12.9,-1,4.2,12.9,-2.8,3.8,1.3,83.6,0.007,100,4.17,rain,0,0,11.2,7.7,89.7,1032.7,9.4,5.6,108.3,9.6,4,10,2022-01-25T08:29:13,2022-01-25T18:00:35,0.75,Rain,Clear conditions throughout the day with morning rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-26,11,-3,2.6,11,-3.4,1.6,0.2,86.1,0.007,100,4.17,rain,0,0,22.3,13,24.9,1032.9,38.7,4.8,100.4,8.8,4,10,2022-01-26T08:28:17,2022-01-26T18:01:58,0.8,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-27,2,-2,-0.7,-0.2,-5.7,-3.6,-1.1,97.3,0.004,100,4.17,"rain,snow",0,0,28.8,16.2,27.7,1033.5,93.2,3.1,59.3,5.2,4,10,2022-01-27T08:27:18,2022-01-27T18:03:22,0.83,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-28,9.6,-0.3,3.4,9.6,-4.6,1.9,2.5,94.6,0.007,100,4.17,rain,0,0,24.6,16.2,53.6,1037.4,89.5,4.1,35.6,3.2,2,10,2022-01-28T08:26:18,2022-01-28T18:04:47,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-29,4.7,2.1,3.1,3.8,-1.3,0.9,2.8,97.9,0.007,100,4.17,rain,0,0,21.5,12.7,58.5,1038.1,100,2.7,20.6,1.8,1,10,2022-01-29T08:25:16,2022-01-29T18:06:12,0.9,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
bordeaux,2022-01-30,7.9,2.8,5.6,7.7,-0.3,4,4.8,94.9,0.007,100,4.17,rain,0,0,20.9,12.5,51.2,1033.6,99.6,9.9,25.4,2.1,1,10,2022-01-30T08:24:11,2022-01-30T18:07:37,0.94,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"07502099999,LFBC,C8425,07510099999,07500099999,07503099999,LFBD"
