name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bufflo,2022-01-01,9.3,1.1,5,7.6,-3.3,2.3,3.3,89.2,6.098,100,37.5,"rain,snow",0.6,0.5,37.1,20.3,353.9,1006.6,99.4,9.5,24.5,0.8,0,,2022-01-01T07:46:37,2022-01-01T16:51:57,0.96,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"71752099999,71432099999,72528014733,KIAG,E5040,72528704724,KBUF,F3072"
bufflo,2022-01-02,1.1,-6.3,-3.1,-3.3,-12.1,-8.6,-5.9,81.4,4.321,100,50,"rain,snow",1.3,1.9,37.1,23.4,356.1,1013.5,98.6,8.9,13.9,0.6,0,,2022-01-02T07:46:40,2022-01-02T16:52:50,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"71752099999,71432099999,72528014733,KIAG,E5040,72528704724,F7692,KBUF"
bufflo,2022-01-03,-6.2,-11.5,-8.4,-6.2,-16.7,-12.3,-12.6,71.9,0.07,100,4.17,snow,0.2,2.5,33.5,18.1,18.4,1026.7,42.1,15.1,169.6,6.1,5,,2022-01-03T07:46:41,2022-01-03T16:53:46,0.03,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"71752099999,71432099999,72528014733,KIAG,E5040,72528704724,KBUF,D2713"
bufflo,2022-01-04,1.4,-6.3,-1.3,-1.6,-11.1,-6.1,-6.6,67.7,0,0,0,,0,2,46.4,28.2,206.6,1022.4,80.3,15.5,150.1,4.9,4,,2022-01-04T07:46:39,2022-01-04T16:54:43,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71752099999,71432099999,72528014733,KIAG,E5040,72528704724,KBUF"
bufflo,2022-01-05,5.5,-0.8,3.2,0.8,-9,-2.2,-3.9,59.9,0.449,100,12.5,rain,0.2,1.7,73.7,46.2,219.7,1004.1,90.1,15.8,23.7,0.8,1,,2022-01-05T07:46:35,2022-01-05T16:55:41,0.1,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,"71752099999,71432099999,72528014733,KIAG,E5040,72528704724,KBUF"
bufflo,2022-01-06,-2.1,-5.6,-3.9,-8.2,-12.4,-10.2,-7.7,75.3,13.216,100,58.33,snow,6.9,4.7,70.8,42.1,248.4,1011.9,97.5,7.5,59.1,2.1,2,,2022-01-06T07:46:28,2022-01-06T16:56:41,0.13,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"71752099999,71432099999,72528014733,KIAG,E5040,72528704724,KBUF,F3072"
bufflo,2022-01-07,-4.2,-7.7,-5.9,-7.6,-14.9,-12.4,-11.2,66.5,0.117,100,4.17,snow,4,11.2,50.8,35.3,279.4,1018.1,89.1,14,95.5,3.5,3,,2022-01-07T07:46:19,2022-01-07T16:57:43,0.16,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"72528014733,KIAG,E5040,72528704724,KBUF,F6381"
bufflo,2022-01-08,2.7,-13.3,-5.7,-2.8,-18.6,-10,-12.5,61.2,0,0,0,,0,8.2,48.2,29.3,175.8,1030,67.6,15.2,179.2,7.1,4,,2022-01-08T07:46:08,2022-01-08T16:58:46,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71752099999,71432099999,72528014733,KIAG,E5040,72528704724,F7692,KBUF"
bufflo,2022-01-09,4.9,-4.4,2.1,-0.5,-12.6,-4,-1.9,75.5,3.772,100,50,rain,0,3.7,60.2,43.7,241.7,1015.8,96.2,13.1,28.1,1.1,1,,2022-01-09T07:45:54,2022-01-09T16:59:50,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"71752099999,71432099999,72528014733,KIAG,E5040,72528704724,F7692,KBUF"
bufflo,2022-01-10,-5.6,-10.1,-8.1,-13.9,-19.1,-17,-14.7,59.2,0.443,100,8.33,snow,0.3,1.9,51.5,36.3,267,1023.8,73.1,14.2,173.4,6.9,5,,2022-01-10T07:45:38,2022-01-10T17:00:56,0.26,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"71752099999,71432099999,72528014733,KIAG,E5040,72528704724,F7692,KBUF"
bufflo,2022-01-11,-4.3,-15.6,-11.1,-12.5,-22.1,-17.7,-16.3,66.4,0.109,100,4.17,snow,0.2,2,47.6,34,194.9,1031,82.3,14.9,112.8,4.3,2,,2022-01-11T07:45:19,2022-01-11T17:02:03,0.29,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"71752099999,71432099999,72528014733,KIAG,E5040,72528704724,F7692,KBUF"
bufflo,2022-01-12,2.8,-3.7,1,-0.6,-10.6,-4.1,-4.6,66.6,0.219,100,4.17,"rain,snow",0,1.4,62.6,44.5,236.6,1015,83,14.9,38.7,1.4,1,,2022-01-12T07:44:58,2022-01-12T17:03:11,0.33,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"71752099999,71432099999,72528014733,KIAG,E5040,72528704724,F7692,KBUF,F3072"
bufflo,2022-01-13,3.3,0.4,1.6,1.9,-2,0.4,-0.1,88.4,0.662,100,12.5,"rain,snow",0,0.9,,10,309.9,1013.6,99.9,6,42.5,1.6,1,,2022-01-13T07:44:35,2022-01-13T17:04:20,0.36,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"71752099999,71432099999,72528014733,KIAG,E5040,72528704724,F7692,KBUF,D2713,F6381"
