name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
champaign,2022-01-01,5.9,-0.2,3,2.1,-6.2,-1.8,2,93,7.784,100,45.83,"rain,snow",0,0,49.5,33.5,16.3,1006.7,94.9,7.8,15.2,0.5,0,,2022-01-01T07:15:20,2022-01-01T16:38:10,0.96,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72219404896,KTIP,C2101,72207694891,72531594870,KCMI,F0668"
champaign,2022-01-02,-0.8,-6.9,-4.5,-6.8,-14,-11.3,-6.5,85.5,0,0,0,,0,0,50,35.3,341.8,1020.3,99.6,14.4,64.4,2.1,2,,2022-01-02T07:15:26,2022-01-02T16:39:01,0,Overcast,Cloudy skies throughout the day.,cloudy,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-03,-2.2,-11.9,-7.1,-7.4,-17.9,-12.7,-10.6,76.8,0,0,0,,0,0,,22.3,242.3,1029.2,20.1,16,171.2,6.2,3,,2022-01-03T07:15:29,2022-01-03T16:39:53,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-04,1.1,-5.7,-1.9,-5.5,-11.8,-8.4,-4.8,81.2,0,0,0,,0,0,63,44.6,170.2,1016.7,0,15.5,161.2,5.9,3,,2022-01-04T07:15:31,2022-01-04T16:40:47,0.06,Clear,Clear conditions throughout the day.,clear-day,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-05,1,-10.8,-5.5,-5.1,-21.2,-14.3,-10.6,67.3,0,0,0,,0,0,66.8,44.6,261.4,1011.9,41.4,15.7,136,4.9,3,,2022-01-05T07:15:30,2022-01-05T16:41:42,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-06,-9.5,-16.3,-12,-18.1,-27.5,-21.5,-16.6,68.6,0,0,0,,0,0,44.6,33.5,287.9,1021.9,22.7,16,120.3,4.5,3,,2022-01-06T07:15:27,2022-01-06T16:42:39,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-07,-8.4,-17.9,-13.1,-11.3,-27.9,-20.2,-17.6,69.3,0,0,0,,0,0,29.5,24.1,253.5,1028.5,1,16,171.1,6.2,3,,2022-01-07T07:15:21,2022-01-07T16:43:36,0.16,Clear,Clear conditions throughout the day.,clear-day,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-08,2.1,-10.1,-4.2,-2.4,-17.3,-11,-6.9,81.7,1.265,100,20.83,"rain,snow",0,0,46.4,31.7,159.6,1021.7,65.6,12.9,24.3,0.7,0,,2022-01-08T07:15:14,2022-01-08T16:44:35,0.2,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"72219404896,KTIP,C2101,72531594870,KCMI,F0668"
champaign,2022-01-09,3.6,-10.7,-2.8,-0.9,-16.7,-9.4,-6.8,74.6,0.91,100,12.5,rain,0,0,55.1,40.7,304.6,1027.8,41.2,13.5,125.8,4.5,3,,2022-01-09T07:15:04,2022-01-09T16:45:36,0.25,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-10,-2.4,-11.8,-8,-8.9,-17.8,-14.3,-13.4,65.9,0,0,0,,0,0,42.5,29.5,292.6,1035.2,26.8,16,109.5,6.2,3,10,2022-01-10T07:14:52,2022-01-10T16:46:37,0.26,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-11,2.1,-13.3,-5.1,-3.7,-19.1,-11.1,-11,63.9,0,0,0,,0,0,61.2,40.7,179.8,1029.8,0.6,16,75.3,6.6,3,10,2022-01-11T07:14:37,2022-01-11T16:47:40,0.29,Clear,Clear conditions throughout the day.,clear-day,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-12,6.5,-1.1,2.2,4.3,-6.4,-2,-2.5,71.8,0,0,0,,0,0,50,25.9,212.4,1017.6,16.2,16,32.7,2.9,2,10,2022-01-12T07:14:21,2022-01-12T16:48:43,0.33,Clear,Clear conditions throughout the day.,clear-day,"72219404896,KTIP,72207694891,72531594870,KCMI,F0668"
champaign,2022-01-13,6.9,-2.2,1.1,3.1,-6.6,-2.7,-1.2,85.3,0,0,0,,0,0,29.5,25.9,314.8,1014.1,48.2,10.8,60,5.1,3,10,2022-01-13T07:14:02,2022-01-13T16:49:47,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72219404896,KDNV,KTIP,72207694891,72531594870,KCMI,F0668"
champaign,2022-01-14,3.6,-1.2,0.9,-0.5,-4.5,-2.4,-0.9,88.6,0,0,0,,0,0,38.5,22.3,60.5,1019.6,99.6,7.2,39.2,3.4,2,10,2022-01-14T07:13:42,2022-01-14T16:50:53,0.39,Overcast,Cloudy skies throughout the day.,cloudy,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-15,1,-6.8,-2.9,-4.1,-13.1,-9.6,-6.4,77,0,0,0,,0,0.1,50.5,37.1,53.8,1024,49.3,13,77.2,6.7,4,10,2022-01-15T07:13:19,2022-01-15T16:51:59,0.43,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-16,-0.3,-9.5,-4.9,-4.7,-16,-10.4,-9.1,73.4,0,0,0,,0,0,44.3,27.7,348.4,1014.1,24.5,15.5,77.1,6.7,4,10,2022-01-16T07:12:54,2022-01-16T16:53:06,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-17,-1.3,-6.4,-3.3,-6.6,-12.5,-9.7,-7.1,75.3,0,0,0,,0,0,54.4,33.5,298.9,1012.2,96,15.5,19.8,1.6,1,10,2022-01-17T07:12:26,2022-01-17T16:54:13,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-18,8.2,-9.2,0.7,3.5,-14.1,-4.4,-3.3,75.8,0,0,0,,0,0,61,44.6,178.7,1013.9,24.6,16,72.5,6.2,4,10,2022-01-18T07:11:57,2022-01-18T16:55:21,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-19,5.5,-11.7,-3.3,1.1,-21.3,-10.3,-7.7,71.5,0,0,0,,0,0,55.4,37.1,309.8,1019.8,26.9,16,47.6,4.1,2,10,2022-01-19T07:11:26,2022-01-19T16:56:30,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72219404896,KTIP,72207694891,72531594870,KCMI,F0668"
champaign,2022-01-20,-5.8,-13.9,-10.8,-13,-23.6,-18.7,-16.8,62.6,0,0,0,,0,0,44.6,25.9,337,1034.8,1.6,16,81,7.1,4,10,2022-01-20T07:10:52,2022-01-20T16:57:40,0.6,Clear,Clear conditions throughout the day.,clear-day,"72219404896,KTIP,72531594870,KCMI,F0668"
champaign,2022-01-21,-4,-15,-9.8,-4,-22,-14.7,-15.4,65.1,0,0,0,,0,0,22.3,18.4,60.3,1034.6,6.8,16,83.6,7.2,4,10,2022-01-21T07:10:17,2022-01-21T16:58:50,0.63,Clear,Clear conditions throughout the day.,clear-day,"72219404896,KTIP,72207694891,72531594870,KCMI,F0668"
