name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
changsha,2022-01-01,11,3,7.8,11,3,7.5,3.6,76.3,0,0,0,,0,0,13.3,7.2,316.6,1029,0,3.7,98.6,8.6,4,,2022-01-01T07:20:01,2022-01-01T17:43:11,0.94,Clear,Clear conditions throughout the day.,clear-day,"59287199999,57687099999,ZGHA"
changsha,2022-01-02,15,-1,6.6,15,-1,6.5,2.7,79.3,0,0,0,,0,0,21.6,6.7,68.5,1027.1,0,4.6,157.5,13.7,6,,2022-01-02T07:20:16,2022-01-02T17:43:52,0.98,Clear,Clear conditions throughout the day.,clear-day,"59287199999,57687099999,ZGHA"
changsha,2022-01-03,13,6,10.2,13,4.5,10.1,4.7,69.8,0,0,0,,0,0,13.7,10.8,28.2,1023.3,41.7,6.4,147.3,12.8,6,,2022-01-03T07:20:30,2022-01-03T17:44:35,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"59287199999,57687099999,ZGHA"
changsha,2022-01-04,14,9,11.2,14,6.8,11.1,7.2,76.7,0,0,0,,0,0,37.1,16,327.8,1020.9,13.2,3.5,125.4,10.7,5,,2022-01-04T07:20:42,2022-01-04T17:45:18,0.05,Clear,Clear conditions throughout the day.,clear-day,"59287199999,57687099999,ZGHA"
changsha,2022-01-05,9,5.7,6.9,6.8,2.6,3.9,5.4,90.2,5.5,100,8.33,rain,0,0,53.6,21.9,336.1,1023.9,75.8,3.7,147.7,12.7,6,,2022-01-05T07:20:52,2022-01-05T17:46:02,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"59287199999,57687099999,ZGHA"
changsha,2022-01-06,7,5.4,6,3.8,2.2,2.7,4.9,92.5,12.4,100,12.5,rain,0,0,35.3,21.6,345.2,1028.4,84.1,4.3,109.4,9.4,4,,2022-01-06T07:21:02,2022-01-06T17:46:46,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"59287199999,57687099999,ZGHA"
changsha,2022-01-07,8,5.4,6.6,5.5,2.7,4,5.8,94.8,1.4,100,4.17,rain,0,0,33.8,18,348.7,1029.4,89,4.3,64.3,5.5,3,,2022-01-07T07:21:09,2022-01-07T17:47:31,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"59287199999,57687099999,ZGHA"
changsha,2022-01-08,7,5.7,6.7,5.7,3.2,4.6,6.1,96.4,8.8,100,16.67,rain,0,0,28.8,14.4,330.1,1026.5,89,2.9,66.5,5.7,3,,2022-01-08T07:21:15,2022-01-08T17:48:17,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59287199999,57687099999,ZGHA"
changsha,2022-01-09,9,5.4,7.2,9,3.1,6,5.3,87.5,0,0,0,,0,0,28.8,14.4,336.3,1024.1,80.9,3.6,70.4,6,3,,2022-01-09T07:21:20,2022-01-09T17:49:03,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59287199999,57687099999,ZGHA"
changsha,2022-01-10,9,6.8,8.1,8,4.8,6.6,6.5,89.7,2.1,100,8.33,rain,0,0,29.9,18,356.1,1023.3,48.6,4.6,59.3,5.1,2,10,2022-01-10T07:21:23,2022-01-10T17:49:50,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"59287199999,57687099999,ZGHA"
changsha,2022-01-11,12,2,6.8,12,-1.8,5.5,3.8,83,0,0,0,,0,0,32.8,14.4,353.7,1027.3,39.1,3.3,172.6,15,5,10,2022-01-11T07:21:24,2022-01-11T17:50:37,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"59287199999,57687099999,ZGHA"
changsha,2022-01-12,12,0.6,6.9,12,-0.1,6.6,2.6,76.8,0,0,0,,0,0,16.9,14.4,328.1,1024.3,3.2,4.4,159.4,14,5,10,2022-01-12T07:21:24,2022-01-12T17:51:25,0.31,Clear,Clear conditions throughout the day.,clear-day,"59287199999,57687099999,ZGHA"
changsha,2022-01-13,13,4.3,8,13,1.1,6.4,3,72.5,0,0,0,,0,0,36.7,18,337.8,1027.8,2.3,4.4,163.9,14.3,5,10,2022-01-13T07:21:22,2022-01-13T17:52:13,0.34,Clear,Clear conditions throughout the day.,clear-day,"59287199999,57687099999,ZGHA"
changsha,2022-01-14,8,5.7,6.3,7,3.6,5.2,2.5,77.4,0.8,100,8.33,rain,0,0,34.2,10.8,32.1,1023.4,33.3,4.8,20.2,1.6,2,10,2022-01-14T07:21:19,2022-01-14T17:53:01,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"59287199999,57687099999,ZGHA"
changsha,2022-01-15,8,5.7,6.9,8,4.4,5.6,4.1,82.7,0.3,100,4.17,rain,0,0,20.5,14.4,351.5,1023.7,45.8,4.2,35.3,3.1,2,10,2022-01-15T07:21:13,2022-01-15T17:53:50,0.41,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"59287199999,57687099999,ZGHA"
changsha,2022-01-16,8,5.6,7,6.7,3.5,5.1,6.3,95.4,8.2,100,16.67,rain,0,0,21.6,11.4,342.3,1026.5,75.8,2.1,13.3,1.1,1,10,2022-01-16T07:21:07,2022-01-16T17:54:39,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59287199999,57687099999,ZGHA"
changsha,2022-01-17,9,6.7,7.9,9,4.3,6.6,7.4,96.7,9.7,100,16.67,rain,0,0,19.1,14.4,345,1027.3,78.8,1.9,28.5,2.5,3,10,2022-01-17T07:20:59,2022-01-17T17:55:28,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"59287199999,57687099999,ZGHA"
