name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
charleston,2022-01-01,23.9,18.1,20,23.9,18.1,20,18.9,93.5,0,0,0,,0,0,35.3,22.8,209.9,1015.1,58.8,11.9,47.4,1.9,1,,2022-01-01T07:22:20,2022-01-01T17:24:37,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCHS,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
charleston,2022-01-02,22.8,18.4,20.2,22.8,18.4,20.2,18.5,90.1,1.774,100,16.67,rain,0,0,46.5,27.9,214.7,1012.6,72.7,12.9,52.3,1.8,1,,2022-01-02T07:22:32,2022-01-02T17:25:22,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KCHS,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
charleston,2022-01-03,21.2,5.6,13.2,21.2,3.2,12.7,7.7,69.7,0,0,0,,0,0,75.1,47.6,269,1014.6,67.7,14.8,46.8,1.9,1,,2022-01-03T07:22:42,2022-01-03T17:26:08,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCHS,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
charleston,2022-01-04,11.9,1.6,7.1,11.9,-2,5.1,1.9,70.4,0,0,0,,0,0,27.7,15.4,25.9,1027.1,33.9,16,31.7,1.3,1,,2022-01-04T07:22:50,2022-01-04T17:26:55,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCHS,1187W,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
charleston,2022-01-05,17,8.4,11.3,17,7.2,11,9.3,88.7,0.258,100,8.33,rain,0,0,18.4,16.4,333.4,1017,70.1,13.4,49.8,2.1,1,,2022-01-05T07:22:56,2022-01-05T17:27:43,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KCHS,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
charleston,2022-01-06,16.7,5.2,11,16.7,3.9,10.9,7.4,80.9,0,0,0,,0,0,29.5,22,216.5,1014.1,31.6,14.1,30.5,1.2,1,,2022-01-06T07:23:00,2022-01-06T17:28:31,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCHS,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
charleston,2022-01-07,16.7,3.5,10.3,16.7,2.6,9.4,1.9,58.7,0.269,100,8.33,rain,0,0,40.7,25.8,300.1,1020.1,32.3,15.9,32.8,1.3,1,,2022-01-07T07:23:03,2022-01-07T17:29:21,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KCHS,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
charleston,2022-01-08,10.7,1.5,6.1,10.7,-2.2,3.8,0,65.4,0,0,0,,0,0,31.2,21,37,1033.1,41.4,15.9,29.5,1.3,1,,2022-01-08T07:23:04,2022-01-08T17:30:12,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCHS,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
charleston,2022-01-09,22.4,5.4,14.2,22.4,5.1,14,11.3,84.2,0.436,100,4.17,rain,0,0,50,23.8,194.1,1027.4,53.2,15.3,36.5,1.4,1,,2022-01-09T07:23:03,2022-01-09T17:31:03,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KCHS,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
charleston,2022-01-10,17.2,1.5,11.1,17.2,1.5,10.8,3.9,67.4,0.627,100,16.67,rain,0,0,42.5,22.8,336.8,1024,60.4,15.3,30.1,1.7,1,10,2022-01-10T07:23:00,2022-01-10T17:31:55,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KCHS,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
charleston,2022-01-11,10,-0.2,4.4,8.7,-2.8,2.6,-4.6,57.8,0,0,0,,0,0,43.2,21.6,30.8,1031.5,6.5,16,13.4,1.2,1,10,2022-01-11T07:22:56,2022-01-11T17:32:47,0.29,Clear,Clear conditions throughout the day.,clear-day,"KCHS,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
charleston,2022-01-12,14,0.4,6.4,14,-1.8,5.2,1.7,73.3,0,0,0,,0,0,27.7,11.6,28.9,1027.1,24,15.9,12,1,1,10,2022-01-12T07:22:49,2022-01-12T17:33:41,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCHS,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
charleston,2022-01-13,15.2,2.8,9.2,15.2,2.8,9.2,4.5,76.2,1.747,100,8.33,rain,0,0,24.5,11.6,254.4,1015.1,66.8,14.9,25.8,2.2,1,10,2022-01-13T07:22:41,2022-01-13T17:34:34,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KCHS,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
charleston,2022-01-14,15.7,4.1,9.5,15.7,3.5,8.8,2.5,64.2,0,0,0,,0,0,32.5,21,323.5,1012.2,33.8,15.9,12.7,1,1,10,2022-01-14T07:22:31,2022-01-14T17:35:29,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCHS,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
charleston,2022-01-15,13.5,3.5,8.3,13.5,3.5,7.3,4.9,79.7,0,0,0,,0,0,46.1,22.1,44.6,1018.7,66.5,15.6,28.1,2.3,1,10,2022-01-15T07:22:20,2022-01-15T17:36:23,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCHS,F8019,72060600198,KJZI,72208013880,KLRO,74791700390"
