name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
charlotte,2022-01-01,24.4,17.9,20.9,24.4,17.9,20.9,18.1,84.6,3.453,100,20.83,rain,0,0,46.7,30.1,212.8,1010.3,83.4,14.1,58.5,2.2,1,,2022-01-01T07:32:05,2022-01-01T17:22:07,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,E7342,F2338"
charlotte,2022-01-02,21.6,15.4,18.6,21.6,15.4,18.6,16.2,86.7,9.696,100,54.17,rain,0,0,60.6,32.9,210.1,1008.9,94.9,14,35.8,1.4,1,,2022-01-02T07:32:15,2022-01-02T17:22:54,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,E7342,F2338"
charlotte,2022-01-03,14.8,0.8,7.8,14.8,-1,5.6,3.8,77.5,43.706,100,50,rain,0,0,66,41.7,8.3,1014.1,60.1,11.4,56.5,2.2,1,,2022-01-03T07:32:23,2022-01-03T17:23:42,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,F0730,F2338"
charlotte,2022-01-04,7.7,-2.1,2.9,5.4,-4.7,0.4,-5.1,57.8,0,0,0,,0,0,31.7,15.5,90.5,1028.4,13.5,16,67.4,2.8,2,,2022-01-04T07:32:29,2022-01-04T17:24:31,0.06,Clear,Clear conditions throughout the day.,clear-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,E7342,F0730,F2338"
charlotte,2022-01-05,15.4,3.7,8.4,15.4,2.1,7.8,0,56.4,0,0,0,,0,0,35.2,23.1,227.6,1016.9,62.6,16,77.1,3,2,,2022-01-05T07:32:33,2022-01-05T17:25:21,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,F0730,F2338"
charlotte,2022-01-06,16,1.6,9.4,16,1,9,0.8,60.3,0,0,0,,0,0,44.7,23.8,197,1012.2,57.8,15.7,68.3,2.7,2,,2022-01-06T07:32:35,2022-01-06T17:26:13,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,E7342,F2338"
charlotte,2022-01-07,9.9,-0.8,3.2,7.1,-4.5,0.2,-7.7,46.1,0,0,0,,0,0,41.1,23.5,330.9,1020.7,32.4,16,66.4,2.7,2,,2022-01-07T07:32:35,2022-01-07T17:27:05,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,F2338"
charlotte,2022-01-08,6.1,-3.1,1.4,6.1,-7,-1.3,-10.6,41.5,0,0,0,,0,0,,13.1,70.7,1034.7,32.1,16,68.3,2.9,2,,2022-01-08T07:32:34,2022-01-08T17:27:58,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,F2338"
charlotte,2022-01-09,14.4,4.8,9.1,14.4,3.2,8.7,2.3,64.4,8.813,100,20.83,rain,0,0,48.2,18.4,232.1,1027,96.7,15,65.5,2.4,1,,2022-01-09T07:32:30,2022-01-09T17:28:52,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,E7342,F2338"
charlotte,2022-01-10,10.5,3.4,7.2,10.5,0.3,5.1,-6.4,40.7,0,0,0,,0,0,42.1,22.3,344.5,1025.5,41.9,15.8,56.9,3.2,2,10,2022-01-10T07:32:24,2022-01-10T17:29:47,0.26,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KAKH,72314753870,KEQY,KCLT,72314013881,KJQF,F2338"
