name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
cheyenne,2022-01-01,-11.1,-19.7,-14.7,-15.8,-25.5,-21,-18.8,72,1.49,100,29.17,snow,1.3,5.2,42.2,26.8,326.7,1018.2,53.7,11,140.8,8.7,4,,2022-01-01T07:24:47,2022-01-01T16:41:24,0.97,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"KCYS,72061999999,CPEC2,NUNC2,72097799999,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-02,1.1,-10.2,-3.9,-1.8,-20.4,-11.1,-14.2,45.3,0,0,0,,0,5,64.8,42.5,278.1,1024.5,0.4,16,136.9,9.3,5,,2022-01-02T07:24:51,2022-01-02T16:42:16,0,Clear,Clear conditions throughout the day.,clear-day,"KCYS,KLAR,72061999999,72564524022,NUNC2,72097799999,72476994035,72564024018,BEYC2,KFNL,KFEW,K1AW"
cheyenne,2022-01-03,6,-5,0.9,4.8,-9.4,-3.2,-11.5,40.1,0,0,0,,0,4,59.2,39.4,247,1017,3.7,16,121,9.6,4,,2022-01-03T07:24:54,2022-01-03T16:43:09,0.03,Clear,Clear conditions throughout the day.,clear-day,"KCYS,72061999999,CPEC2,72097799999,NUNC2,72564024018,KFEW,K1AW"
cheyenne,2022-01-04,3.7,-7.9,-0.9,0.1,-14.7,-6.6,-10.5,51.9,0,0,0,,2,4.1,91.9,59.4,287.6,1010.7,51.1,16,21.8,1.2,1,,2022-01-04T07:24:54,2022-01-04T16:44:04,0.07,Partially cloudy,Becoming cloudy in the afternoon.,snow,"KCYS,KLAR,72061999999,72564524022,NUNC2,72097799999,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-05,-6.2,-20,-12.5,-6.5,-29.4,-19.2,-15,81.7,6.053,100,54.17,snow,8.8,8.9,61.2,28.7,323.6,1017.2,99.1,8.9,209.3,10.4,6,,2022-01-05T07:24:51,2022-01-05T16:45:01,0.1,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"KCYS,KLAR,72061999999,CPEC2,72564524022,72097799999,NUNC2,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-06,5.9,-19.3,-10.7,1.1,-28.1,-17.7,-14.5,74.4,0.508,100,8.33,snow,4.6,17,79.6,38,228.5,1020.5,85,13.4,69.6,3.7,3,,2022-01-06T07:24:47,2022-01-06T16:45:59,0.13,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"KCYS,KLAR,72061999999,CPEC2,72564524022,72097799999,NUNC2,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-07,10.3,2.2,6,10.3,-1,2.6,-4.5,48,0,0,0,,0,13,66.6,46.2,263.3,1003.2,1.5,16,165.8,10.3,4,,2022-01-07T07:24:40,2022-01-07T16:46:58,0.16,Clear,Clear conditions throughout the day.,clear-day,"KCYS,KLAR,72061999999,CPEC2,72564524022,72097799999,NUNC2,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-08,5.3,-9,0.8,1.3,-13.3,-3.3,-6.9,58.1,0,0,0,,0,8.3,55.9,30.1,308.3,1010.3,22.4,16,183.3,9.9,2,,2022-01-08T07:24:31,2022-01-08T16:47:58,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCYS,72061999999,CPEC2,72097799999,NUNC2,72564024018,KFEW,K1AW"
cheyenne,2022-01-09,3.6,-10,-3.6,3.6,-15.7,-8.5,-10.4,63.5,0,0,0,,0,6.8,33.5,23.4,247.5,1033.1,8.5,15.9,91.9,5,3,,2022-01-09T07:24:20,2022-01-09T16:49:00,0.25,Clear,Clear conditions throughout the day.,clear-day,"KCYS,72061999999,CPEC2,NUNC2,72097799999,72564024018,KFEW,K1AW"
cheyenne,2022-01-10,7.6,-6.3,0.2,6.3,-11.6,-3.8,-12,40.6,0,0,0,,0,5.7,31.7,25.8,239.6,1033.7,0,16,60.8,3.5,2,,2022-01-10T07:24:06,2022-01-10T16:50:03,0.26,Clear,Clear conditions throughout the day.,clear-day,"KCYS,KLAR,72061999999,CPEC2,72564524022,72097799999,NUNC2,72564024018,KFEW,K1AW"
cheyenne,2022-01-11,8.1,1.1,4.3,6.2,-3.5,-0.1,-13.3,26.8,0,0,0,,0,4.8,77.5,49.4,279.6,1023.9,3.7,16,119.2,7.7,4,,2022-01-11T07:23:50,2022-01-11T16:51:07,0.3,Clear,Clear conditions throughout the day.,wind,"72564524022,NUNC2,72476994035,BEYC2,KFEW,KCYS,KLAR,72061999999,CPEC2,72097799999,72564024018,KFNL,K1AW"
cheyenne,2022-01-12,8.2,0.2,4.5,5.4,-3.8,0.7,-6.7,44.1,0,0,0,,0,4,72,44.9,279.2,1023.1,0.5,16,150.4,7.6,5,,2022-01-12T07:23:32,2022-01-12T16:52:12,0.33,Clear,Clear conditions throughout the day.,clear-day,"KCYS,72061999999,CPEC2,72097799999,NUNC2,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-13,12.1,1.4,6.6,12.1,-1.1,4.3,-5.6,42.6,0,0,0,,0,2.6,66.6,45.6,255.8,1019,3.1,16,198.1,11.4,5,,2022-01-13T07:23:11,2022-01-13T16:53:19,0.36,Clear,Clear conditions throughout the day.,clear-day,"KCYS,72061999999,CPEC2,72097799999,NUNC2,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-14,7.2,-5.5,-0.4,4,-13.1,-6.8,-7.3,62.5,0,0,0,,0,1.3,81,45.9,349.8,1022.1,52.2,14.8,195.8,13.2,3,,2022-01-14T07:22:49,2022-01-14T16:54:26,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCYS,72061999999,CPEC2,72097799999,NUNC2,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-15,7.6,-9.2,0,4,-14.3,-4.3,-11.5,48.1,0,0,0,,0,0.8,59.5,38.4,286.5,1026.5,17.5,16,100.2,5.4,2,,2022-01-15T07:22:24,2022-01-15T16:55:34,0.43,Clear,Clear conditions throughout the day.,clear-day,"KCYS,72061999999,CPEC2,NUNC2,72097799999,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-16,7.3,-1.7,2.4,3.6,-7.9,-2.1,-11.4,38.8,0,0,0,,0,0.1,59.3,26.8,297.9,1018.1,5.4,16,155.7,9.6,6,,2022-01-16T07:21:57,2022-01-16T16:56:42,0.46,Clear,Clear conditions throughout the day.,clear-day,"KCYS,72061999999,72097799999,NUNC2,72564024018,KFEW,K1AW"
cheyenne,2022-01-17,10.6,-1.3,5.8,10.6,-7.7,2.7,-11.5,29.4,0,0,0,,0,0,49.5,30.3,278.9,1012.2,4.6,16,54.6,3.1,1,,2022-01-17T07:21:28,2022-01-17T16:57:52,0.5,Clear,Clear conditions throughout the day.,clear-day,"KCYS,72061999999,CPEC2,72097799999,NUNC2,72564024018,KFEW,K1AW"
cheyenne,2022-01-18,8.7,-2.8,4.5,5.7,-7.8,0.5,-12.6,32,0,0,0,,0.2,0.2,55.4,37.1,293.3,1009.1,22.2,16,134.7,8.7,3,,2022-01-18T07:20:56,2022-01-18T16:59:02,0.53,Partially cloudy,Partly cloudy throughout the day.,snow,"KCYS,72061999999,CPEC2,72097799999,NUNC2,72564024018,KFEW,K1AW"
cheyenne,2022-01-19,-3.3,-12,-9,-8.6,-18.5,-14.6,-10.3,90.6,0.714,100,12.5,snow,1.3,1,,16.3,61.4,1026.5,99.5,4.8,323.7,22.2,5,,2022-01-19T07:20:23,2022-01-19T17:00:13,0.56,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"KCYS,KLAR,72061999999,72564524022,NUNC2,72097799999,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-20,1.3,-16.6,-7.3,-0.9,-22.2,-12.2,-10.6,78,0,0,0,,0.6,1.7,,19.3,213.9,1027.8,22.8,15,81.6,6.4,1,,2022-01-20T07:19:47,2022-01-20T17:01:25,0.6,Partially cloudy,Partly cloudy throughout the day.,snow,"KCYS,KLAR,72061999999,CPEC2,72564524022,NUNC2,72097799999,72564024018,KFEW,K1AW"
cheyenne,2022-01-21,2.9,-4.6,-0.1,-1.8,-8.4,-5.1,-5.3,68.8,0.05,100,4.17,rain,0,0.3,52.8,31.2,320.9,1021.4,74.4,15.7,222.8,14.3,5,,2022-01-21T07:19:09,2022-01-21T17:02:37,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KCYS,KLAR,72061999999,CPEC2,72564524022,NUNC2,72097799999,72564024018,KFEW,K1AW"
cheyenne,2022-01-22,4.4,-9.1,-1.8,0.5,-14.1,-6.8,-9.8,58.3,0,0,0,,0,0,63,33.5,289.6,1027.1,6.6,16,48.9,2.7,3,,2022-01-22T07:18:30,2022-01-22T17:03:50,0.67,Clear,Clear conditions throughout the day.,clear-day,"KCYS,KLAR,72061999999,CPEC2,72564524022,72097799999,NUNC2,72476994035,72564024018,KFNL,KFEW,K1AW"
cheyenne,2022-01-23,8.4,-5.5,1.7,5.5,-9.8,-2.4,-8.7,48.3,0,0,0,,0,0,57.6,32.6,292.4,1019.3,0,16,73.7,3.9,5,,2022-01-23T07:17:48,2022-01-23T17:05:03,0.7,Clear,Clear conditions throughout the day.,clear-day,"KCYS,72061999999,CPEC2,NUNC2,72097799999,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-24,4.1,-3.1,-0.1,0,-7,-3.4,-10.1,48.7,0,0,0,,5.1,1.7,42.5,25.8,335.4,1014.3,30.3,16,293.5,18.1,5,,2022-01-24T07:17:04,2022-01-24T17:06:17,0.74,Partially cloudy,Partly cloudy throughout the day.,snow,"KCYS,72061999999,72097799999,NUNC2,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-25,-3.2,-12.1,-5.7,-3.2,-16.7,-10.8,-8.1,83.9,3.982,100,33.33,snow,3.7,7.6,48.1,28.8,2.7,1023.5,91.8,11.1,311,16.9,5,,2022-01-25T07:16:18,2022-01-25T17:07:31,0.75,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"KCYS,72061999999,CPEC2,NUNC2,72097799999,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-26,1.5,-14.1,-6,-3.1,-21.3,-11.5,-13.3,59.7,0.001,100,4.17,"rain,snow",0.3,7,50.1,30.4,295.5,1022.4,8.6,15.8,55.3,3.3,2,,2022-01-26T07:15:31,2022-01-26T17:08:45,0.81,"Snow, Rain",Clear conditions throughout the day with afternoon rain or snow.,snow,"KCYS,KLAR,72061999999,CPEC2,72564524022,72097799999,NUNC2,72564024018,K1AW,KFEW"
cheyenne,2022-01-27,-3.9,-12.8,-6.5,-8.6,-19.5,-12.8,-11.5,68.4,1.298,100,8.33,snow,0,5.3,50,35.3,321.5,1030.2,50.7,13.9,215.9,12.4,5,,2022-01-27T07:14:41,2022-01-27T17:09:59,0.84,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"KCYS,KLAR,72061999999,CPEC2,72564524022,72097799999,NUNC2,72476994035,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-28,4.2,-7.9,-1.2,-0.5,-14.4,-7.3,-14.5,36.6,0,0,0,,0,4.1,64.4,36.8,281,1030.6,0,15.9,83.3,4.4,2,,2022-01-28T07:13:50,2022-01-28T17:11:14,0.88,Clear,Clear conditions throughout the day.,clear-day,"KCYS,KLAR,72061999999,CPEC2,72564524022,72097799999,NUNC2,72476994035,72564024018,KFNL,KFEW,K1AW"
cheyenne,2022-01-29,8.9,-1.1,3,6.5,-6.6,-1.5,-15.4,24.9,0,0,0,,0,3,77.8,44.6,303.9,1021.8,0,16,99.8,6.4,3,,2022-01-29T07:12:56,2022-01-29T17:12:29,0.91,Clear,Clear conditions throughout the day.,clear-day,"KCYS,KLAR,72061999999,72564524022,72476994035,NUNC2,72097799999,72564024018,KFNL,KFEW,K1AW"
cheyenne,2022-01-30,11.2,-4.6,2.7,11.2,-10.7,-0.7,-16.3,25.3,0,0,0,,0,1.9,29.5,28.3,267.1,1016.9,0,16,137.7,7.5,6,,2022-01-30T07:12:01,2022-01-30T17:13:45,0.95,Clear,Clear conditions throughout the day.,clear-day,"KCYS,KLAR,72061999999,CPEC2,72564524022,NUNC2,72097799999,72476994035,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-01-31,9,-2.4,3.7,3.8,-7.4,-1,-16.8,22.7,0,0,0,,0.1,0.9,93,61.9,271.7,1007.3,0,16,83.8,5,6,,2022-01-31T07:11:04,2022-01-31T17:15:00,0,Clear,Clear conditions throughout the day.,snow,"KCYS,KLAR,72061999999,CPEC2,72097799999,NUNC2,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-02-01,-3,-12.8,-6.8,-5.7,-20.4,-12.8,-11.8,70.5,2.052,100,41.67,snow,4.1,2.5,56.7,30.1,32,1016.7,77.3,9.2,154.1,7.7,4,,2022-02-01T07:10:06,2022-02-01T17:16:15,0.02,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"KCYS,72061999999,CPEC2,72097799999,NUNC2,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-02-02,-13.3,-18.5,-15.6,-19.2,-29.1,-23.3,-18,82.4,2.519,100,45.83,snow,3,7.3,35.3,22.9,153.9,1026.8,99.5,7.9,294.8,13.8,5,,2022-02-02T07:09:05,2022-02-02T17:17:31,0.05,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"KCYS,KLAR,72061999999,CPEC2,72097799999,NUNC2,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-02-03,-6,-24.8,-14.7,-6,-32.9,-21.3,-20.9,63,0,0,0,,0,6.5,,24.8,244.7,1029.9,13.3,14.6,169.1,10.3,6,,2022-02-03T07:08:03,2022-02-03T17:18:46,0.08,Clear,Clear conditions throughout the day.,clear-day,"KCYS,72061999999,CPEC2,72097799999,NUNC2,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-02-04,1.7,-11.2,-4.7,-3.9,-19.5,-11.6,-14.3,48,0,0,0,,0,4.6,59,33.8,254.6,1031,0,16,102.1,5.9,6,,2022-02-04T07:07:00,2022-02-04T17:20:02,0.11,Clear,Clear conditions throughout the day.,clear-day,"KCYS,72061999999,CPEC2,72097799999,NUNC2,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-02-05,4.3,-2.2,1,-0.5,-8.2,-4.9,-9.9,44.8,0,0,0,,0,2.4,73.7,45.9,288.8,1020,9.8,16,102.6,5.4,3,,2022-02-05T07:05:54,2022-02-05T17:21:17,0.15,Clear,Clear conditions throughout the day.,clear-day,"72564524022,NUNC2,72476994035,BEYC2,KFEW,KCYS,KLAR,72061999999,CPEC2,72097799999,72564024018,KFNL,K1AW"
cheyenne,2022-02-06,1.7,-6.1,-2.4,-3.2,-12.3,-8,-9.6,59.9,0,0,0,,0,0.8,42.5,25.9,305.4,1028.2,24.5,15.7,128.9,6.9,6,,2022-02-06T07:04:48,2022-02-06T17:22:32,0.18,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72564524022,NUNC2,72476994035,BEYC2,KFEW,KCYS,KLAR,72061999999,CPEC2,72097799999,72564024018,KFNL,K1AW"
cheyenne,2022-02-07,7.8,-3.9,2.1,3.9,-10.1,-3.3,-10.9,38.8,0,0,0,,0,0.1,77.6,49,282.2,1025.2,0,16,89.4,5.5,6,,2022-02-07T07:03:39,2022-02-07T17:23:48,0.21,Clear,Clear conditions throughout the day.,wind,"KCYS,72061999999,CPEC2,NUNC2,72097799999,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-02-08,6.7,0.4,3.5,3.3,-5,-1.5,-12.6,30.1,0,0,0,,0,0,76.2,57,301.8,1019.7,6.3,16,88.6,5.1,3,,2022-02-08T07:02:29,2022-02-08T17:25:03,0.25,Clear,Clear conditions throughout the day.,wind,"KCYS,72061999999,CPEC2,72097799999,NUNC2,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-02-09,7.5,-1.4,3.1,3.7,-5.3,-1.2,-8.6,44.3,0,0,0,,0,0,63.1,41.7,308.8,1019.5,35.3,15.8,145.7,7.8,6,,2022-02-09T07:01:18,2022-02-09T17:26:18,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCYS,72061999999,CPEC2,NUNC2,72097799999,72564024018,BEYC2,KFEW,K1AW"
cheyenne,2022-02-10,9.4,-2.8,4.2,5,-7.6,-0.7,-5.4,52,0,0,0,,0,0,78.2,52.9,282,1014.4,6.3,16,122.3,5.7,5,,2022-02-10T07:00:05,2022-02-10T17:27:32,0.31,Clear,Clear conditions throughout the day.,wind,"KCYS,72061999999,CPEC2,72564524022,72097799999,NUNC2,72564024018,BEYC2,KFEW,K1AW"
