name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chicago,2022-01-01,5,-1.3,1.6,0.8,-8.5,-4.3,-1.3,81.7,2.289,100,41.67,"rain,snow",0.8,0.3,56.7,36.5,22.3,1010.1,100,7.4,12,0.5,0,,2022-01-01T07:18:23,2022-01-01T16:30:14,0.96,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72534014819,AP878,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2022-01-02,-1.6,-9,-4.7,-6.3,-14,-10.6,-8.9,73.1,0.792,100,20.83,"rain,snow",4.2,3.4,42.2,30.5,337.1,1021.5,66.5,12.7,79.4,2.7,2,,2022-01-02T07:18:27,2022-01-02T16:31:07,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-03,-4.7,-12,-8.2,-10.5,-17.9,-13.9,-14.6,61.3,0,0,0,,1.8,5.6,39.6,20.8,226.7,1028.2,11.3,16,139.8,5,3,,2022-01-03T07:18:28,2022-01-03T16:32:01,0.03,Clear,Clear conditions throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-04,1.9,-4.8,-1.2,-3.8,-10.7,-6.8,-6.9,65.3,0,0,0,,0,5.9,53.2,31.2,190.8,1014.9,68.3,16,108,3.7,2,,2022-01-04T07:18:28,2022-01-04T16:32:57,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-05,1.5,-10.3,-6.8,-4.3,-21.3,-15.7,-12,66.4,0,0,0,,0,5.5,70.2,42.2,255.5,1007.4,93,9.9,96.3,3.5,2,,2022-01-05T07:18:25,2022-01-05T16:33:54,0.1,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-06,-9,-14.4,-11.6,-17,-23.7,-19.9,-16.6,66.7,0,0,0,,0,5.2,38.4,24,272.8,1020,41.8,15.4,127.7,4.4,3,,2022-01-06T07:18:19,2022-01-06T16:34:53,0.13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-07,-9.7,-17.4,-13.3,-15.4,-25.7,-20.3,-18.9,63.2,0,0,0,,0,4.8,,19.4,252,1027.9,38.4,16,146.9,5.3,3,,2022-01-07T07:18:12,2022-01-07T16:35:53,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-08,1.9,-9.6,-4.3,-1,-16.5,-10.4,-9.2,69.3,0.572,100,20.83,"rain,snow",0,4.4,44.6,27.8,180.7,1021.5,73.1,12.1,51,1.8,1,,2022-01-08T07:18:02,2022-01-08T16:36:55,0.2,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-09,1.9,-11.4,-4,-0.8,-19.2,-10.2,-10.5,61.7,0.232,100,4.17,"rain,snow",0,3.6,52.7,30.7,289.7,1026.8,44.1,15.3,160.1,5.8,3,,2022-01-09T07:17:49,2022-01-09T16:37:58,0.25,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-10,-7.8,-13.3,-10,-14.3,-19.7,-16.7,-19.4,46.9,0,0,0,,0,3.4,40.7,24.1,299.4,1035.1,39.6,15.9,101.6,5.9,3,10,2022-01-10T07:17:35,2022-01-10T16:39:02,0.26,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-11,2.7,-14.2,-6,-2,-19.3,-11.5,-14.1,53.2,0,0,0,,0,3.2,58.6,35.4,200.5,1027.4,38.6,16,61.3,5.2,3,10,2022-01-11T07:17:18,2022-01-11T16:40:07,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-12,5.5,0.6,2.9,3,-3.1,0.2,-2.4,68.3,0,0,0,,0,2.2,48.2,21.5,232.6,1015.9,89.6,16,27.4,2.5,2,10,2022-01-12T07:16:58,2022-01-12T16:41:13,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-13,4.7,-0.2,2.8,3.2,-2.8,0.9,-0.9,77,0,0,0,,0,1.3,31.7,18.4,15.4,1014.5,95.6,14.7,24.9,2.2,1,10,2022-01-13T07:16:37,2022-01-13T16:42:21,0.36,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-14,2.8,-2,0.5,-1,-8.9,-5.1,-3.4,74.9,0.068,100,4.17,"rain,snow",0.5,1.1,46.8,29.3,40.8,1022.1,99.9,13.7,12.5,1.1,1,10,2022-01-14T07:16:13,2022-01-14T16:43:29,0.39,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-15,-2.5,-6.5,-4.4,-8.1,-12.4,-10.6,-9.2,69.5,0.196,100,12.5,snow,0.3,1.3,41.2,29.8,59.2,1028.2,74.9,13.6,38.7,3.3,2,10,2022-01-15T07:15:47,2022-01-15T16:44:38,0.43,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-16,-1.6,-9.3,-5.3,-2.4,-13.5,-8.5,-11.4,63.1,0.068,100,8.33,snow,0,1,36.4,21.6,298.6,1015.4,49.5,14.7,56.5,5,3,10,2022-01-16T07:15:18,2022-01-16T16:45:49,0.46,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-17,-1.4,-4.2,-2.7,-6.3,-10.5,-8.3,-7.7,68.7,0,0,0,,0.4,0.9,43.2,27.1,302.8,1010.9,89.4,15.6,22,1.9,1,10,2022-01-17T07:14:48,2022-01-17T16:47:00,0.5,Partially cloudy,Partly cloudy throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-18,7.1,-5.9,0.9,2.8,-10.1,-3.6,-4.2,69.5,0,0,0,,0,0.8,54.1,34,200.8,1011.7,75,15.8,55.4,4.5,2,10,2022-01-18T07:14:15,2022-01-18T16:48:11,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-19,5.6,-10.5,-3.9,1.2,-18.6,-10.7,-10.7,59.4,0,0,0,,0,0.4,46.3,28.1,299.8,1019.1,60.5,16,40.8,3.6,2,10,2022-01-19T07:13:40,2022-01-19T16:49:24,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2022-01-20,-6.3,-13.2,-10.2,-12,-21.7,-17.3,-18.3,51.9,0,0,0,,0,0.2,39.6,24.2,339,1035.9,25.7,16,84.1,7.3,5,10,2022-01-20T07:13:03,2022-01-20T16:50:37,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-21,-3.5,-12.7,-7.6,-8.3,-18.7,-11.9,-14.6,57.7,0,0,0,,0,0.2,37.4,17.7,206.2,1034.9,47,16,66.8,5.8,4,10,2022-01-21T07:12:23,2022-01-21T16:51:51,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-22,1.4,-6.6,-3.8,-4.2,-13.9,-10.4,-11.2,57,0.068,100,4.17,snow,3.3,1.3,49.1,29.6,245.9,1023.1,88.9,15.1,45.9,3.8,3,10,2022-01-22T07:11:42,2022-01-22T16:53:05,0.67,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-23,-5,-12,-7.7,-6,-16.9,-13.5,-12.7,67.6,4.506,100,37.5,snow,5.7,7.3,54.4,30.8,332.4,1015.1,75.1,11,57.8,5,4,10,2022-01-23T07:10:59,2022-01-23T16:54:20,0.7,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,F1983,KPWK,74466504838"
chicago,2022-01-24,-2.7,-10.8,-6.9,-7.6,-18.1,-13,-11.6,69.7,2.249,100,25,snow,0.6,7.4,44.3,28,285.8,1009.3,77.1,11.8,9.7,0.8,0,10,2022-01-24T07:10:13,2022-01-24T16:55:36,0.74,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-25,-10.3,-16.4,-12.9,-17.7,-24.9,-20.7,-20.1,55.1,0,0,0,,0.1,6.3,44.3,22.7,303.7,1026.2,11.7,16,82.7,7.1,4,10,2022-01-25T07:09:26,2022-01-25T16:56:51,0.75,Clear,Clear conditions throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-01-26,-10,-20.2,-15.3,-18.1,-27,-22.7,-22.4,55.3,0,0,0,,0,5.8,47.5,22.1,234.2,1031.7,14.1,16,89.8,7.7,4,10,2022-01-26T07:08:37,2022-01-26T16:58:07,0.81,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2022-01-27,0.6,-9.7,-3.1,-3.8,-17.9,-8.9,-10.3,58,0,0,0,,3,5.9,59.8,28.8,239.6,1021.7,95.4,15.8,35.8,2.9,2,10,2022-01-27T07:07:45,2022-01-27T16:59:24,0.84,Overcast,Cloudy skies throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2022-01-28,-2.2,-10.6,-6.3,-7,-16.1,-12,-11.4,67.6,1.062,100,37.5,snow,2.1,9.4,42.8,23,338.1,1026.9,78.3,9.1,35.4,3,3,10,2022-01-28T07:06:52,2022-01-28T17:00:40,0.88,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"72534014819,C8740,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2022-01-29,-5.3,-12.7,-8.5,-10.5,-18.5,-13.9,-15.7,56.5,0,0,0,,0.2,9.6,36.4,16.1,214.4,1021.8,81,16,69.9,6.1,3,10,2022-01-29T07:05:57,2022-01-29T17:01:57,0.91,Partially cloudy,Partly cloudy throughout the day.,snow,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2022-01-30,-0.4,-9.8,-4.5,-3.5,-15,-8.2,-10.2,64.5,0,0,0,,0,8.1,28.8,16.2,331.4,1015.6,61.1,16,42.8,3.6,3,10,2022-01-30T07:05:00,2022-01-30T17:03:14,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2022-01-31,1.5,-2.5,-0.5,-2,-5.7,-4,-7.2,60.9,0,0,0,,0,7.1,45.6,24.1,160,1019.7,89.7,14.7,65.5,5.7,4,10,2022-01-31T07:04:01,2022-01-31T17:04:31,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
chicago,2022-02-01,8,1,4.1,5.1,-3.8,0.3,-1.4,67.5,1.754,100,29.17,"rain,snow",0.1,6.5,57.2,25.6,210.9,1014.4,87.9,14.6,31.2,2.6,2,10,2022-02-01T07:03:01,2022-02-01T17:05:49,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"72534014819,KORD,KMDW,72530094846,F1983,F7086,74466504838,KPWK"
chicago,2022-02-02,0.7,-7.2,-4.7,-4.2,-15.6,-11.8,-8.4,75.5,4.674,100,62.5,"rain,snow",2.3,7.4,52,31.4,352.1,1024.6,100,6.7,4.4,0.2,0,10,2022-02-02T07:01:59,2022-02-02T17:07:06,0.05,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72534014819,AP878,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
