name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chongqing,2022-01-01,13,5,7.9,13,3.4,7.4,3,73.2,0,0,0,,0,0,16.6,10.8,75.7,1029.9,20.5,5.3,133,11.5,6,,2022-01-01T07:48:51,2022-01-01T18:06:00,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUCK,57516099999"
chongqing,2022-01-02,12,4,7.8,12,0.1,6.6,3.1,73.2,0,0,0,,0,0,15.1,18,41.6,1025.1,16.1,5.1,79.3,6.9,3,,2022-01-02T07:49:05,2022-01-02T18:06:42,0.98,Clear,Clear conditions throughout the day.,clear-day,"ZUCK,57516099999"
chongqing,2022-01-03,10.3,8,9.1,10.3,6.1,8.4,4.4,72.7,0,0,0,,0,0,10.4,14.4,18.3,1021.2,62.5,4.7,36.5,3.3,2,,2022-01-03T07:49:18,2022-01-03T18:07:25,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUCK,57516099999"
chongqing,2022-01-04,9.7,7,8.2,9.7,5.7,7.9,7.1,93.2,0,0,0,,0,0,9.4,7.2,198,1020.3,91.7,2.7,56.1,5,2,,2022-01-04T07:49:30,2022-01-04T18:08:09,0.05,Overcast,Cloudy skies throughout the day.,cloudy,"ZUCK,57516099999"
chongqing,2022-01-05,11.3,6,8.7,11.3,3.7,8.1,6.4,86.4,0,0,0,,0,0,10.8,14.4,27.3,1021.1,75.4,3.5,53.5,4.7,3,,2022-01-05T07:49:39,2022-01-05T18:08:54,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUCK,57516099999"
chongqing,2022-01-06,11,8,9.2,11,6.9,8.7,8.3,94.3,0,0,0,,0,0,10.8,10.8,97.3,1024,99.1,3,59.4,5.1,3,,2022-01-06T07:49:47,2022-01-06T18:09:40,0.11,Overcast,Cloudy skies throughout the day.,cloudy,"ZUCK,57516099999"
chongqing,2022-01-07,9.5,8,8.9,9.5,5.5,8.1,7.6,91.9,0.3,100,4.17,rain,0,0,11.2,14.4,46.5,1025.1,71.9,6.2,82.1,7.2,4,,2022-01-07T07:49:54,2022-01-07T18:10:26,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"ZUCK,57516099999"
chongqing,2022-01-08,10.5,8,8.9,10.5,6.1,8.5,7.4,90.5,0,0,0,,0,0,11.2,10.8,31.3,1024.5,75.3,6.9,112.2,9.7,4,,2022-01-08T07:49:59,2022-01-08T18:11:13,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUCK,57516099999"
chongqing,2022-01-09,13,5,9.2,13,4.5,8.9,5.4,79.8,0,0,0,,0,0,14,14.4,38.9,1020.2,46.1,6.6,78.1,6.7,3,,2022-01-09T07:50:02,2022-01-09T18:12:01,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUCK,57516099999"
chongqing,2022-01-10,13.5,8,10.5,13.5,6.8,9.9,5.9,74.2,0,0,0,,0,0,26.3,21.6,323.4,1022.5,49.4,7.1,45.6,4.1,2,10,2022-01-10T07:50:03,2022-01-10T18:12:49,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZUCK,57516099999"
