name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
cleveland,2022-01-01,13.8,3.8,7.1,13.8,-1.6,4.4,5.3,88.6,7.118,100,45.83,rain,0,0,42.5,31.6,15,1006.1,83,6.8,16.8,0.6,0,,2022-01-01T07:53:24,2022-01-01T17:07:40,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KCLE,KLNN,D7394,72524014820,72524504853,KBKL,72524499999,C4558"
cleveland,2022-01-02,3.3,-2.2,0.2,-2,-8.8,-6,-2.9,80.4,1.043,100,50,"rain,snow",0,0,51.8,37,3.3,1014,99.9,10.9,30.6,1.1,1,,2022-01-02T07:53:29,2022-01-02T17:08:32,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"KCLE,KLNN,72524014820,72524504853,KBKL,72524499999,C4558"
cleveland,2022-01-03,-1.7,-3.9,-2.5,-2.2,-9.5,-7.4,-8.2,64.8,0,0,0,,0,0,35.3,31.6,347.9,1026.1,79.1,15.5,53.4,1.7,1,,2022-01-03T07:53:31,2022-01-03T17:09:26,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCLE,KLNN,72524014820,72524504853,KBKL,72524499999,C4558"
cleveland,2022-01-04,4.3,-4.4,-0.1,-0.2,-10.2,-5.2,-7.3,59.6,0,0,0,,0,0,49.9,31.6,167.5,1022.1,0.5,15.5,235.2,7.7,4,,2022-01-04T07:53:31,2022-01-04T17:10:21,0.06,Clear,Clear conditions throughout the day.,clear-day,"KCLE,KLNN,72524014820,72524504853,KBKL,72524499999,C4558"
cleveland,2022-01-05,6.1,-5.7,2.8,2.1,-15.4,-3.3,-4.6,58.4,0,0,0,,0,0,81.3,59.2,219.4,1005.5,61.6,15.5,61.4,2.1,1,,2022-01-05T07:53:28,2022-01-05T17:11:18,0.1,Partially cloudy,Partly cloudy throughout the day.,wind,"KCLE,KLNN,72524014820,72524504853,KBKL,72524499999,C4558"
cleveland,2022-01-06,-3.9,-7.8,-6.2,-10.1,-17.3,-13.4,-12.2,62.5,0,0,0,,0.8,0.3,49.3,37,221.1,1015.5,89.9,15.4,119.3,4.3,2,,2022-01-06T07:53:23,2022-01-06T17:12:16,0.13,Partially cloudy,Partly cloudy throughout the day.,snow,"KCLE,KLNN,72524014820,72524504853,KBKL,72524499999,C4558"
cleveland,2022-01-07,-5,-8.8,-6.8,-12.7,-18.4,-15.2,-10.5,75,0,0,0,,0.5,1,52.2,37,233.9,1022.3,99.9,4.9,136.6,4.9,4,,2022-01-07T07:53:16,2022-01-07T17:13:16,0.16,Overcast,Cloudy skies throughout the day.,snow,"KCLE,KLNN,72524014820,72524504853,KBKL,72524499999,C4558"
cleveland,2022-01-08,2.8,-8.3,-3,-0.8,-15,-8.9,-11.1,56,0,0,0,,0,0.6,50,33.4,170.6,1028.3,48.2,15,221.5,8,4,,2022-01-08T07:53:07,2022-01-08T17:14:17,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KCLE,KLNN,72524014820,72524504853,KBKL,72524499999,C4558"
cleveland,2022-01-09,6.1,-3.9,2.7,1.6,-12.6,-3,-1.8,73.1,7.422,100,33.33,rain,0,0,67.2,49.9,248.1,1019.4,82.2,13.5,44.8,1.8,2,,2022-01-09T07:52:55,2022-01-09T17:15:19,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KCLE,KLNN,D7394,72524014820,72524504853,KBKL,72524499999,C4558"
cleveland,2022-01-10,-3.9,-7.8,-5.4,-13.1,-17.9,-14.4,-11.6,62,0,0,0,,0.2,0,67.5,49.8,263.4,1027.9,96.4,11.2,102,3.6,2,,2022-01-10T07:52:41,2022-01-10T17:16:22,0.26,Overcast,Cloudy skies throughout the day.,snow,"KCLE,KLNN,D7394,72524014820,72524504853,KBKL,72524499999,C4558"
