name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
colorado springs,2022-01-01,-6.2,-17.5,-10.9,-11.2,-24.6,-17,-15.1,71.8,2.649,100,50,snow,1.1,2.1,,25,343.9,1014.3,84.4,7.2,23,0.8,0,,2022-01-01T07:17:53,2022-01-01T16:48:16,0.97,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"74531093065,KAFF,C8796,72466093037,KFCS,RRAC2,KCOS"
colorado springs,2022-01-02,5.6,-17.2,-5.3,3.3,-24.8,-9.4,-14.7,50.2,0,0,0,,0.5,2.4,,17.6,15.6,1027.8,7.6,16,33.5,1.2,1,,2022-01-02T07:18:00,2022-01-02T16:49:06,0,Clear,Clear conditions throughout the day.,snow,"74531093065,KAFF,C8796,72466093037,KFCS,RRAC2,KCOS"
colorado springs,2022-01-03,12.8,-6.2,3.2,12.8,-11.9,0.5,-11.8,36,0,0,0,,0,1.8,46.4,15.4,33.8,1019.1,37.4,16,54.7,2.3,1,,2022-01-03T07:18:05,2022-01-03T16:49:58,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74531093065,KAFF,C8796,72466093037,KFCS,RRAC2,KCOS"
colorado springs,2022-01-04,12,2.8,7.3,12,-1.5,4.4,-15.7,18.5,0,0,0,,0,0.6,94.7,46,308,1008.3,35.9,16,42.5,1.7,1,,2022-01-04T07:18:07,2022-01-04T16:50:50,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74531093065,KAFF,C8796,72466093037,KFCS,RRAC2,KCOS"
colorado springs,2022-01-05,10.9,-10.7,-2.2,10.9,-18.6,-6.9,-9.6,60.4,0,0,0,,0,0.2,74.2,39.1,125.2,1012.6,67.4,15,66.4,2.6,2,,2022-01-05T07:18:08,2022-01-05T16:51:44,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74531093065,KAFF,C8796,72466093037,KFCS,RRAC2,KCOS"
colorado springs,2022-01-06,-6.2,-14.5,-10.6,-10.8,-22,-16.4,-15.8,66.4,0.185,100,4.17,snow,0,0.1,,18.2,184,1020.1,71.6,14.1,45.2,1.8,1,,2022-01-06T07:18:06,2022-01-06T16:52:39,0.13,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"74531093065,KAFF,C8796,72466093037,KFCS,RRAC2,KCOS"
colorado springs,2022-01-07,18.7,-8.7,8,18.7,-14.6,6.3,-8.7,35,0,0,0,,0,0.1,53.4,39,209.7,1006.6,20.7,16,28.5,1.1,1,,2022-01-07T07:18:02,2022-01-07T16:53:35,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74531093065,KAFF,C8796,72466093037,KFCS,RRAC2,KCOS"
colorado springs,2022-01-08,13.3,-0.2,6,13.3,-4.9,2.8,-8.1,40.3,0.185,100,4.17,"rain,snow",0,0.1,57.8,34.8,8.1,1007.9,69.8,15.9,80.7,3.1,2,,2022-01-08T07:17:56,2022-01-08T16:54:33,0.2,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"74531093065,KAFF,C8796,72466093037,KFCS,RRAC2,KCOS"
colorado springs,2022-01-09,0.9,-5.2,-3,0.9,-11,-6.7,-7,74.4,0,0,0,,0,0.1,,20.8,134.7,1033.8,58.3,14.4,66.9,2.6,2,,2022-01-09T07:17:48,2022-01-09T16:55:31,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74531093065,KAFF,C8796,72466093037,KFCS,RRAC2,KCOS"
colorado springs,2022-01-10,10.5,-7.6,0.4,10.5,-14.4,-3.1,-13.5,39.4,0,0,0,,0,0,24.8,19.9,57.6,1036.8,7.7,16,17.4,0.9,1,10,2022-01-10T07:17:37,2022-01-10T16:56:31,0.26,Clear,Clear conditions throughout the day.,clear-day,"74531093065,KAFF,C8796,72466093037,KFCS,RRAC2,KCOS"
