name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
denver,2022-01-01,-11.7,-18,-15.1,-13.5,-26.5,-20.2,-17.5,81.6,1.827,100,41.67,snow,5.9,8.2,,17.5,67.1,1017.7,71.5,9,38.2,1.4,1,,2022-01-01T07:21:13,2022-01-01T16:46:19,0.97,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
denver,2022-01-02,5.1,-14.7,-4.1,2,-22.5,-9.7,-12.6,52.3,0,0,0,,0,7.6,44.6,23.2,186.3,1025.4,18.2,16,229.6,8.3,5,,2022-01-02T07:21:19,2022-01-02T16:47:09,0,Clear,Clear conditions throughout the day.,clear-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067,C9516"
denver,2022-01-03,10.2,-3.9,2.5,10.2,-9.1,-0.9,-9.7,41.1,0,0,0,,0,4,,21,193.5,1017.2,71.6,16,248,9,6,,2022-01-03T07:21:23,2022-01-03T16:48:01,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
denver,2022-01-04,8.6,-5.2,2.7,4.7,-11,-1.4,-10.9,39.6,0,0,0,,0,1.9,63.8,35.8,295.4,1009.8,56.6,16,244.7,8.7,4,,2022-01-04T07:21:24,2022-01-04T16:48:55,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
denver,2022-01-05,3.7,-17,-7.8,1,-24.1,-13.3,-11.2,77.3,2.618,100,33.33,snow,3.3,1.8,50,31,48.8,1014.7,71.9,11.5,229.4,8.3,5,,2022-01-05T07:21:24,2022-01-05T16:49:50,0.1,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
denver,2022-01-06,-3.3,-18.2,-12.4,-7.1,-22.2,-15.6,-15.7,76.8,2.019,100,25,snow,2.2,5.3,27.7,16.6,74.5,1020.5,88,12.7,169.5,5.9,5,,2022-01-06T07:21:21,2022-01-06T16:50:46,0.13,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
denver,2022-01-07,15.6,-2.1,6.5,15.6,-6.9,4.2,-5.5,44.8,0,0,0,,0,4,35.3,20.6,191.1,1004.3,72.3,16,233.9,8.5,5,,2022-01-07T07:21:16,2022-01-07T16:51:43,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
denver,2022-01-08,5.8,-2.7,2.9,2.8,-5.9,-0.5,-5.2,56.2,0,0,0,,0,2.1,40.1,23.8,153.6,1009.4,74.5,16,104.6,3.8,3,,2022-01-08T07:21:09,2022-01-08T16:52:42,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067,C9516"
denver,2022-01-09,3.1,-7.4,-3.2,2.5,-11.4,-5.6,-6.2,80.4,0,0,0,,0,0.7,,15.1,216.8,1032.3,39.9,13.7,253.4,9.1,5,,2022-01-09T07:20:59,2022-01-09T16:53:42,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067,C9516"
denver,2022-01-10,13,-3.1,3.2,13,-8.3,0,-11.8,35.7,0,0,0,,0,0.5,15.5,20.1,177,1032.9,17.7,16,172.1,10,5,10,2022-01-10T07:20:48,2022-01-10T16:54:43,0.26,Clear,Clear conditions throughout the day.,clear-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
denver,2022-01-11,13.2,-1.1,4.3,13.2,-5.2,1.5,-13.5,28.9,0,0,0,,0,0.3,35.3,20.5,182.8,1024.5,43,16,74.8,6.5,3,10,2022-01-11T07:20:34,2022-01-11T16:55:44,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067,C9516"
denver,2022-01-12,13.7,-0.2,5.5,13.7,-4.4,3.5,-8.6,36.8,0,0,0,,0,0.1,25.9,17.6,196.9,1023.4,71,16,77.3,6.7,4,10,2022-01-12T07:20:18,2022-01-12T16:56:47,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067,C9516"
denver,2022-01-13,16.6,2.8,8.3,16.6,-0.9,6.5,-5.9,38.4,0,0,0,,0,0.1,16.6,18.7,191.4,1019.3,67.8,16,100.6,8.8,5,10,2022-01-13T07:20:00,2022-01-13T16:57:51,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
denver,2022-01-14,5,-4,1,2.1,-11,-4.3,-6.6,57.4,0.111,100,4.17,"rain,snow",0,0,67.9,48,13,1020.7,73.6,15,23.1,2.1,1,10,2022-01-14T07:19:40,2022-01-14T16:58:56,0.39,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
denver,2022-01-15,9.2,-9.4,-0.5,8.2,-15.6,-4,-11.7,50.3,0,0,0,,0,0,42.5,20.1,205.6,1027.3,39.2,16,118,10.4,5,10,2022-01-15T07:19:17,2022-01-15T17:00:01,0.43,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
denver,2022-01-16,13.1,-2.6,3.7,13.1,-8.2,1,-12.3,34.3,0,0,0,,0,0,40.9,25.7,134.5,1018.3,61.4,16,116.6,9.9,6,10,2022-01-16T07:18:53,2022-01-16T17:01:07,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
denver,2022-01-17,15.5,-1.1,6,15.5,-5.6,3.6,-10.1,33.7,0,0,0,,0,0,15.8,16.7,158.8,1012.7,66.1,16,98.5,8.6,5,10,2022-01-17T07:18:26,2022-01-17T17:02:14,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067,C9516"
denver,2022-01-18,11.6,-0.6,4.5,11.6,-2.4,2.3,-10.1,35.9,0,0,0,,0,0,24.8,14.7,198.1,1010,86.1,16,50.3,4.3,3,10,2022-01-18T07:17:57,2022-01-18T17:03:22,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067,C9516"
denver,2022-01-19,-1.8,-8,-6,-4.8,-13.7,-10.6,-7.2,90.9,0.03,100,4.17,snow,0,0,34.9,17.2,72.1,1024.9,96.2,9.6,14.9,1.2,1,10,2022-01-19T07:17:27,2022-01-19T17:04:30,0.56,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067,C9516"
denver,2022-01-20,5.6,-9.5,-3.8,4,-11,-5.7,-7.6,78.6,0,0,0,,0,0,23,16.4,344.9,1025.3,50.3,12.5,122.5,10.6,6,10,2022-01-20T07:16:54,2022-01-20T17:05:39,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
denver,2022-01-21,1.2,-4.9,-1.7,-1.2,-9.4,-4.2,-4.9,80.2,1.061,100,16.67,"rain,snow",0.2,0.1,31.7,14.1,319.1,1022.1,88,11,23,2.1,1,10,2022-01-21T07:16:19,2022-01-21T17:06:48,0.63,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
denver,2022-01-22,6.9,-6.4,-0.7,5.7,-13.3,-4,-6.2,69.2,0,0,0,,0.4,0.3,18.4,21.2,193.1,1026.6,39.1,16,122.5,10.5,6,10,2022-01-22T07:15:42,2022-01-22T17:07:58,0.67,Partially cloudy,Partly cloudy throughout the day.,snow,"KBKF,KDEN,72469523036,KAPA,72565003017,C7015,72466693067"
