name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
edmonton,2022-01-01,-8.6,-28.6,-20.4,-11.7,-31.6,-22,-23.9,73.4,0.012,100,4.17,snow,0,2.2,,9.6,197.4,1011,61.3,16.1,5.9,0.5,0,,2022-01-01T08:50:21,2022-01-01T16:25:15,0.97,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"71121099999,71123399999,71157099999,71123099999,CXEG,E5507,CXEC,AU867"
edmonton,2022-01-02,-5.6,-22.5,-13.7,-8.3,-31.2,-19,-17.1,75,0.012,100,4.17,snow,0.2,2.2,35.3,26.1,351.5,1012.3,70.6,16.7,5,0.5,0,,2022-01-02T08:50:09,2022-01-02T16:26:24,0,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"71121099999,71123399999,71157099999,71123099999,CXEG,E5507,CXEC,AU867"
edmonton,2022-01-03,-22.7,-25.3,-24.1,-30.2,-35.2,-33.1,-27.7,72,4.93,100,75,snow,0.4,2.4,,16.7,47.8,1022.9,96.6,4.9,3.5,0.3,0,,2022-01-03T08:49:52,2022-01-03T16:27:37,0.03,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"71121099999,71123399999,71157099999,71123099999,CXEG,CXEC,AU867"
edmonton,2022-01-04,-25.2,-29,-27.2,-28.7,-38.3,-36,-30.8,71.2,1.016,100,29.17,snow,0.2,2.8,,15.1,342.9,1035.6,60.9,12,15.6,1.4,1,,2022-01-04T08:49:32,2022-01-04T16:28:52,0.07,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"71121099999,71123399999,71157099999,71123099999,CXEG,E5507,CXEC,AU867"
edmonton,2022-01-05,-26.1,-31.8,-28.9,-26.1,-40.3,-33.6,-32.6,70.9,0.233,100,4.17,snow,0,2.8,,9.4,323.1,1041.5,65.4,15.5,5.5,0.5,0,,2022-01-05T08:49:09,2022-01-05T16:30:10,0.1,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"71121099999,71123399999,71157099999,71127099999,71123099999,CXEG,E5507,71155099999,CXEC,AU867"
edmonton,2022-01-06,-25.6,-30.5,-28.2,-25.8,-41.2,-36.2,-31.5,73.5,0,0,0,,0,2.8,,18.4,141.9,1023.7,59.7,21.7,23.3,2,2,,2022-01-06T08:48:42,2022-01-06T16:31:31,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"71121099999,71123399999,71157099999,71123099999,CXEG,71155099999,E5507,CXEC,AU867,C6614"
edmonton,2022-01-07,-24.5,-29.9,-26.9,-28.4,-39.2,-36,-30.4,72.5,0,0,0,,0.2,2.9,,22.3,325.6,1005.4,89.2,10.7,6.3,0.5,0,,2022-01-07T08:48:11,2022-01-07T16:32:54,0.16,Partially cloudy,Partly cloudy throughout the day.,snow,"71123399999,71123099999,E5507,AU867,C6614"
edmonton,2022-01-08,-22.1,-27,-24.7,-22.1,-36.1,-30.6,-28.1,73.2,1.13,100,12.5,snow,0.1,3.1,,16.5,294.2,1024.4,55.8,20.1,29.5,2.6,2,,2022-01-08T08:47:37,2022-01-08T16:34:20,0.2,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71123399999,71157099999,71123099999,CXEG,71155099999,E5507,CXEC,AU867"
edmonton,2022-01-09,-15.6,-23,-19.6,-22.6,-32.1,-27.6,-22.8,75.6,0.917,100,41.67,snow,0,3.2,,15.6,139.3,1031.3,89.6,14.9,7.7,0.6,0,,2022-01-09T08:47:00,2022-01-09T16:35:48,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"71123399999,71157099999,71127099999,71123099999,CXEG,71238099999,71155099999,E5507,CXEC,AU867,C6614"
edmonton,2022-01-10,-1.9,-18.5,-11.9,-3.2,-24.6,-15.4,-14.8,79,6.158,100,12.5,snow,0,3.2,59.4,14.7,185.2,1019.2,61.7,23.1,15.1,1.3,1,10,2022-01-10T08:46:19,2022-01-10T16:37:19,0.26,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"71121099999,71123399999,71127099999,71157099999,71123099999,CXEG,71238099999,71155099999,E5507,CXEC,AU867"
