name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
el paso,2022-01-01,13.1,0.7,7.9,13.1,-3.5,3.7,-1.3,52.6,4.212,100,25,rain,0,0,91,56,264.2,1008.6,38.7,15.7,308.5,12.2,7,,2022-01-01T07:06:07,2022-01-01T17:13:20,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-02,6.4,-4.3,0.7,6.2,-8.2,-1.6,-11.4,41.7,0,0,0,,0,0,,17.5,356.8,1028,5.1,16,383.6,15.1,7,,2022-01-02T07:06:20,2022-01-02T17:14:05,0,Clear,Clear conditions throughout the day.,clear-day,"KBIF,KLRU,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-03,9.8,-4.9,1.8,9.8,-9.3,-0.3,-8.5,51.7,0,0,0,,0,0,,11.6,23,1025.9,27.6,15.9,386.8,13.7,7,,2022-01-03T07:06:30,2022-01-03T17:14:50,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-04,16.8,-3.5,7.2,16.8,-4.2,6.7,-8,42.2,0,0,0,,0,0,54.1,38.1,261.5,1019.3,13.1,15.8,418.8,15.2,7,,2022-01-04T07:06:39,2022-01-04T17:15:36,0.07,Clear,Clear conditions throughout the day.,clear-day,"KBIF,KLRU,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-05,16.8,0.9,9,16.8,-1.6,8.3,-7.7,33.2,0,0,0,,0,0,,13.5,220.4,1014.5,2.8,15.8,379.3,15,7,,2022-01-05T07:06:45,2022-01-05T17:16:23,0.1,Clear,Clear conditions throughout the day.,clear-day,"KBIF,KLRU,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-06,18.2,1.2,9.4,18.2,-1.2,8.6,-4.3,40.2,0,0,0,,0,0,,18,131.2,1014,8.8,15.9,369.6,14.5,7,,2022-01-06T07:06:51,2022-01-06T17:17:11,0.13,Clear,Clear conditions throughout the day.,clear-day,"KBIF,KLRU,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-07,20.6,0.2,10.5,20.6,-1.9,10.2,-3,43.9,0,0,0,,0,0,,23.7,210.7,1012,8.6,15.9,376.5,14.8,7,,2022-01-07T07:06:54,2022-01-07T17:18:00,0.16,Clear,Clear conditions throughout the day.,clear-day,"KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-08,20.5,10.7,15.3,20.5,10.7,15.3,-4,27.4,0,0,0,,0,0,47.4,28.3,257.2,1011.5,30.4,16,379.5,15,7,,2022-01-08T07:06:56,2022-01-08T17:18:49,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-09,11.3,6.4,9.2,11.3,4,8.1,-4.1,39.1,0,0,0,,0,0,,19.2,48.3,1024.9,72,15.8,148.6,5.5,2,,2022-01-09T07:06:56,2022-01-09T17:19:40,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-10,7.4,4.2,5.8,6.1,1.4,3.2,-3.6,51.2,0,0,0,,0,0,31.3,23.8,16.4,1032.5,92.2,15.8,86.1,4.9,3,10,2022-01-10T07:06:54,2022-01-10T17:20:30,0.26,Overcast,Cloudy skies throughout the day.,cloudy,"KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-11,12,1.5,6.3,12,-2.8,5,-4.5,50.7,0,0,0,,0,0,15.5,16.4,5.2,1027.8,48.6,16,150.2,13,6,10,2022-01-11T07:06:51,2022-01-11T17:21:22,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBIF,KLRU,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-12,16.2,-1.6,6,16.2,-4.7,5,-6.2,46.7,0,0,0,,0,0,28.4,11,53.7,1025.5,36.7,15.9,176.8,15.3,7,10,2022-01-12T07:06:46,2022-01-12T17:22:14,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-13,17,-1.6,6.8,17,-4.3,6.2,-7,41.7,0,0,0,,0,0,21.6,11.3,82.4,1023,18.4,15.9,180.9,15.5,7,10,2022-01-13T07:06:39,2022-01-13T17:23:06,0.36,Clear,Clear conditions throughout the day.,clear-day,"KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-14,21.2,-0.3,10.9,21.2,-2.7,10.1,-8.5,30.7,0,0,0,,0,0,50,24.4,297.7,1014.6,33.2,16,171.3,14.8,7,10,2022-01-14T07:06:30,2022-01-14T17:23:59,0.39,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KBIF,KLRU,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-15,10.3,2.7,6.8,10.3,0.3,5.5,-8.6,33,0,0,0,,0,0,46.4,17.4,65,1025,27,15.9,175.2,15.1,7,10,2022-01-15T07:06:19,2022-01-15T17:24:53,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBIF,KLRU,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-16,13.2,-3.8,4.6,13.2,-8.1,4.1,-8.5,41,0,0,0,,0,0,16.2,10.8,8,1021.4,40.7,15.9,156.6,13.6,7,10,2022-01-16T07:06:07,2022-01-16T17:25:47,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-17,17.8,-2.6,7.6,17.8,-5.6,7,-7.4,37.6,0,0,0,,0,0,23,20.4,252.7,1017.4,36.2,16,169.3,14.6,7,10,2022-01-17T07:05:53,2022-01-17T17:26:41,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBIF,KLRU,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-18,18.9,8.6,13.1,18.9,6.8,12.7,0.3,43.2,0.335,100,16.67,rain,0,0,56,25.5,268.4,1012.6,48.1,15.9,174.2,15,7,10,2022-01-18T07:05:38,2022-01-18T17:27:35,0.53,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"KLRU,KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-19,15.6,8.3,11.6,15.6,4.7,10.9,1,50.2,0,0,0,,0,0,37.1,27.1,269.3,1014.6,57,15.9,148.2,12.8,7,10,2022-01-19T07:05:20,2022-01-19T17:28:30,0.56,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KBIF,KLRU,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-20,8.7,-0.1,4.4,8.2,-3,1.9,-7.3,42.9,0,0,0,,0,0,36.7,15.7,84.2,1023.2,27.3,15.9,171.5,14.7,7,10,2022-01-20T07:05:01,2022-01-20T17:29:25,0.6,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KBIF,KLRU,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-21,11.5,-2.6,3.8,11.5,-5.1,2.7,-6.4,48.1,0,0,0,,0,0,14.4,10.6,149.7,1019.9,6.8,15.9,182.5,15.8,7,10,2022-01-21T07:04:40,2022-01-21T17:30:20,0.63,Clear,Clear conditions throughout the day.,clear-day,"KBIF,KLRU,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-22,12.3,1,5.6,12.3,-4.1,3,-5.9,44.9,0,0,0,,0,0,46.1,29.3,52.4,1019.3,13.1,16,185.4,16,7,10,2022-01-22T07:04:18,2022-01-22T17:31:15,0.67,Clear,Clear conditions throughout the day.,clear-day,"KBIF,KLRU,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-23,11.4,-2.7,4.4,11.4,-5.9,3.1,-5.4,50.3,0,0,0,,0,0,30.2,12.2,32.7,1019.1,20.3,16,180.1,15.4,7,10,2022-01-23T07:03:54,2022-01-23T17:32:10,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-24,15.4,-0.3,6.7,15.4,-3.6,5.8,-4.7,48.9,0,0,0,,0,0,26.6,18.3,317.5,1012.6,6,15.9,189.8,16.4,7,10,2022-01-24T07:03:28,2022-01-24T17:33:06,0.74,Clear,Clear conditions throughout the day.,clear-day,"KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-25,17.2,2.4,9.7,17.2,-0.2,8.7,-5.3,36.1,0,0,0,,0,0,33.5,21.9,208.5,1012,10.2,15.9,193,16.6,7,10,2022-01-25T07:03:00,2022-01-25T17:34:01,0.75,Clear,Clear conditions throughout the day.,clear-day,"KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-26,13.8,2.3,8.1,13.8,0.5,6.7,-6.4,37.4,0,0,0,,0,0,33.5,21.6,242.9,1016.5,8.9,16,192.8,16.6,7,10,2022-01-26T07:02:31,2022-01-26T17:34:57,0.81,Clear,Clear conditions throughout the day.,clear-day,"KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-27,16,-0.1,7.5,16,-3.3,5.6,-7.4,35.7,0,0,0,,0,0,42.5,20,17.7,1019.3,32.6,15.9,193.4,16.7,7,10,2022-01-27T07:02:01,2022-01-27T17:35:52,0.84,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KBIF,72270499999,72364099999,72270023044,KELP,F2547"
el paso,2022-01-28,10.5,-1.3,4.6,10.5,-4.9,2.5,-8.3,39.8,0,0,0,,0,0,47.5,20.9,24.3,1030.5,13.4,16,197.5,17.2,7,10,2022-01-28T07:01:29,2022-01-28T17:36:48,0.88,Clear,Clear conditions throughout the day.,clear-day,"KBIF,KLRU,72270499999,72364099999,72270023044,KELP,F2547"
