name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
fairbanks,2022-01-01,-22.4,-28,-25.5,-23.3,-38.5,-33,-31,60,0.392,100,25,snow,0,72.7,29.5,21,359.9,1020.1,48.9,14.8,1.1,0,0,,2022-01-01T10:54:00,2022-01-01T14:55:38,0.97,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"TT620,PAFB,PAFA,70261026411,99999926494,70261526498,70265026407,SRGA2"
fairbanks,2022-01-02,-27.8,-40.5,-34,-29.2,-46.7,-37,-37.2,73.2,0,0,0,,0,72,,9.4,36.4,1040.6,9.8,14.2,3.3,0.1,0,,2022-01-02T10:52:41,2022-01-02T14:57:54,0,Clear,Clear conditions throughout the day.,clear-day,"TT620,PAFB,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-03,-27.8,-40.6,-34.2,-30.1,-46.8,-38.2,-37.7,70.2,0,0,0,,0,70.1,,15.2,46.6,1039.8,4.1,14.1,2.2,0.1,0,,2022-01-03T10:51:14,2022-01-03T15:00:18,0.04,Clear,Clear conditions throughout the day.,clear-day,"TT620,PAFB,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-04,-26.4,-37.6,-31.6,-26.4,-41.4,-36.5,-34.7,73.9,0,0,0,,0,69.6,,18.4,44.3,1040,0,15.5,3,0.2,0,,2022-01-04T10:49:40,2022-01-04T15:02:47,0.07,Clear,Clear conditions throughout the day.,clear-day,"TT620,PAFB,PAFA,70261026411,70261526498,SRGA2,70265026407"
fairbanks,2022-01-05,-33.7,-37.7,-35.9,-33.7,-37.7,-35.9,-39.9,67.1,0,0,0,,0,68.4,,2.2,12,1035.4,0.3,14.8,3.1,0.3,0,,2022-01-05T10:47:59,2022-01-05T15:05:23,0.1,Clear,Clear conditions throughout the day.,clear-day,"TT620,PAFB,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-06,-21.8,-34.5,-27.1,-21.8,-34.5,-27.3,-30.6,72.3,0,0,0,,0,68.3,,5.5,329.2,1025,56.3,15.7,1.5,0,0,,2022-01-06T10:46:11,2022-01-06T15:08:05,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TT620,PAFB,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-07,-34.5,-40,-37.6,-34.5,-44,-37.9,-42.1,63.4,0,0,0,,0,67.7,,5.4,58.6,1021.5,12.8,13.1,4.8,0.3,1,,2022-01-07T10:44:18,2022-01-07T15:10:52,0.17,Clear,Clear conditions throughout the day.,clear-day,"TT620,PAFB,D3195,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-08,-29.5,-39.9,-36.7,-31.9,-46.2,-38.9,-40.1,70.8,0,0,0,,0,65.9,,12,47.2,1019.9,2.8,10.7,9.3,0.8,1,,2022-01-08T10:42:18,2022-01-08T15:13:43,0.2,Clear,Clear conditions throughout the day.,clear-day,"TT620,PAFB,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-09,-16.7,-37.5,-27.5,-24.8,-44,-34.4,-31.1,72.2,0,0,0,,0,65.7,,16.4,58.9,1010.4,37.9,14.1,2.1,0.1,0,,2022-01-09T10:40:13,2022-01-09T15:16:39,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"TT620,PAFB,D3195,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-10,-17.6,-20.8,-18.8,-18.1,-27.6,-23.6,-23.2,68.5,0,0,0,,0,65.6,22.7,14.2,46.1,1001.3,55,15.9,2,0.1,0,10,2022-01-10T10:38:03,2022-01-10T15:19:40,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TT620,PAFB,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-11,-14.8,-21.1,-17,-14.8,-21.1,-17,-19.9,77.9,0.892,100,29.17,snow,0.2,65.7,5.4,4.3,12.3,998.6,75.6,11.6,2.5,0.1,0,10,2022-01-11T10:35:47,2022-01-11T15:22:44,0.3,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"TT620,PAFB,D3195,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-12,-12,-16.8,-14.4,-12,-16.8,-14.4,-16.7,82.6,0,0,0,snow,0.1,65.9,8.3,3.8,354.3,1004.4,86.3,15.1,0.7,0,0,10,2022-01-12T10:33:28,2022-01-12T15:25:51,0.33,Partially cloudy,Partly cloudy throughout the day.,snow,"TT620,PAFB,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-13,-9.8,-23.2,-16.6,-9.9,-23.2,-17,-19.2,80.8,0,0,0,snow,0,65.5,29.5,6.9,344.7,1003.7,83.3,15.6,0.7,0.1,0,10,2022-01-13T10:31:03,2022-01-13T15:29:02,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TT620,PAFB,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-14,-11.3,-18.8,-15.2,-11.3,-18.8,-15.2,-17.4,82.8,0,0,0,,0,64.3,27.4,4.3,4.2,1001.1,72.9,15.9,0.6,0,0,10,2022-01-14T10:28:35,2022-01-14T15:32:15,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TT620,PAFB,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-15,-14.8,-22.8,-18.4,-14.8,-22.8,-18.6,-20.9,80.7,0,0,0,,1.1,64.5,14,5.4,258.3,1009.7,75.7,15.6,0.9,0,0,10,2022-01-15T10:26:02,2022-01-15T15:35:31,0.43,Partially cloudy,Partly cloudy throughout the day.,snow,"TT620,PAFB,D3195,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-16,-15.8,-20.9,-17.4,-15.8,-26.7,-19.3,-20,80.3,0.499,100,20.83,snow,0.9,65.3,13.3,8.8,60.7,1017.4,98.6,12.4,0.7,0,0,10,2022-01-16T10:23:26,2022-01-16T15:38:50,0.46,"Snow, Overcast",Cloudy skies throughout the day with snow in the morning and afternoon.,snow,"TT620,PAFB,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-17,-18.3,-23.3,-20.5,-18.3,-27.9,-22.2,-23.5,77,0,0,0,,0,63.7,4.7,12.6,50.8,1020.4,68.6,15.6,3.1,0.1,0,10,2022-01-17T10:20:47,2022-01-17T15:42:10,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"TT620,PAFB,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-18,-17.5,-24.5,-20,-17.5,-24.5,-20,-22.8,78.5,0,0,0,,0,63.1,2.9,1.6,331.3,1017.2,83.1,15.8,2.3,0.1,0,10,2022-01-18T10:18:04,2022-01-18T15:45:32,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TT620,PAFB,D3195,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-19,-13.4,-23.1,-18.2,-13.6,-23.1,-18.3,-20.9,79.1,0.174,100,4.17,snow,0.2,62.5,17.3,7.3,3.6,1007.1,78.7,14.6,1.9,0,0,10,2022-01-19T10:15:18,2022-01-19T15:48:56,0.57,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"TT620,PAFB,D3195,PAFA,70261026411,70261526498,70265026407,SRGA2"
fairbanks,2022-01-20,-15.2,-28.7,-21.7,-17.2,-32.1,-25.1,-24.8,75.7,0,0,0,snow,1.7,61.2,21.6,16.7,47.3,1009.8,39.2,15,4.6,0.3,0,10,2022-01-20T10:12:29,2022-01-20T15:52:22,0.6,Partially cloudy,Becoming cloudy in the afternoon.,snow,"TT620,PAFB,D3195,PAFA,70261026411,70261526498,70265026407,SRGA2"
