name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
geneve,2022-01-01,9.7,0.7,3.9,9.7,-0.4,3.7,1.8,87,0.003,100,4.17,rain,0,0,22.3,5.7,350.2,1030,8.7,16.2,73.5,6.5,4,,2022-01-01T08:18:18,2022-01-01T16:59:53,0.95,Rain,Clear conditions throughout the day with afternoon rain.,rain,"E5414,06705099999,06702099999,06700099999,06704099999,07490099999,06703099999"
geneve,2022-01-02,9.5,-0.5,4.3,8,-2.2,3.8,1.7,84.4,0,0,0,,0,0,23.1,15.2,269.7,1026.9,18.6,23.3,34.1,3,2,,2022-01-02T08:18:18,2022-01-02T17:00:50,0,Clear,Clear conditions throughout the day.,clear-day,"E5414,06705099999,06702099999,06700099999,06704099999,07490099999"
geneve,2022-01-03,12.5,7.2,9.8,12.5,5.7,8.9,4.1,68.2,0,0,0,,0,0,32,18.6,237.1,1022,23.8,23.6,30.4,2.7,1,,2022-01-03T08:18:16,2022-01-03T17:01:49,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06705099999,06702099999,06700099999,06704099999,07490099999"
geneve,2022-01-04,15.7,8.2,11.6,15.7,5.7,10.7,4.4,62.2,3.851,100,41.67,rain,0,0,66.9,44.3,233.4,1006.8,25.9,38.8,28.6,2.5,2,,2022-01-04T08:18:10,2022-01-04T17:02:49,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E5414,06705099999,06702099999,06700099999,06704099999,07490099999"
geneve,2022-01-05,7.3,1.1,3.4,6.6,-2.2,0.1,-2.4,67.2,7.527,100,45.83,rain,0,0,42,25.8,351.7,1012.6,18.7,36.7,56.5,5,4,,2022-01-05T08:18:02,2022-01-05T17:03:52,0.09,Rain,Clear conditions throughout the day with rain clearing later.,rain,"E5414,06705099999,06702099999,06700099999,06704099999,07490099999"
geneve,2022-01-06,5,-1.5,2,0.8,-3.8,-1.5,-3.6,66.9,0,0,0,,0,0,42.2,23.9,30.9,1020.2,6.3,52.5,76.9,6.7,4,,2022-01-06T08:17:51,2022-01-06T17:04:57,0.12,Clear,Clear conditions throughout the day.,clear-day,"E5414,06705099999,06702099999,06700099999,06704099999,07490099999"
geneve,2022-01-07,2.1,-2,-0.1,0.8,-3.4,-1.7,-2.7,82.8,0.191,100,33.33,"rain,snow",1.2,0.4,34,13.8,261.5,1023.5,26.7,20.1,28,2.5,1,,2022-01-07T08:17:38,2022-01-07T17:06:03,0.15,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"E5414,06705099999,06702099999,06700099999,06704099999,07490099999,06703099999"
geneve,2022-01-08,3.7,-0.1,1.6,2.7,-5.2,-1.7,0.1,90,5.574,100,70.83,"rain,snow",0.7,1.5,65.5,21.3,247.8,1018.1,81.2,8.6,24.8,2.2,2,,2022-01-08T08:17:22,2022-01-08T17:07:11,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"E5414,06705099999,LSGG,07491099999,06702099999,06700099999,06704099999,07490099999,06703099999"
geneve,2022-01-09,4.8,1.8,3,1.8,-3.5,-0.5,1,86.9,7.362,100,100,"rain,snow",0,0.1,87.6,30.5,231.8,1009.7,85.3,10.2,10,0.7,1,,2022-01-09T08:17:03,2022-01-09T17:08:21,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"C5329,E5414,06705099999,LSGG,07491099999,06702099999,06700099999,06704099999,07490099999,06703099999"
geneve,2022-01-10,4.7,-0.1,2.2,1.8,-3.9,-0.8,-1.3,79.3,0.05,100,16.67,"rain,snow",0,0,73.3,32.4,24.9,1018.2,48,10.1,138.8,12.1,7,10,2022-01-10T08:16:41,2022-01-10T17:09:32,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"E5414,06705099999,06702099999,06700099999,06704099999,07490099999,06703099999"
geneve,2022-01-11,3.7,1.7,2.4,-0.8,-4.1,-2.7,-2.5,69.9,0.002,100,8.33,snow,0,0,77.5,30.5,37.2,1028.6,87.6,10.4,77.9,7,4,10,2022-01-11T08:16:17,2022-01-11T17:10:45,0.29,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,rain,"E5414,06705099999,06702099999,06700099999,06704099999,07490099999,06703099999"
geneve,2022-01-12,1.9,-0.9,0.9,-0.9,-6.3,-3.8,-4.4,67.9,0,0,0,,0,0,70.9,26.6,39.3,1035.5,58.7,10.1,89.3,7.8,4,10,2022-01-12T08:15:50,2022-01-12T17:11:59,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06705099999,06702099999,06700099999,06704099999,07490099999,06703099999"
geneve,2022-01-13,1.9,-3.7,-0.4,0.5,-5.4,-3.3,-4.4,74.7,0,0,0,,0,0,66.4,18.9,34.3,1039.7,46.9,9.9,85.3,7.4,4,10,2022-01-13T08:15:21,2022-01-13T17:13:15,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06705099999,06702099999,06700099999,06704099999,07490099999,06703099999"
geneve,2022-01-14,3.1,-5.6,-2,1.9,-5.6,-2.3,-4.6,82.7,0,0,0,,0,0,29.1,8.9,345.5,1037.7,7.7,8.4,89.6,7.7,4,10,2022-01-14T08:14:49,2022-01-14T17:14:32,0.38,Clear,Clear conditions throughout the day.,clear-day,"E5414,06705099999,06702099999,06700099999,06704099999,07490099999,06703099999"
geneve,2022-01-15,1.2,-4.7,-1.3,1.2,-4.7,-1.4,-2.8,89.5,0.003,100,4.17,"rain,snow",0,0,32.2,5.7,297.6,1030.1,71.6,2.9,83,7.4,4,10,2022-01-15T08:14:14,2022-01-15T17:15:50,0.42,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"E5414,06705099999,06702099999,06700099999,06704099999,07490099999,06703099999"
geneve,2022-01-16,4.9,-3.1,-1,4.9,-5,-1.6,-2.4,90.8,0,0,0,,0,0,32.5,7.8,330,1031.6,17.1,3.7,87,7.8,4,10,2022-01-16T08:13:37,2022-01-16T17:17:09,0.45,Clear,Clear conditions throughout the day.,clear-day,"E5414,06705099999,06702099999,06700099999,06704099999,07490099999,06703099999"
geneve,2022-01-17,5.8,-4.8,-0.1,4.9,-6.3,-1,-2.3,85.7,0,0,0,,0,0,33.3,15.7,5.5,1036.3,19.5,5.5,84.6,7.5,4,10,2022-01-17T08:12:58,2022-01-17T17:18:30,0.48,Clear,Clear conditions throughout the day.,clear-day,"E5414,06705099999,LSGG,07491099999,06702099999,06700099999,06704099999,07490099999,06703099999"
geneve,2022-01-18,5.8,1.8,3.7,2.8,-1.5,0.8,-0.7,73.1,0,0,0,,0,0,72.1,18.2,37.7,1034.5,63.8,10,64.2,5.7,4,10,2022-01-18T08:12:16,2022-01-18T17:19:51,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C5329,E5414,06705099999,06702099999,06700099999,06704099999,07490099999,06703099999"
