name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
guiyang,2022-01-01,10.6,3.8,6.7,10.6,1.3,5.1,4.8,87.8,0,0,0,,,,20.9,15.1,1.8,1029.6,77.9,22.4,92.9,8.2,4,,2022-01-01T07:15:47,2022-01-01T17:49:28,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"57972099999,remote"
guiyang,2022-01-02,16.5,3.5,8.8,16.5,0.5,7.7,4.8,78.2,0,0,0,,,,20.2,12.2,9.9,1026.9,36.3,23.4,179.6,15.6,7,,2022-01-02T07:16:03,2022-01-02T17:50:08,0.98,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"57972099999,remote"
guiyang,2022-01-03,19.6,5.7,12.4,19.6,4.8,12.4,7.6,73.5,0,0,0,,,,20.2,10.8,53.3,1022.8,46.7,28,140.2,12.1,6,,2022-01-03T07:16:18,2022-01-03T17:50:49,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"57972099999,remote"
guiyang,2022-01-04,21.2,9.9,15,21.2,9.6,15,10.2,74.7,0,0,0,,,,44.3,27.4,169.6,1019.5,23.7,30,168.1,14.4,7,,2022-01-04T07:16:32,2022-01-04T17:51:31,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"57972099999,remote"
guiyang,2022-01-05,13.3,6.1,9.9,13.3,3,8.8,8.2,89.7,4.8,100,8.33,rain,,0,44.3,20.2,355,1022.3,54.3,2.4,102.2,8.8,3,,2022-01-05T07:16:45,2022-01-05T17:52:13,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"57972099999,remote"
guiyang,2022-01-06,17.1,4.2,8,17.1,0.4,5.7,6.1,89.1,1.5,100,16.67,rain,,0,31,21.6,8,1027.5,62.2,0.1,140.7,12.2,6,,2022-01-06T07:16:56,2022-01-06T17:52:55,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"57972099999,remote"
guiyang,2022-01-07,7.3,3.6,5,5.2,-0.3,2.1,3.9,92.7,1.8,100,12.5,rain,,0,27.4,18.7,5,1029.1,91.2,2.6,71.5,6.1,3,,2022-01-07T07:17:05,2022-01-07T17:53:38,0.14,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"57972099999,remote"
guiyang,2022-01-08,10.1,4.7,6,10.1,1.7,3.7,4.9,92.9,6.3,100,20.83,rain,,0.3,23,13.7,4.9,1026.2,79.5,0.3,89.9,7.7,4,,2022-01-08T07:17:13,2022-01-08T17:54:22,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"57972099999,remote"
guiyang,2022-01-09,9.8,3.9,5.8,7.7,0.4,3.4,4.5,92,1.2,100,12.5,rain,,0,23,15.8,8.4,1024.1,81.4,1.3,89.8,7.8,4,,2022-01-09T07:17:20,2022-01-09T17:55:06,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"57972099999,remote"
guiyang,2022-01-10,11.6,4.8,6.9,11.6,2.5,5.5,5.8,93.4,10.3,100,20.83,rain,0,0.3,32,20.5,3.6,1024,74.2,2.4,62.2,5.4,3,10,2022-01-10T07:17:25,2022-01-10T17:55:51,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"57972099999,remote"
guiyang,2022-01-11,8.6,5.2,6.5,7.1,1.7,5,4.2,85.6,0.2,100,4.17,rain,0,0,32,17.3,10.6,1026.8,78.9,19.2,84.3,7.4,6,10,2022-01-11T07:17:29,2022-01-11T17:56:35,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"57972099999,remote"
guiyang,2022-01-12,13.3,3.6,7.7,13.3,3.6,7.2,4,79,0,0,0,,0,0,23,11.9,356.3,1023.8,36.2,24.2,179.2,15.7,6,10,2022-01-12T07:17:31,2022-01-12T17:57:20,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"57972099999,remote"
guiyang,2022-01-13,11.6,6.2,8.5,11.6,3.8,7.6,3,69.5,0,0,0,,0,0,25.9,14,10.4,1026.4,63.8,24.4,128.6,11.1,6,10,2022-01-13T07:17:32,2022-01-13T17:58:06,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"57972099999,remote"
guiyang,2022-01-14,11,5.2,7.7,11,3,7.3,4.2,78.4,0.2,100,8.33,rain,0,0,25.9,9.7,7.5,1022.3,96,21.4,45.9,4,3,10,2022-01-14T07:17:31,2022-01-14T17:58:52,0.37,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"57972099999,remote"
guiyang,2022-01-15,10.3,4.2,6.8,10.3,1.4,5.4,5.7,92.4,0.2,100,8.33,rain,0,0,19.4,11.2,20.3,1022.9,97.2,13.5,32.6,2.8,2,10,2022-01-15T07:17:29,2022-01-15T17:59:37,0.41,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"57972099999,remote"
guiyang,2022-01-16,6.9,4.7,5.8,5.2,1.5,4.1,5.2,95.8,21,100,25,rain,0,0.1,20.2,13.7,15.6,1025.8,99.9,3.7,15.2,1.3,2,10,2022-01-16T07:17:25,2022-01-16T18:00:24,0.44,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"57972099999,remote"
guiyang,2022-01-17,6.9,5.2,6.2,6.7,3.8,5.4,5.6,96,17.5,100,16.67,rain,0,0.1,22.7,14.4,12.2,1027,100,4.9,24.6,2.1,3,10,2022-01-17T07:17:20,2022-01-17T18:01:10,0.47,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"57972099999,remote"
guiyang,2022-01-18,8.5,6.5,7.4,8,5.3,6.9,6.7,95.3,4.5,100,12.5,rain,0,0,21.6,13,11.4,1025.8,100,5.6,33.8,2.9,3,10,2022-01-18T07:17:13,2022-01-18T18:01:56,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"57972099999,remote"
guiyang,2022-01-19,11.5,7.2,8.9,11.5,7.2,8.7,6.6,85.8,0,0,0,,0,0,16.6,8.3,43.5,1023.3,94.1,21.2,104.3,9.2,6,10,2022-01-19T07:17:05,2022-01-19T18:02:42,0.54,Overcast,Cloudy skies throughout the day.,cloudy,"57972099999,remote"
guiyang,2022-01-20,14.2,6.2,10.1,14.2,6.2,10.1,7.1,82.1,0,0,0,,0,0,27.4,14.4,18.2,1020.8,80.8,25.1,136.1,12.1,4,10,2022-01-20T07:16:55,2022-01-20T18:03:29,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"57972099999,remote"
guiyang,2022-01-21,17,8.2,11.7,17,7.2,11.5,9.3,86,0.1,100,4.17,rain,0,0,27.7,19.4,17.3,1018.9,74.3,20.8,151.2,13.4,6,10,2022-01-21T07:16:44,2022-01-21T18:04:15,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"57972099999,remote"
guiyang,2022-01-22,16.1,8.1,11.7,16.1,5.4,11.4,10.7,94.1,5.2,100,16.67,rain,0,0,32.8,18,27.9,1015,93.4,12.8,102.4,8.8,5,10,2022-01-22T07:16:31,2022-01-22T18:05:01,0.65,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"57972099999,remote"
guiyang,2022-01-23,9.3,3.1,5.5,7.7,-1,2.8,4.6,94,3.8,100,12.5,rain,0,0,31.3,18.4,20.2,1018.7,98.8,5.2,57.1,4.9,3,10,2022-01-23T07:16:17,2022-01-23T18:05:48,0.68,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"57972099999,remote"
guiyang,2022-01-24,3.7,2.2,3.1,1.3,-1.8,0.4,2.3,94.4,10.7,100,20.83,rain,0,0.1,30.6,15.5,13.8,1022.7,99.5,7.5,32.8,2.9,4,10,2022-01-24T07:16:02,2022-01-24T18:06:34,0.72,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"57972099999,remote"
guiyang,2022-01-25,6,2.6,3.7,3.9,0.4,1.8,2.9,94.3,1.1,100,16.67,rain,0,0,25.6,11.5,18.8,1022.5,98.7,4.9,61.3,5.5,5,10,2022-01-25T07:15:44,2022-01-25T18:07:20,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"57972099999,remote"
guiyang,2022-01-26,13.7,3.6,6.5,13.7,0.7,5.3,5.4,92.8,1.1,100,12.5,rain,0,0,22.3,11.9,12.9,1020.1,82.2,9.1,135,11.7,5,10,2022-01-26T07:15:26,2022-01-26T18:08:06,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"57972099999,remote"
guiyang,2022-01-27,5.8,2.5,3.8,3.7,-1.6,0.8,3,95,2,100,16.67,rain,0,0,27.7,18,12.5,1023.8,100,4.6,35.1,3.1,4,10,2022-01-27T07:15:06,2022-01-27T18:08:51,0.82,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"57972099999,remote"
guiyang,2022-01-28,2.6,1.1,2,-0.4,-2.5,-1.3,1.2,94.6,2.2,100,16.67,"rain,snow",0,0,29.9,16.9,12.6,1025.1,100,5.2,32.1,2.8,3,10,2022-01-28T07:14:45,2022-01-28T18:09:37,0.86,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"57972099999,remote"
guiyang,2022-01-29,1.4,0.2,0.8,-1.4,-4.8,-2.5,-0.2,93.2,6.1,100,16.67,"rain,snow,ice",0.3,0.2,30.2,18.4,13.8,1024.7,99.6,7.7,26.5,2.4,2,10,2022-01-29T07:14:22,2022-01-29T18:10:22,0.89,"Snow, Rain, Ice, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"57972099999,remote"
guiyang,2022-01-30,3.9,0.1,1.6,1.2,-4.2,-1.5,-0.2,88,1.8,100,12.5,"rain,snow",0,0.2,32.8,16.2,18.8,1026.3,93,15.6,103.8,9.2,7,10,2022-01-30T07:13:58,2022-01-30T18:11:07,0.93,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"57972099999,remote"
