name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
halifax,2022-01-01,7.1,3.8,5.1,5.5,2.4,3.4,4.9,98.8,10.762,100,41.67,rain,0,0,36.6,14,151.5,1014.7,95.6,,14,1.2,1,,2022-01-01T07:51:27,2022-01-01T16:44:40,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"71326099999,71264099999,71601599999,71325099999,71327099999,71324099999,D0920"
halifax,2022-01-02,8.2,0.8,5.9,7.7,-3.6,4.2,5.6,98.1,14.493,100,58.33,"rain,snow",0,0,39.3,16,346.1,1000.3,99.8,,16,1.3,1,,2022-01-02T07:51:28,2022-01-02T16:45:36,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"71326099999,71264099999,71601599999,71325099999,71327099999,71324099999,D0920"
halifax,2022-01-03,0.5,-6.9,-4.1,-4.1,-12.3,-9,-7.6,76.7,0,0,0,,0,0,37.2,21.2,348.3,1015.5,83.8,,23.9,2,1,,2022-01-03T07:51:27,2022-01-03T16:46:33,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"AS082,71326099999,71264099999,71601599999,71325099999,71327099999,71324099999,D0920"
halifax,2022-01-04,-5.7,-8,-6.7,-11.7,-15.5,-13.3,-10.8,72.9,0,0,0,,0,0,41.1,26.6,327.1,1020.1,44,24,25.3,2,1,,2022-01-04T07:51:23,2022-01-04T16:47:32,0.06,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"AS082,71326099999,71264099999,71601599999,71395099999,71325099999,71327099999,71324099999,D0920"
halifax,2022-01-05,8.3,-5.5,2.3,4.4,-12,-2.4,-0.7,80.6,0.043,100,8.33,"rain,snow",0,0,53.4,40.2,192.3,1022.5,86.5,22.6,20.3,1.7,1,,2022-01-05T07:51:17,2022-01-05T16:48:33,0.1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"71326099999,71264099999,71601599999,71395099999,71328099999,71591099999,71325099999,71324099999,44258_maritime,D0920"
halifax,2022-01-06,10.1,0.1,5.9,10.1,-3.5,2.4,3.8,86.4,25.371,100,41.67,rain,0,0,70.4,41.5,226.2,1004.2,65.7,15.5,22,1.8,1,,2022-01-06T07:51:08,2022-01-06T16:49:35,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"71326099999,71264099999,71601599999,71395099999,71328099999,71325099999,71324099999,D0920"
halifax,2022-01-07,2.1,-0.9,0.4,-1.7,-7.8,-4.9,-1.3,88.1,0,0,0,,0.7,0.2,,62.3,70.2,1003,85,12.2,4.3,0.3,0,,2022-01-07T07:50:56,2022-01-07T16:50:39,0.16,Partially cloudy,Partly cloudy throughout the day.,snow,"71395099999,remote,D0920"
halifax,2022-01-08,0.1,-8.6,-5.3,-8.2,-16.5,-12,-8.9,75.9,3.938,100,4.17,snow,0.5,1.1,53.8,57.6,310.3,1016.9,44.9,8.8,25.4,2.1,1,,2022-01-08T07:50:42,2022-01-08T16:51:45,0.19,"Snow, Partially cloudy",Clearing in the afternoon with morning snow.,snow,"71326099999,71264099999,71601599999,71395099999,71328099999,71325099999,remote,71324099999,71327099999,D0920"
halifax,2022-01-09,6.5,-9.6,-0.8,1.8,-11.6,-3.7,-3.3,83.4,3.531,100,41.67,"rain,snow",0,0.9,59.7,35.4,212.2,1022.9,84.9,14,19.5,1.7,1,,2022-01-09T07:50:26,2022-01-09T16:52:52,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"71326099999,71264099999,71601599999,71395099999,71325099999,71327099999,71324099999,D0920"
halifax,2022-01-10,6.5,-8.9,-0.6,2.9,-15.4,-5.9,-6,68.7,1.388,100,25,"rain,snow",0,0.8,52.1,29.2,291.7,1007,88.8,28.7,21.6,2.3,1,10,2022-01-10T07:50:06,2022-01-10T16:54:01,0.26,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"71326099999,71264099999,71601599999,71325099999,71327099999,71324099999,D0920"
