name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Hamburg, Deutschland",2022-01-01,12.8,10.7,11.9,12.8,10.7,11.9,10.2,89.5,0.11,100,16.67,rain,0,0,,26.3,237.4,1019.8,98,15.4,6.5,0.5,0,,2022-01-01T08:36:32,2022-01-01T16:10:53,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"E9645,05280,C7997,01981,00760,04857,remote,01975,04039"
"Hamburg, Deutschland",2022-01-02,12.4,9.5,11,12.4,7.4,10.8,8.9,87,15.685,100,66.67,rain,0,0,,36.1,233.1,1009.3,86.7,26.7,3.7,0.2,0,,2022-01-02T08:36:20,2022-01-02T16:12:02,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"05280,C7997,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-03,9.8,7.7,8.5,7.9,4.4,5.6,6.5,87.4,14.582,100,83.33,rain,0,0,,26,243.3,1003.6,63,18.6,11.5,1,1,,2022-01-03T08:36:05,2022-01-03T16:13:13,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"05280,C3276,C7997,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-04,7.8,2.4,5.9,5.4,-1.3,2.9,4.2,88.9,2.135,100,45.83,rain,0,0,,24.1,237.9,994.7,79.9,25.9,9.5,0.7,1,,2022-01-04T08:35:47,2022-01-04T16:14:28,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"05280,C7997,01981,00760,04857,C7204,01975,04039"
"Hamburg, Deutschland",2022-01-05,5.1,2,3.2,1.6,-3,-1.3,1,85.4,2.613,100,45.83,rain,0,0,,31.4,250.9,996.2,37.6,27.3,7.8,0.7,0,,2022-01-05T08:35:24,2022-01-05T16:15:45,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"05280,C7997,01981,00760,04857,C7204,01975,04039"
"Hamburg, Deutschland",2022-01-06,4.4,-1.6,1.3,2,-4.9,-1.2,-1.4,82.6,0.04,100,8.33,"rain,snow",0,0,,18.9,255.1,1014.2,20.5,37.6,17.4,1.5,1,,2022-01-06T08:34:58,2022-01-06T16:17:05,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"05280,C3276,C7997,01981,00760,04857,C7204,01975,04039"
"Hamburg, Deutschland",2022-01-07,3.8,1.5,2.6,-0.2,-3.9,-2.1,1,89.5,1.246,100,33.33,"rain,snow",0,0,,26.8,208.8,1009.6,83,13.1,7.2,0.7,1,,2022-01-07T08:34:29,2022-01-07T16:18:27,0.15,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"05280,C7997,C3276,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-08,4.1,1.4,2.4,0.1,-3.9,-2.1,0.1,85.2,0.13,100,8.33,"rain,snow",0,0,,28.6,203.8,1004.7,77.5,23.3,17.2,1.6,1,,2022-01-08T08:33:56,2022-01-08T16:19:52,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"05280,C3276,C7997,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-09,4.8,1.5,3.2,3.8,-3.5,-0.3,2.1,92.1,4.929,100,91.67,"rain,snow",0,0,,24.5,160.3,995.3,98.3,16.3,6.6,0.6,0,,2022-01-09T08:33:20,2022-01-09T16:21:20,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"05280,C7997,C3276,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-10,4.3,2.6,3.5,3.8,0.5,2.3,2.4,92.7,0.364,100,33.33,rain,0,0,9,12.4,65.5,1019.4,90.6,10.2,10.1,0.9,1,10,2022-01-10T08:32:40,2022-01-10T16:22:50,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"05280,C7997,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-11,4.2,2.8,3.4,1.7,-1,0,1.8,89.5,0,0,0,,0,0,34.2,19,167.3,1032.9,56.3,13.9,21.8,1.8,1,10,2022-01-11T08:31:57,2022-01-11T16:24:22,0.29,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"05280,C7997,C3276,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-12,6.1,2.8,4.3,3.3,-0.1,1.4,3,91.5,0.006,100,4.17,rain,0,0,45,16.6,256.3,1035.8,64.9,9.8,21.1,1.9,1,10,2022-01-12T08:31:10,2022-01-12T16:25:56,0.32,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"05280,C7997,01981,00760,04857,C7204,01975,04039"
"Hamburg, Deutschland",2022-01-13,7.1,4.6,6,3.5,0.8,2.2,4.8,92.5,0,0,0,rain,0,0,55.1,26.7,266.1,1034.8,48.1,12.5,11.7,1.1,0,10,2022-01-13T08:30:21,2022-01-13T16:27:32,0.35,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"05280,C7997,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-14,7.6,1.3,5.9,4.5,1.3,3,4.6,92,0.203,100,20.83,rain,0,0,45,26,278,1031.1,66.8,15.8,11.6,1,1,10,2022-01-14T08:29:28,2022-01-14T16:29:10,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"05280,C7997,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-15,6.2,1.1,3.2,4.7,-0.2,2.3,1.8,91.5,0,0,0,,0,0,11.2,14.3,213.5,1028.7,59.3,16.9,25.6,2.4,1,10,2022-01-15T08:28:32,2022-01-15T16:30:50,0.42,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"05280,C7997,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-16,6.4,2.4,4,2.9,-2.1,0.3,2.9,92.2,0.92,100,37.5,rain,0,0,47.2,24.9,244.9,1019.6,99.1,9.7,4.7,0.3,0,10,2022-01-16T08:27:32,2022-01-16T16:32:31,0.45,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"05280,C7997,01981,00760,04857,C7204,01975,04039"
"Hamburg, Deutschland",2022-01-17,7.6,3.1,5.8,3,-0.4,1.5,2.2,77.8,0.937,100,33.33,rain,0,0,71.3,46.2,293.9,1024.4,60.2,23,15.3,1.3,1,10,2022-01-17T08:26:30,2022-01-17T16:34:15,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"05280,C7997,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-18,7.2,4.8,6,5.2,2,3.4,3.8,86.1,0.061,100,12.5,rain,0,0,38.9,23.2,276.2,1035,75.7,28.4,14.7,1.2,1,10,2022-01-18T08:25:25,2022-01-18T16:36:00,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"05280,C7997,01981,00760,04857,D0281,01975,04039"
"Hamburg, Deutschland",2022-01-19,5.5,3.6,4.3,1.9,-1.5,0.1,2.4,87.7,1.48,100,25,rain,0,0,61.6,32.9,240.6,1021.2,97.3,11.2,11.5,1.1,0,10,2022-01-19T08:24:17,2022-01-19T16:37:46,0.55,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"05280,C3276,C7997,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-20,3.5,-1.3,1.6,-0.8,-5.4,-3.4,-3.6,68.8,1.182,100,29.17,"rain,snow",0.1,0,64.4,39.6,307.3,1018.6,41.7,31.6,27.2,2.4,2,10,2022-01-20T08:23:06,2022-01-20T16:39:34,0.59,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"05280,C7997,C3276,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-21,6.1,-1.4,2.4,2.5,-6.6,-1.6,-0.9,79.5,0.968,100,25,rain,0,0,45,21.7,285.4,1026.3,45.6,31.6,30.6,2.6,2,10,2022-01-21T08:21:52,2022-01-21T16:41:23,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"05280,C7997,C3276,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-22,6.9,5.4,5.9,4,2.2,3.1,5.3,95.7,0.688,100,66.67,rain,0,0,43.2,20.1,296.2,1028.4,97.5,13.8,14,1.1,1,10,2022-01-22T08:20:36,2022-01-22T16:43:13,0.66,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"05280,C3276,C7997,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-23,7.7,4.9,6.2,5,2.4,3.7,5.3,93.7,1.025,100,45.83,rain,0,0,35.6,20.4,292.9,1033.5,77.7,19.8,18.3,1.6,1,10,2022-01-23T08:19:17,2022-01-23T16:45:04,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"05280,C7997,C3276,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-24,5.1,4.1,4.7,5,1.3,2.3,2.3,84.7,0,0,0,,0,0,24.5,16.8,249,1034.5,61.6,12.9,9.5,0.9,0,10,2022-01-24T08:17:55,2022-01-24T16:46:56,0.73,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"05280,C7997,01981,00760,04857,C7204,01975,04039"
"Hamburg, Deutschland",2022-01-25,5.3,3.6,4.3,2.6,1.2,1.8,3,91.4,0.284,100,45.83,rain,0,0,28.8,13.5,261.7,1032.3,100,5.3,11.2,1,0,10,2022-01-25T08:16:31,2022-01-25T16:48:50,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"05280,C3276,C7997,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-26,4.4,2.6,3.5,1,-1.8,-0.5,2.4,92.7,0.016,100,16.67,rain,0,0,49,22.8,246.7,1027,87.7,5.3,7.4,0.6,0,10,2022-01-26T08:15:04,2022-01-26T16:50:44,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"05280,C3276,C7997,01981,00760,04857,C7204,01975,04039"
"Hamburg, Deutschland",2022-01-27,8.4,4.3,5.8,4.3,-0.4,1.2,3.6,86,3.416,100,70.83,rain,0,0,64.4,41.2,264.2,1015.2,82.7,13.9,19.1,1.7,1,10,2022-01-27T08:13:35,2022-01-27T16:52:39,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"05280,C3276,C7997,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-28,6.9,3.9,5.1,3.3,-0.6,1,0.3,70.9,0.106,100,16.67,rain,0,0,64.4,35.9,292.3,1025.4,65.1,24.2,31.5,2.9,2,10,2022-01-28T08:12:03,2022-01-28T16:54:34,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"05280,C7997,01981,00760,04857,01975,04039"
"Hamburg, Deutschland",2022-01-29,11.1,4.8,7.6,11.1,0.4,4,5,84.1,2.716,100,70.83,rain,0,0,85.7,55,260.5,1014.1,97.9,15.9,5,0.4,0,10,2022-01-29T08:10:30,2022-01-29T16:56:31,0.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"05280,C7997,C3276,01981,00760,04857,C7204,01975,04039"
"Hamburg, Deutschland",2022-01-30,6.8,3.9,5.8,1.6,-0.4,0.6,-0.1,66.1,0.514,100,33.33,rain,0,0,84.2,53.3,296.7,1017,66.2,18.1,31.8,2.8,2,10,2022-01-30T08:08:54,2022-01-30T16:58:27,0.94,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"05280,C7997,C3276,01981,00760,04857,01975,04039"
