name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Ciudad de la Habana, Cuba",2022-01-01,29,17,22.5,29.8,17,22.9,19.4,85.1,0,0,0,,,,,16.6,152.7,1017.4,23.7,9,,,,,2022-01-01T07:10:55,2022-01-01T17:55:30,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-02,30,14,21.3,31.3,14,21.7,18.3,85.8,0,0,0,,,,,16.6,164.7,1017.5,23.5,8.6,,,,,2022-01-02T07:11:12,2022-01-02T17:56:09,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-03,29,18,22.5,31.4,18,22.9,19.8,85.7,0,0,0,,,,,24.1,356.5,1019.4,56.5,8,,,,,2022-01-03T07:11:28,2022-01-03T17:56:48,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-04,23,18,20.9,23,18,20.9,18,84.4,1,100,4.17,rain,,,,18.4,28.8,1019.6,81,8.5,,,,,2022-01-04T07:11:43,2022-01-04T17:57:28,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-05,26,13,20.2,26,13,20.2,17.8,87.5,0,0,0,,,,,14.8,16.2,1016.4,38.6,9,,,,,2022-01-05T07:11:56,2022-01-05T17:58:09,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-06,28,16,21.2,29.7,16,21.4,17.9,84.2,0,0,0,,,,,13,107.2,1016,45.2,8.6,,,,,2022-01-06T07:12:09,2022-01-06T17:58:50,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-07,29,15,21,29.2,15,21.2,17.4,82.9,0,0,0,,,,,16.6,39,1018.8,20.7,8.6,,,,,2022-01-07T07:12:19,2022-01-07T17:59:31,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-08,30,17,23.1,30.4,17,23.3,19.1,81.2,0,0,0,,,,,22.3,80.7,1022.2,27.4,9,,,,,2022-01-08T07:12:29,2022-01-08T18:00:13,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-09,29,20,23.8,30.3,20,24.1,20.3,82.6,0,0,0,,,,,24.1,86.6,1022.6,43.9,9,,,,,2022-01-09T07:12:37,2022-01-09T18:00:55,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-10,29,18,23.7,30.8,18,24.1,19.8,80.5,0,0,0,rain,,,28.1,20.5,40.8,1020.7,48.1,8.9,259.4,13.1,7,30,2022-01-10T07:12:44,2022-01-10T18:01:37,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-11,27,19,23.3,28.5,19,23.3,19.5,80.2,0,0,0,rain,,,32.4,33.5,40.6,1020.8,49,9,116.4,8.3,4,30,2022-01-11T07:12:49,2022-01-11T18:02:20,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-12,26,18,21.9,26,18,21.9,19.5,87.7,9,100,8.33,rain,,,24.1,22.3,47.8,1018.7,49.7,8.8,196.5,14.1,7,10,2022-01-12T07:12:53,2022-01-12T18:03:02,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-13,25,18,21,25,18,21,17.8,83.2,2,100,4.17,rain,,,29.2,22.3,321,1016,49.5,9.5,179,12.9,6,10,2022-01-13T07:12:56,2022-01-13T18:03:45,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-14,25,13,19.7,25,13,19.7,14,72.3,0,0,0,rain,,,33.1,24.1,331.9,1015.9,55.8,8.9,185.1,13.3,7,10,2022-01-14T07:12:57,2022-01-14T18:04:28,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-15,27,10,18,27,10,18,12.3,74,0,0,0,,0,,23,16.6,194.9,1016.3,36.9,9,206.7,14.8,7,10,2022-01-15T07:12:57,2022-01-15T18:05:11,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MUHA,78224099999"
"Ciudad de la Habana, Cuba",2022-01-16,27,17,20.5,28.5,17,20.5,18.2,87.6,22,100,8.33,rain,0,,56.9,33.5,218,1013.8,50,8.4,83.5,6,4,30,2022-01-16T07:12:55,2022-01-16T18:05:54,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MUHA,78224099999"
