name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
helsinki,2022-01-01,-0.9,-9.1,-4.5,-3.4,-15.3,-10,-6.7,85.1,0.252,100,12.5,"rain,snow",5.8,3.6,43.3,21.5,330,1011.5,39.8,40,38.9,0.9,1,,2022-01-01T09:24:14,2022-01-01T15:23:40,0.95,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,snow,"02985199999,02998099999,02983099999,02759099999,AV139,02978099999,02974099999"
helsinki,2022-01-02,-2.4,-9.8,-5.2,-7.5,-15.3,-9.9,-6.6,90.1,1.253,100,50,snow,2.4,6.6,46.6,26.2,163,1010.1,86.9,21.3,6.8,0,0,,2022-01-02T09:23:42,2022-01-02T15:25:09,0,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"02985199999,02998099999,AV139,02978099999,02974099999"
helsinki,2022-01-03,-1.2,-3,-1.9,-5.1,-7.5,-6.2,-2.3,96.5,1.815,100,66.67,"rain,snow",1.4,9.4,25.2,17.6,110.6,993.6,92.1,4.1,6.6,0,0,,2022-01-03T09:23:04,2022-01-03T15:26:43,0.02,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"02985199999,D8937,02998099999,EFHK,AV139,02978099999,02974099999"
helsinki,2022-01-04,2.3,-2,0.5,-1.5,-6.6,-3.8,-0.1,96.1,5.881,100,58.33,"rain,snow",0,7.8,32.5,24.6,154.4,988.3,71.8,14.5,9.8,0.2,0,,2022-01-04T09:22:22,2022-01-04T15:28:22,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"02985199999,D8937,02998099999,EFHK,AV139,02978099999,02974099999"
helsinki,2022-01-05,0.6,-0.7,0.2,0,-4.5,-2.5,-0.4,96.6,6.979,100,50,"rain,snow",0,1.5,21.6,14.4,160.4,985.7,91,13.4,9.8,0.1,0,,2022-01-05T09:21:35,2022-01-05T15:30:04,0.09,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"02985199999,02998099999,AV139,02978099999,02974099999"
helsinki,2022-01-06,-1.2,-8.4,-5.8,-5.2,-15.9,-12.1,-7.1,90.3,1.375,100,25,"rain,snow",0,1,50.4,27.3,318.2,994.2,50.6,21.5,12.7,0.3,0,,2022-01-06T09:20:42,2022-01-06T15:31:51,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"02985199999,02998099999,D2819,AV139,02978099999,02974099999"
helsinki,2022-01-07,-5.9,-9,-7.7,-12.1,-16.7,-14.4,-10.2,82.7,0,0,0,,0,1,36.1,21.6,297.3,1004.1,58.5,38.6,22.6,0.5,1,,2022-01-07T09:19:45,2022-01-07T15:33:41,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02985199999,02998099999,02983099999,D2819,AV139,02978099999,02974099999"
helsinki,2022-01-08,-2,-13.1,-7.3,-6.2,-16.7,-11.9,-8.5,91.1,3.773,100,37.5,"rain,snow",0,1,36,24.9,103.3,1009.4,67.4,26.3,5.1,0,0,,2022-01-08T09:18:43,2022-01-08T15:35:36,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"02985199999,D8937,02998099999,02983099999,D2819,AV139,02978099999,02974099999"
helsinki,2022-01-09,-1.3,-5.4,-3.7,-4.6,-10.8,-7.9,-4.8,92.4,0.007,100,8.33,"rain,snow",0,1,28.5,14.4,60.8,1007.4,91.1,9.7,6.8,0,0,,2022-01-09T09:17:36,2022-01-09T15:37:34,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"02985199999,D8937,02998099999,02983099999,D2819,AV139,02978099999,02974099999"
helsinki,2022-01-10,-5.5,-15.6,-10.2,-11.1,-20.9,-15.5,-12.2,85.5,0,0,0,,0,1,28.7,14.6,19.3,1027.2,32.3,31.4,17.4,0.7,1,10,2022-01-10T09:16:25,2022-01-10T15:39:35,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"02985199999,02998099999,02983099999,D2819,AV139,02978099999,02974099999"
