name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
honolulu,2022-01-01,24.8,19.5,22.2,24.8,19.5,22.2,20,87.2,80.461,100,75,rain,0,0,51.8,26.1,156.4,1010.8,83.1,14.5,40.5,3.5,2,,2022-01-01T07:09:20,2022-01-01T18:01:12,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-02,22.2,19.3,20.6,22.2,19.3,20.6,18.5,87.7,37.753,100,54.17,rain,0,0,49.8,20.2,342.9,1011.7,68.6,14.9,44.6,3.8,2,,2022-01-02T07:09:38,2022-01-02T18:01:50,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-03,24.2,19.1,21.4,24.2,19.1,21.4,18.9,86,11.91,100,33.33,rain,0,0,47.9,14.8,93.7,1012.4,57.1,15.3,93.2,8,5,,2022-01-03T07:09:55,2022-01-03T18:02:28,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-04,25.3,19.5,22.5,25.3,19.5,22.5,19.4,83.2,6.101,100,45.83,rain,0,0,40.7,30.7,216.1,1013.1,79.3,15.8,83.1,7.2,5,,2022-01-04T07:10:10,2022-01-04T18:03:07,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,SCBH1,OFRH1,SCEH1"
honolulu,2022-01-05,25.9,20.3,23,25.9,20.3,23,19.5,81.1,3.98,100,8.33,rain,0,0,,15.9,287.1,1015.6,53.1,15.9,126.8,10.9,5,,2022-01-05T07:10:25,2022-01-05T18:03:47,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-06,26.1,19.2,22.8,26.1,19.2,22.8,18.6,77.6,1.716,100,12.5,rain,0,0,,17.3,295.9,1015.1,33.6,16,211.7,18.1,8,,2022-01-06T07:10:38,2022-01-06T18:04:26,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-07,26.9,19.3,22.8,28.6,19.3,22.8,18.3,76.5,0,0,0,,0,0,,22.1,277.8,1013.6,32.1,16,133,11.6,6,,2022-01-07T07:10:50,2022-01-07T18:05:06,0.17,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-08,26.4,17.8,22.3,26.4,17.8,22.3,17.5,75.3,0,0,0,,0,0,,19.1,276.9,1013.4,43.2,16,128.3,10.9,7,,2022-01-08T07:11:01,2022-01-08T18:05:47,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-09,25.8,18.8,22.7,25.8,18.8,22.7,17.9,74.8,0,0,0,,0,0,,14.5,215,1013.6,32.8,16,198.4,16.9,8,,2022-01-09T07:11:10,2022-01-09T18:06:27,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-10,26.4,18.9,22.8,26.4,18.9,22.8,18.6,77.4,0,0,0,,0,0,25.6,18.6,227.3,1015.9,44.5,16,153.5,13.2,6,10,2022-01-10T07:11:18,2022-01-10T18:07:08,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
honolulu,2022-01-11,26.3,19.4,22.7,26.3,19.4,22.7,16.1,67.2,0,0,0,rain,0,0,33.5,22.3,30.7,1018.9,28.5,16,222.6,19.2,8,10,2022-01-11T07:11:25,2022-01-11T18:07:49,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-12,27,18.8,23,28.3,18.8,23,17.9,73.9,1.822,100,16.67,rain,0,0,29.9,16.5,44.6,1018.5,53.4,15.9,157.1,13.5,9,10,2022-01-12T07:11:30,2022-01-12T18:08:30,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-13,26.4,19.2,23.1,26.4,19.2,23.1,18.4,75.6,0,0,0,rain,0,0,18,16,308.6,1017,38.5,16,224.3,19.2,8,10,2022-01-13T07:11:34,2022-01-13T18:09:11,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-14,26,19.9,22.5,26,19.9,22.5,18.8,79.9,4.81,100,25,rain,0,0,17.3,16.6,221.4,1016.5,62.5,15.3,166.4,14.4,8,10,2022-01-14T07:11:37,2022-01-14T18:09:52,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,SCBH1,OFRH1,SCEH1"
honolulu,2022-01-15,25.4,18.5,22.2,25.4,18.5,22.2,18.5,80.4,0,0,0,rain,0,0,13,15.9,250.9,1015.6,34.4,16,149.8,12.9,7,10,2022-01-15T07:11:39,2022-01-15T18:10:33,0.43,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-16,26.4,18.4,22.5,26.4,18.4,22.5,17.3,73.3,0,0,0,rain,0,0,11.2,12.8,164.3,1015,35.6,16,128.1,11.1,5,10,2022-01-16T07:11:39,2022-01-16T18:11:14,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-17,25.4,18.7,22.3,25.4,18.7,22.3,17.5,74.8,0,0,0,rain,0,0,11.2,14.8,117.3,1014.1,13.9,16,215.3,18.7,9,10,2022-01-17T07:11:38,2022-01-17T18:11:55,0.5,Clear,Clear conditions throughout the day.,clear-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-18,26.4,18.8,22.6,26.4,18.8,22.6,17.7,74.7,0,0,0,,0,0,7.2,13,120.8,1013.9,10.3,16,214.4,18.6,9,10,2022-01-18T07:11:35,2022-01-18T18:12:36,0.53,Clear,Clear conditions throughout the day.,clear-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-19,27.6,19.6,23.3,28.7,19.6,23.4,18,72.8,0,0,0,rain,0,0,13,22.3,117.3,1014.4,29.1,16,193.7,16.8,8,10,2022-01-19T07:11:31,2022-01-19T18:13:17,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-20,26.3,19.9,23.2,26.3,19.9,23.2,18.7,75.9,0,0,0,rain,0,0,14,13.8,247.3,1015.6,28.3,16,202.2,17.5,9,10,2022-01-20T07:11:26,2022-01-20T18:13:57,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-21,28.3,20,23.9,29.1,20,24.1,18.1,71.4,0,0,0,rain,0,0,29.2,22.8,7.1,1016.9,31.7,16,231.9,20.1,8,10,2022-01-21T07:11:19,2022-01-21T18:14:38,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-22,27.6,20.4,24.1,28.5,20.4,24.2,17.7,68.4,0,0,0,,0,0,33.5,20.2,57.9,1016.9,41.7,16,164.5,14.3,7,10,2022-01-22T07:11:11,2022-01-22T18:15:18,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-23,27.8,21.6,24.3,28.4,21.6,24.4,17.2,65.1,0,0,0,rain,0,0,37.1,24.5,57.9,1018.1,43,16,189.8,16.4,8,10,2022-01-23T07:11:02,2022-01-23T18:15:58,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-24,26.6,20.1,23.4,26.6,20.1,23.4,15.1,60.4,0,0,0,,0,0,38.5,21.4,41.3,1018.1,31,16,213.4,18.4,9,10,2022-01-24T07:10:52,2022-01-24T18:16:38,0.74,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-25,27.4,21,23.8,28,21,23.8,16.9,66.2,0.044,100,4.17,rain,0,0,38.9,23.1,35.8,1017.5,54.1,15.9,197.8,17.2,8,10,2022-01-25T07:10:40,2022-01-25T18:17:18,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-26,27.8,21.4,23.9,28.2,21.4,24,16.9,66,0.609,100,8.33,rain,0,0,39.2,22.8,65.3,1016.7,47,15.9,135.2,11.7,6,10,2022-01-26T07:10:26,2022-01-26T18:17:57,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-27,26.7,18.6,22.9,27.8,18.6,23,16.9,69.7,0,0,0,rain,0,0,22,15.7,52.4,1017.7,35.3,16,193.3,16.6,8,10,2022-01-27T07:10:12,2022-01-27T18:18:36,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-28,26.8,18.6,23.1,27.8,18.6,23.1,17.5,71.9,0,0,0,rain,0,0,28.4,25,104.7,1018.6,38.3,16,222.8,19.3,8,10,2022-01-28T07:09:56,2022-01-28T18:19:15,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-29,27.1,21.8,24.1,27.7,21.8,24.2,16.6,63.1,0,0,0,rain,0,0,38.2,26.7,89.1,1018.3,35.6,16,230.7,19.9,8,10,2022-01-29T07:09:39,2022-01-29T18:19:53,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-30,26.7,20.2,23.4,27.1,20.2,23.4,15.7,62.6,0,0,0,rain,0,0,35.3,22.1,101.4,1016.9,36.8,16,196,17,7,10,2022-01-30T07:09:20,2022-01-30T18:20:31,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-01-31,26,18.3,22.5,26,18.3,22.5,16.5,69.7,0,0,0,rain,0,0,33.5,23.2,115.9,1015.6,54.4,16,130.5,11.3,6,10,2022-01-31T07:09:01,2022-01-31T18:21:09,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,SCBH1,OFRH1,SCEH1"
honolulu,2022-02-01,28,19.2,23.6,28.2,19.2,23.7,16.8,66.8,0,0,0,rain,0,0,37.1,23.6,63.3,1015.4,36,16,182.9,15.8,9,10,2022-02-01T07:08:40,2022-02-01T18:21:46,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-02-02,26.7,20.6,23.6,27.6,20.6,23.7,17.1,67.4,0,0,0,rain,0,0,28.1,17.3,82.5,1015.6,46.9,16,178.8,15.5,8,10,2022-02-02T07:08:18,2022-02-02T18:22:23,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-02-03,27.5,19.4,23.3,27.2,19.4,23.3,14.7,60.4,0,0,0,,0,0,37.1,20.7,60.9,1016.7,24.8,15.9,236.8,20.3,9,10,2022-02-03T07:07:54,2022-02-03T18:22:59,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-02-04,26.6,17.8,22.3,26.6,17.8,22.3,16.3,69.1,0,0,0,,0,0,13.7,14.9,253.2,1017.8,23.1,16,220.8,19,9,10,2022-02-04T07:07:30,2022-02-04T18:23:35,0.12,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-02-05,28.1,18.7,23.2,28.9,18.7,23.3,17.3,70.3,0,0,0,rain,0,0,34.6,18.7,28,1018,37.1,16,240.3,21.1,9,10,2022-02-05T07:07:04,2022-02-05T18:24:10,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1"
honolulu,2022-02-06,27.8,22.2,24.3,28.2,22.2,24.4,17,63.9,0.073,100,4.17,rain,0,0,43.6,27.7,57.9,1018.1,52.3,16,140.6,12.2,5,10,2022-02-06T07:06:37,2022-02-06T18:24:45,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-02-07,27.5,21.9,24.1,27.9,21.9,24.1,16.3,61.8,0,0,0,rain,0,0,42.5,28.6,62.6,1017.2,54.7,16,110.3,9.4,4,10,2022-02-07T07:06:09,2022-02-07T18:25:20,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-02-08,27.1,21.3,24.1,27.6,21.3,24.2,16.1,61.2,0,0,0,,0,0,34.2,23.9,65.1,1017.2,39.9,16,172.6,15.1,7,10,2022-02-08T07:05:40,2022-02-08T18:25:54,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
honolulu,2022-02-09,26.6,19.9,23.3,26.6,19.9,23.3,16.7,67.1,0,0,0,rain,0,0,33.5,25.5,81.8,1016.6,48.2,16,197.4,17,9,10,2022-02-09T07:05:09,2022-02-09T18:26:27,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"91176022519,PHNL,PHNG,PHJR,91178022551,91182022521,OFRH1,SCEH1"
