name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
indianapolis,2022-01-01,15.8,4.3,9.4,15.8,0.1,7.7,8.3,92.6,13.98,100,83.33,rain,0,0,57.2,22.9,345.8,1004.5,99,9.2,628.4,54.2,7,,2022-01-01T08:05:56,2022-01-01T17:30:49,0.96,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-02,3.6,-4.2,-1.4,-0.2,-9.8,-6.6,-4.3,80.6,0.822,100,20.83,"rain,snow",0,0,33.5,23.2,4.2,1016.7,89.1,14.3,630.5,54.2,7,,2022-01-02T08:06:02,2022-01-02T17:31:40,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-03,-1,-5.7,-3.8,-3.8,-10.2,-7.7,-8.5,70.4,0,0,0,,0,0,,14.5,299.1,1028.2,41,16,622.2,53.6,6,,2022-01-03T08:06:05,2022-01-03T17:32:32,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-04,5.2,-5.4,-0.7,1.5,-10.7,-5.3,-5.7,71,0,0,0,,0,0,42.8,26.4,171,1020,35.7,15.5,617.9,53.3,6,,2022-01-04T08:06:07,2022-01-04T17:33:25,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-05,4.3,-9.4,-1,-1.1,-18.2,-7.8,-6.9,64.5,0,0,0,,0,0,63.6,37.7,252.9,1009.9,64.1,15.9,622.8,53.6,7,,2022-01-05T08:06:07,2022-01-05T17:34:20,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-06,-7.9,-12.2,-9.6,-14.1,-20.8,-17,-14.4,67.7,0,0,0,,0,0,46.2,28.2,284.5,1019.8,84.6,15.6,632.1,55,7,,2022-01-06T08:06:04,2022-01-06T17:35:16,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-07,-7.2,-16,-11.6,-8.5,-24.6,-17.6,-16.1,69.9,0,0,0,,0,0,31.7,22,273.5,1027.7,42.5,15.6,630.3,54.8,6,,2022-01-07T08:05:59,2022-01-07T17:36:14,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-08,3.9,-9.2,-4.1,-0.2,-16.7,-10,-8.9,70.4,1.667,100,29.17,"rain,snow",0,0,39.9,23.5,153.6,1025.2,56.5,15.6,623,53.5,6,,2022-01-08T08:05:52,2022-01-08T17:37:12,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-09,5.8,-7,0.9,3.7,-14.3,-4.2,-3.3,75.3,6.938,100,33.33,rain,0,0,53.5,33.9,292.5,1024.5,67.5,13.1,622.1,53.4,7,,2022-01-09T08:05:42,2022-01-09T17:38:12,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-10,-2.2,-10.4,-6.9,-8.3,-17.2,-13.2,-13.8,58.2,0,0,0,,0,0,39.6,24.7,289,1033.9,33.7,16,628,54.3,7,,2022-01-10T08:05:31,2022-01-10T17:39:13,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-11,0.6,-12,-5.8,-4.8,-17.2,-10.7,-13.9,54.8,0,0,0,,0,0,35.3,24.6,184.2,1032,13.4,16,623.7,53.5,6,,2022-01-11T08:05:17,2022-01-11T17:40:15,0.29,Clear,Clear conditions throughout the day.,clear-day,"0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-12,8.2,0.7,3.8,6.3,-4,0.4,-3.3,60.5,0,0,0,,0,0,50.4,27.3,221.2,1019,56.2,16,613.2,52.9,6,,2022-01-12T08:05:01,2022-01-12T17:41:18,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-13,6.6,-1.3,1.8,3.7,-3,-0.4,-1.6,78.6,0,0,0,,0,0,,19.4,318.2,1012.7,45.2,15.4,615.5,53.1,6,,2022-01-13T08:04:43,2022-01-13T17:42:21,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-14,2.2,-1,0.5,-1.4,-5.4,-3.1,-1.8,84.4,0,0,0,,0.5,0.1,,17.9,54.8,1019.4,97,8.2,619.5,53.2,7,,2022-01-14T08:04:23,2022-01-14T17:43:26,0.39,Overcast,Cloudy skies throughout the day.,snow,"0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-15,0.6,-6.7,-3.5,-4.3,-13,-9.5,-7.7,72.9,0.725,100,12.5,snow,0.3,0.5,37.1,23.4,57.8,1024.2,55.1,13.8,621.7,53.7,6,,2022-01-15T08:04:01,2022-01-15T17:44:31,0.42,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-16,2.4,-8.9,-4.2,-1.1,-14.5,-9.1,-9.2,69.2,0,0,0,,0,0,,19.5,5.2,1013.6,17.6,16,621.8,53.4,6,,2022-01-16T08:03:36,2022-01-16T17:45:38,0.46,Clear,Clear conditions throughout the day.,clear-day,"0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-17,-2.6,-4.8,-3.5,-5.6,-11.7,-9.7,-7.3,75.1,0,0,0,,0,0,46.4,29.2,296.5,1009.9,99.3,14.5,622.3,53.7,7,,2022-01-17T08:03:10,2022-01-17T17:46:45,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-18,6.5,-5.1,0.5,2.5,-8.6,-3.5,-5,67.7,0,0,0,,0,0,37.1,26,189.4,1016.2,69.6,16,618.5,53.2,6,,2022-01-18T08:02:41,2022-01-18T17:47:52,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-19,6.7,-6.4,1.8,2.6,-14,-3.2,-3.6,67.4,0,0,0,,0,0,51.8,30.8,279,1016.6,72.6,16,611.7,50.5,6,,2022-01-19T08:02:10,2022-01-19T17:49:01,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-20,-4.7,-10.3,-7,-10,-17.8,-13.4,-12.7,64.2,0,0,0,,0,0,38.9,22.6,349.6,1031.8,74.3,15.6,626.2,54.7,6,,2022-01-20T08:01:38,2022-01-20T17:50:09,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-21,-3.7,-8.9,-6.7,-3.8,-15.7,-11.2,-14.7,53.4,0,0,0,,0,0,29.5,16.7,75.2,1034.1,57.2,16,626.7,54.3,6,,2022-01-21T08:01:03,2022-01-21T17:51:19,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-22,0,-10.9,-5.8,-5.4,-17,-11,-11.8,64.2,0,0,0,,0,0,41.5,24.1,217.8,1026.8,36.6,16,622.7,53.5,6,,2022-01-22T08:00:26,2022-01-22T17:52:28,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-23,1.4,-5.8,-2.8,-4.3,-9.9,-7.8,-8,67.7,0.279,100,4.17,"rain,snow",0,0,59.6,38.3,278.8,1014.3,88.4,15.1,623.3,53.8,7,,2022-01-23T07:59:47,2022-01-23T17:53:39,0.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-24,3.3,-5.5,-1.8,-0.3,-11.8,-7.1,-6.6,70,0.162,100,4.17,snow,0,0,50,27.3,231.4,1008.9,97.6,15.1,621.8,53.3,7,,2022-01-24T07:59:07,2022-01-24T17:54:49,0.74,"Snow, Overcast",Cloudy skies throughout the day with morning snow.,rain,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-25,-4.4,-12.5,-8.5,-10.7,-19.9,-15.1,-14.8,61.9,0,0,0,,0,0,38.1,22.6,317.1,1023.4,23.6,16,627.5,54.7,7,,2022-01-25T07:58:24,2022-01-25T17:56:00,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-26,-6.4,-17.6,-12.1,-6.4,-24.9,-16.6,-19.2,57.2,0,0,0,,0,0,,19.6,304.7,1031.8,0,16,628.8,54.8,7,,2022-01-26T07:57:40,2022-01-26T17:57:11,0.81,Clear,Clear conditions throughout the day.,clear-day,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-27,-1.1,-11.4,-5.1,-4.4,-16.9,-10.3,-9.8,70.3,0.162,100,4.17,snow,0,0,31.7,21.4,219.4,1024.5,77.9,14.2,622.6,53.4,7,,2022-01-27T07:56:53,2022-01-27T17:58:23,0.84,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-28,-1.2,-13,-5.4,-2.5,-18.6,-10.3,-8.8,77.3,0.324,100,8.33,snow,0.5,0.1,43.2,28.7,355.4,1023.7,77.8,11.3,628.3,54.8,7,,2022-01-28T07:56:05,2022-01-28T17:59:34,0.88,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-29,-3.5,-15.7,-9.4,-7.7,-20.7,-13.4,-15.1,66,0,0,0,,0.3,0.5,,15.9,229.9,1023.5,51.7,16,625.4,54.4,7,,2022-01-29T07:55:15,2022-01-29T18:00:46,0.91,Partially cloudy,Partly cloudy throughout the day.,snow,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-30,2.2,-8.1,-3.4,-2.1,-11.7,-6.9,-9.1,65.2,0,0,0,,0,0,33.5,22.4,299.1,1014.2,20.6,16,619.5,53.3,7,,2022-01-30T07:54:23,2022-01-30T18:01:58,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
indianapolis,2022-01-31,3.6,-8.1,-2,0.7,-10.8,-4.4,-7.8,66.7,0,0,0,,0,0,,17.3,130.5,1020.8,39.1,12.5,617.6,53.2,7,,2022-01-31T07:53:30,2022-01-31T18:03:10,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72435653866,0728W,KEYE,KIND,72438093819,72438453842,72057500173"
