name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
jacksonville,2022-01-01,27.8,18.3,21.9,28.6,18.3,22.1,18.1,80.8,0,0,0,,0,0,35.9,21.3,209,1016.7,42.5,12.5,306,12.3,6,,2022-01-01T07:23:27,2022-01-01T17:37:17,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-02,28.6,19.5,23.3,29.3,19.5,23.4,18.6,76.7,0,0,0,,0,0,52.3,33.3,209.1,1014.6,33.4,15.9,308.5,12.4,6,,2022-01-02T07:23:40,2022-01-02T17:38:01,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-03,22.7,8.1,14.2,22.7,5.8,13.7,7.9,66.5,1.565,100,8.33,rain,0,0,68.4,42.1,281.6,1018.3,40.6,15.7,353.2,14.1,6,,2022-01-03T07:23:52,2022-01-03T17:38:45,0.03,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-04,18.7,7.1,13.5,18.7,5.1,12.8,9.9,79.2,0.145,100,4.17,rain,0,0,43.7,26.6,24.6,1023.6,52.8,15.5,262.5,10.4,6,,2022-01-04T07:24:02,2022-01-04T17:39:30,0.06,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-05,20.1,13.7,16.4,20.1,13.7,16.4,14.3,87.7,0,0,0,,0,0,,20.1,325,1017,94.6,15.1,188.4,7.4,4,,2022-01-05T07:24:10,2022-01-05T17:40:16,0.1,Overcast,Cloudy skies throughout the day.,cloudy,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-06,20.2,8.9,14.5,20.2,8.6,14.4,9.4,74.1,0,0,0,,0,0,31.7,20.1,228.3,1015.5,25.6,14.8,334.5,13.3,6,,2022-01-06T07:24:17,2022-01-06T17:41:02,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-07,17.5,9.6,14.6,17.5,8.2,14.5,6.1,59.4,0,0,0,,0,0,31.7,28.7,335.4,1020.6,36.6,16,354.8,14,6,,2022-01-07T07:24:22,2022-01-07T17:41:50,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-08,22.2,7.8,14.9,22.2,6.8,14.4,10.2,74.3,0,0,0,,0,0,48.1,22.2,47.4,1028.7,34,16,282.9,11.3,6,,2022-01-08T07:24:25,2022-01-08T17:42:38,0.19,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-09,25.8,12.6,19.2,25.8,12.6,19.2,15.1,79.3,0,0,0,,0,0,41.2,26.5,169,1026.3,36,15.7,337.9,13.3,6,,2022-01-09T07:24:26,2022-01-09T17:43:26,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-10,19.9,10.8,16,19.9,10.8,16,13.6,85.8,4.138,100,8.33,rain,0,0,49.5,30.7,357.3,1023.6,78.3,14.8,77.9,4.5,3,10,2022-01-10T07:24:26,2022-01-10T17:44:16,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72206013889,KJAX,72206593837,KNIP,C4952,KCRG,74782053860,1323W"
jacksonville,2022-01-11,15.5,5.7,11.2,15.5,2.1,10.2,5,66.2,0,0,0,,0,0,42.5,25.2,21,1028.6,43.9,16,152,13,6,10,2022-01-11T07:24:25,2022-01-11T17:45:06,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-12,18.6,8.8,13.5,18.6,6.6,13.3,9.7,78.5,0,0,0,,0,0,38.9,21,20.3,1024.6,48.1,16,155.3,13.3,6,10,2022-01-12T07:24:21,2022-01-12T17:45:56,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-13,18.8,10.3,14.2,18.8,10.3,14.2,9.9,77,0,0,0,,0,0,33.5,16.6,309.3,1015.3,53.3,15.8,141.3,12.2,6,10,2022-01-13T07:24:16,2022-01-13T17:46:47,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-14,17.4,8.4,12.1,17.4,6.4,11.7,3.8,58.8,0,0,0,,0,0,31.7,22.5,316.2,1013.9,26.6,16,167.5,14.3,7,10,2022-01-14T07:24:09,2022-01-14T17:47:38,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-15,19.6,5.7,12.6,19.6,5.7,12.6,6.2,68.6,0,0,0,,0,0,32.8,15.4,113.9,1016.4,50.4,15.6,168.5,14.6,7,10,2022-01-15T07:24:01,2022-01-15T17:48:29,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-16,17.7,9.4,15.2,17.7,6,15.1,9.6,70.6,15.21,100,37.5,rain,0,0,71.2,43.7,228.9,1006.2,82.9,15.2,115.1,9.9,6,10,2022-01-16T07:23:50,2022-01-16T17:49:21,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72206013889,KJAX,72206593837,KNIP,C4952,KCRG,74782053860,1323W"
jacksonville,2022-01-17,14.3,6.8,9.6,14.3,2.9,7.4,1.2,57.2,0,0,0,,0,0,51.2,32.2,279.4,1013,27.6,16,177.4,15.4,7,10,2022-01-17T07:23:38,2022-01-17T17:50:13,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
jacksonville,2022-01-18,14.7,1.7,7.2,14.7,-1.2,5.6,1,67.1,0,0,0,,0,0,30.2,20.4,330.7,1022.3,1.5,16,177.8,15.4,7,10,2022-01-18T07:23:25,2022-01-18T17:51:06,0.53,Clear,Clear conditions throughout the day.,clear-day,"72206013889,KJAX,72206593837,KNIP,KCRG,74782053860,1323W"
