name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Jiamusi, China, China",2022-01-01,-19.5,-34.7,-26.6,-22.6,-46,-35,-27.1,95.4,0.8,100,20.83,snow,,,,14.8,234,,59,,72.6,6.3,4,,2022-01-01T07:03:40,2022-01-01T15:40:22,0.94,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,remote
"Jiamusi, China, China",2022-01-02,-17.4,-25.6,-21.6,-19.5,-36.5,-31.8,-21.9,97.4,0.4,100,12.5,snow,,,,23.4,260.5,,45.4,,74,6.3,4,,2022-01-02T07:03:40,2022-01-02T15:41:19,0.98,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,remote
"Jiamusi, China, China",2022-01-03,-19,-28,-25.4,-27.5,-40,-35.8,-25.5,98.2,0.3,100,12.5,snow,,,,19.4,262,,34.2,,78.7,6.7,4,,2022-01-03T07:03:38,2022-01-03T15:42:18,0,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,remote
"Jiamusi, China, China",2022-01-04,-20,-32.9,-27.7,-26.8,-44.6,-37.6,-27.9,97.6,0,0,0,,,,,14,282.1,,21.3,,80.3,6.9,4,,2022-01-04T07:03:32,2022-01-04T15:43:19,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Jiamusi, China, China",2022-01-05,-17.6,-31.9,-24,-22.9,-42.2,-31.8,-24.8,93.4,0,0,0,,,,,11.5,234.9,,67.1,,71.9,6.2,3,,2022-01-05T07:03:24,2022-01-05T15:44:22,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Jiamusi, China, China",2022-01-06,-17.3,-21.8,-18.9,-17.3,-30.5,-24.6,-19.5,94.5,0,0,0,,,,,12.6,314.8,,76.1,,52.1,4.6,3,,2022-01-06T07:03:14,2022-01-06T15:45:27,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Jiamusi, China, China",2022-01-07,-15.7,-27.6,-21.1,-22.3,-36.5,-29.2,-21.5,97.1,0,0,0,,,,,12.6,238.8,,55,,65.6,5.7,3,,2022-01-07T07:03:00,2022-01-07T15:46:34,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Jiamusi, China, China",2022-01-08,-18.7,-29.4,-21.9,-24.9,-39.4,-30.5,-22.3,96.8,0,0,0,,,,,19.4,338,,53.1,,71.1,6.1,4,,2022-01-08T07:02:44,2022-01-08T15:47:42,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Jiamusi, China, China",2022-01-09,-19.1,-31.4,-24.8,-25.5,-41.6,-32.8,-25,97.4,0,0,0,,,,,13,279.7,,41,,79.5,6.8,4,,2022-01-09T07:02:25,2022-01-09T15:48:52,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Jiamusi, China, China",2022-01-10,-17.5,-25.6,-22.2,-17.8,-30.8,-25,-23.2,92.2,0,0,0,,0,21.7,3.6,7.9,52.3,1023.8,80.6,6,59.3,5.2,3,10,2022-01-10T07:02:03,2022-01-10T15:50:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
