name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ji'nan,2022-01-01,9.1,-2.9,3.3,7,-3.4,1.6,-6.8,52.2,0,0,0,,0,0,47.3,28.8,222.8,1027.2,25.7,9.6,117.8,10.2,5,,2022-01-01T07:24:36,2022-01-01T17:06:40,0.94,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"57993199999,54823099999,54826099999"
ji'nan,2022-01-02,6.5,-6.9,0.2,6.5,-6.9,-1,-8.6,55,0,0,0,,0,0,30,10.8,65.3,1030.5,14.7,12,133.5,11.5,5,,2022-01-02T07:24:46,2022-01-02T17:07:28,0.98,Clear,Clear conditions throughout the day.,clear-day,"57993199999,54823099999,54826099999"
ji'nan,2022-01-03,7.1,-6.9,0,6.2,-6.9,-0.9,-4.4,75.6,0,0,0,,0,0,27.8,10.8,343.5,1026.7,0,5.6,84.8,7.3,4,,2022-01-03T07:24:53,2022-01-03T17:08:16,0,Clear,Clear conditions throughout the day.,clear-day,"57993199999,54823099999,54826099999"
ji'nan,2022-01-04,6.5,-7.9,0.1,5,-11.7,-2,-5.7,67.7,0.1,100,4.17,"rain,snow",0,0,18.1,18,62.1,1029.6,16.5,5.4,67.4,5.9,3,,2022-01-04T07:24:59,2022-01-04T17:09:06,0.05,"Snow, Rain",Clear conditions throughout the day with late afternoon rain or snow.,rain,"57993199999,54823099999,54826099999"
ji'nan,2022-01-05,6.1,-2.9,1.8,4.2,-4.7,1.1,-3.3,70.3,0.004,100,8.33,rain,0,0,17.3,10.8,301.7,1029.8,15.8,5.8,44.6,3.8,2,,2022-01-05T07:25:03,2022-01-05T17:09:57,0.08,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"57993199999,54823099999,54826099999"
ji'nan,2022-01-06,6.1,-2.9,2,6.1,-2.9,1.6,-3,70.5,0,0,0,,0,0,15.9,7.2,31.3,1034.5,41.7,5.3,93.1,7.8,4,,2022-01-06T07:25:05,2022-01-06T17:10:49,0.11,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"57993199999,54823099999,54826099999"
ji'nan,2022-01-07,6.1,-5.7,0.8,3.8,-8.5,0,-2.8,79.2,0,0,0,,0,0,22.7,14.4,183.3,1031.9,44.2,4.7,94.9,8,5,,2022-01-07T07:25:05,2022-01-07T17:11:42,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"57993199999,54826099999,54823099999"
ji'nan,2022-01-08,8.1,-4.9,1.9,7,-4.9,1,-0.9,83.8,0,0,0,,0,0,21.3,18,230.7,1027,0,3.1,97.5,8.4,5,,2022-01-08T07:25:02,2022-01-08T17:12:36,0.18,Clear,Clear conditions throughout the day.,clear-day,"57993199999,54823099999,54826099999"
ji'nan,2022-01-09,6.5,-2.9,0.2,6.5,-4.7,-0.6,-0.8,93.6,0,0,0,,0,0,17.3,10.8,61.3,1024.9,42.2,0.9,102.9,8.7,4,,2022-01-09T07:24:58,2022-01-09T17:13:31,0.21,Partially cloudy,Partly cloudy throughout the day.,fog,"57993199999,54823099999,54826099999"
ji'nan,2022-01-10,2.1,-5.9,-0.3,2.1,-8.2,-1.4,-1.2,94.1,1.602,100,16.67,"rain,snow",0,0,30.3,14.4,42.4,1027.1,69.4,2.3,40.1,3.4,2,10,2022-01-10T07:24:52,2022-01-10T17:14:27,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"57993199999,54823099999,54826099999"
ji'nan,2022-01-11,4.1,-7.9,-2.2,2.3,-8.7,-3.3,-7.3,72.2,0,0,0,,0,0,30.3,8.3,123.3,1028.2,0,9.7,133.6,11.7,4,10,2022-01-11T07:24:44,2022-01-11T17:15:24,0.28,Clear,Clear conditions throughout the day.,clear-day,"57993199999,54823099999,54826099999,remote"
ji'nan,2022-01-12,2.6,-7.9,-2.3,0.8,-9.1,-3.7,-4.3,87.8,0.127,100,8.33,"rain,snow",0,0,37.1,14.4,31.1,1025.5,45.8,3.8,58.6,5,2,10,2022-01-12T07:24:33,2022-01-12T17:16:22,0.31,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"57993199999,54823099999,54826099999"
ji'nan,2022-01-13,3.1,-8.9,-2.8,3.1,-12.9,-4,-12.8,53.3,0,0,0,,0,0,35.3,9.3,272.7,1030.9,0,14.8,142.1,12.3,4,10,2022-01-13T07:24:21,2022-01-13T17:17:21,0.34,Clear,Clear conditions throughout the day.,clear-day,"57993199999,54823099999,54826099999,remote"
ji'nan,2022-01-14,5.1,-7.9,-0.6,4.1,-9.4,-2.3,-10.4,51.5,0,0,0,,0,0,47.5,18.4,184.4,1023.7,61,11.5,95.2,8.5,3,10,2022-01-14T07:24:07,2022-01-14T17:18:20,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"57993199999,54823099999,54826099999"
ji'nan,2022-01-15,6.6,-6.9,0.2,6.6,-6.9,-1.5,-5.1,69.9,0,0,0,,0,0,48.6,17.2,26.1,1023.1,0,7.9,131,11.4,4,10,2022-01-15T07:23:51,2022-01-15T17:19:20,0.41,Clear,Clear conditions throughout the day.,clear-day,"57993199999,54823099999,54826099999"
