name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kansas city,2022-01-01,0.6,-12.2,-8.2,-4.7,-22.5,-16.2,-10.7,82,3.904,100,58.33,"rain,snow",0.7,0.2,49.8,31.7,356.2,1013.6,100,7.6,42.5,1.4,1,,2022-01-01T07:37:43,2022-01-01T17:06:31,0.96,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"F7023,72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-02,-8.3,-16.2,-11.7,-8.9,-24.7,-17.1,-17.9,60.8,0,0,0,,0.4,0.9,42.4,25.9,315.5,1028.4,20.4,15.9,248.5,9,5,,2022-01-02T07:37:49,2022-01-02T17:07:21,0,Partially cloudy,Partly cloudy throughout the day.,snow,"F7023,72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-03,6.1,-10,-2.7,4.6,-14.2,-4.4,-8.8,64.3,0,0,0,,0,0.8,,16.6,183,1026.8,0,16,246.1,8.9,5,,2022-01-03T07:37:54,2022-01-03T17:08:12,0.03,Clear,Clear conditions throughout the day.,clear-day,"72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-04,8.4,0,4.2,4.5,-5.4,-0.2,-5.1,51.7,0,0,0,,0,0.2,63,38.8,210.4,1009.9,0.2,16,216.9,7.9,6,,2022-01-04T07:37:56,2022-01-04T17:09:05,0.06,Clear,Clear conditions throughout the day.,clear-day,"72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-05,-1.6,-9.4,-6.9,-8.5,-17.1,-14,-15.2,51.6,0,0,0,,0,0.1,44.7,29.5,312.8,1020.5,37.1,16,216.6,8,5,,2022-01-05T07:37:56,2022-01-05T17:09:59,0.1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-06,-8.9,-12.8,-11.2,-16.5,-21.3,-18.6,-18.1,56.8,0,0,0,,0,0.1,44.6,24.1,327.1,1028,51.9,15.7,173.8,6.3,4,,2022-01-06T07:37:54,2022-01-06T17:10:55,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-07,-3.9,-13.3,-8.3,-9.1,-19,-12.8,-17.1,49.6,0,0,0,,0,0.1,35.3,20.5,131.7,1025.1,19.6,16,203.7,8.1,5,,2022-01-07T07:37:50,2022-01-07T17:11:51,0.16,Clear,Clear conditions throughout the day.,clear-day,"72030653879,72446003947,KMKC,AP780,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-08,5.7,-3.9,1.1,5.7,-9.5,-2.2,-2,80.6,0.002,100,4.17,rain,0,0,42.3,18.4,130,1013.6,91.2,11.2,46.8,1.6,1,,2022-01-08T07:37:43,2022-01-08T17:12:49,0.2,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-09,1.7,-7.2,-3.3,-1.1,-15.2,-7.4,-11,57.2,0,0,0,,0,0,50.1,26,338.5,1033.8,12.3,15.8,251.7,9,5,,2022-01-09T07:37:35,2022-01-09T17:13:48,0.25,Clear,Clear conditions throughout the day.,clear-day,"72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-10,6.2,-7.8,-1.1,6.2,-11,-3.3,-9.4,54.7,0,0,0,,0,0,19.8,11.2,260.8,1036.1,0,16,157.5,9,5,10,2022-01-10T07:37:24,2022-01-10T17:14:48,0.26,Clear,Clear conditions throughout the day.,clear-day,"F7023,72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-11,15.6,-2.8,6.2,15.6,-6.2,4.8,-5.9,45.7,0,0,0,,0,0,57.3,38.9,205.6,1025.8,0.2,16,105.5,9,5,10,2022-01-11T07:37:12,2022-01-11T17:15:49,0.29,Clear,Clear conditions throughout the day.,clear-day,"72030653879,72446003947,KMKC,AP780,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-12,10.7,-0.6,4.9,10.7,-3.4,3.2,-4,54.8,0,0,0,,0,0,37.1,22.2,241.3,1019.2,0.4,16,84.9,7.3,4,10,2022-01-12T07:36:57,2022-01-12T17:16:51,0.33,Clear,Clear conditions throughout the day.,clear-day,"72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-13,13.9,0.7,6.2,13.9,-2.3,5,-1.5,59.9,0,0,0,,0,0,40,18.5,289.9,1017.2,9.1,16,107.5,9.3,5,10,2022-01-13T07:36:40,2022-01-13T17:17:53,0.36,Clear,Clear conditions throughout the day.,clear-day,"72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-14,8.4,0,4,6.2,-2.6,1.9,0.5,79.1,0.525,100,20.83,"rain,snow",0.3,0.3,32,20.5,45,1014.9,54.5,14.9,40.2,3.4,2,10,2022-01-14T07:36:20,2022-01-14T17:18:57,0.39,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-15,0.7,-5.7,-3.7,-2.8,-13.5,-9.5,-5.5,87.2,2.723,100,41.67,"rain,snow",1.8,2.1,58.4,27.8,358.5,1022.4,100,7.6,10.3,0.9,1,10,2022-01-15T07:35:59,2022-01-15T17:20:01,0.43,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-16,0.6,-7.8,-4,-1.8,-13,-8.1,-6.3,84.6,0,0,0,,0.2,2.7,42.8,20.5,236.2,1017.9,78,13.6,41.9,3.7,3,10,2022-01-16T07:35:36,2022-01-16T17:21:06,0.46,Partially cloudy,Partly cloudy throughout the day.,snow,"72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-17,6.1,-4.3,1.1,5.2,-8.2,-1.1,-2.4,78,0,0,0,,0,1.9,31.7,14.8,208.5,1016.1,13.8,15.9,100.8,8.6,4,10,2022-01-17T07:35:10,2022-01-17T17:22:12,0.5,Clear,Clear conditions throughout the day.,clear-day,"72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
kansas city,2022-01-18,14.3,2.8,6.4,14.3,0.2,4.7,-0.2,63.8,0,0,0,,0,0.8,38.9,20.6,208.8,1009.3,0.4,16,104.1,9.1,5,10,2022-01-18T07:34:43,2022-01-18T17:23:19,0.53,Clear,Clear conditions throughout the day.,clear-day,"72030653879,72446003947,KMKC,F8808,KMCI,KLXT,72446313988"
