name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kashi, China",2022-01-01,0,-9.2,-5.2,-1,-14.3,-8.7,-12.6,56.9,0,0,0,,0,0,14.8,14.4,313.7,1025.2,36,6.7,108.7,9.3,5,,2022-01-01T10:16:25,2022-01-01T19:42:46,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-02,0,-9.2,-5.2,0,-14.1,-8,-12.7,56.9,0,0,0,,0,0,16.6,14.4,310.9,1022.6,41.8,7.3,67.5,5.7,3,,2022-01-02T10:16:32,2022-01-02T19:43:36,0.98,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-03,-1,-10.1,-5.5,-1.8,-14.5,-8.2,-12.8,57.4,0,0,0,,0,0,18.4,14.4,284.5,1022.8,51.1,6.6,88.7,7.6,4,,2022-01-03T10:16:37,2022-01-03T19:44:27,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-04,0,-8.7,-5.1,0,-13.6,-7.8,-12.7,56.1,0,0,0,,0,0,15.5,10.8,303.6,1016.6,55.8,6.5,88.3,7.7,4,,2022-01-04T10:16:40,2022-01-04T19:45:19,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-05,1,-9.2,-4.6,0,-13.4,-7.4,-12.6,54.7,0,0,0,,0,0,16.9,10.8,303.7,1018.4,43,6.4,109.6,9.5,5,,2022-01-05T10:16:41,2022-01-05T19:46:13,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-06,2,-9.4,-4.2,2,-14.3,-6.9,-12.3,54.8,0,0,0,,0,0,15.5,14.4,311.5,1021.9,50.2,5.2,114.1,9.7,5,,2022-01-06T10:16:39,2022-01-06T19:47:09,0.11,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-07,3,-7.3,-3.1,3,-12.2,-5.8,-12,52.1,0,0,0,,0,0,17.3,14.4,302,1025.7,43.6,5.1,71.3,6.1,3,,2022-01-07T10:16:36,2022-01-07T19:48:05,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-08,2,-6.7,-2.7,2,-11.7,-5.4,-12,49.9,0,0,0,,0,0,16.2,14.4,306.2,1025.6,45,5.4,117.5,10.1,5,,2022-01-08T10:16:30,2022-01-08T19:49:03,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-09,3,-7.8,-2.9,3,-12.2,-5.6,-12.3,49.8,0,0,0,,0,0,16.6,11.6,316.5,1024.1,37.3,6,88.3,7.8,4,,2022-01-09T10:16:22,2022-01-09T19:50:02,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-10,0,-7.3,-3.2,0,-11.8,-5.7,-12.1,51,0,0,0,,0,0,16.6,14.4,332.4,1026.3,59,5.4,67.6,5.9,2,10,2022-01-10T10:16:12,2022-01-10T19:51:02,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-11,2,-7.7,-3.1,2,-13.1,-6.2,-12.5,49.6,0,0,0,,0,0,15.5,18,306.1,1025.9,36.1,5.7,107.1,9.3,5,10,2022-01-11T10:16:00,2022-01-11T19:52:02,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-12,0.3,-8.7,-4,0,-14.8,-7.5,-12.6,52.1,0,0,0,,0,0,21.6,18,290.6,1026.5,28,5.3,107.4,9.3,5,10,2022-01-12T10:15:45,2022-01-12T19:53:04,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-13,0,-8.1,-4,0,-14.1,-6.9,-12.1,53.8,0,0,0,,0,0,15.1,14.4,308.2,1020.4,34.9,5.2,84.5,7.4,4,10,2022-01-13T10:15:29,2022-01-13T19:54:07,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-14,3,-8.1,-3.2,2,-13.2,-6.3,-12.5,50.1,0,0,0,,0,0,16.6,14.4,300.6,1019.6,44.2,5.4,117.9,10.2,5,10,2022-01-14T10:15:10,2022-01-14T19:55:11,0.37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-15,2.3,-7.3,-3.3,1,-12.9,-6.6,-13.1,48,0,0,0,,0,0,18.4,14.4,307.3,1022.6,31.4,5.6,106.7,9.3,5,10,2022-01-15T10:14:49,2022-01-15T19:56:16,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-16,3,-7.3,-2.9,2,-12.9,-6.2,-13.6,45.1,0,0,0,,0,0,28.8,14.4,294.8,1023.1,30.8,5.9,116.6,10.1,5,10,2022-01-16T10:14:26,2022-01-16T19:57:21,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-17,4,-7.3,-2.5,4,-12.8,-5.1,-13.9,42.9,0,0,0,,0,0,18.7,14.4,292.4,1022.6,32.6,6.2,119.8,10.3,5,10,2022-01-17T10:14:01,2022-01-17T19:58:27,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-18,6,-7.1,-1.3,4.5,-12,-4.3,-14.7,37.5,0,0,0,,0,0,16.6,18,304.7,1018,24.1,7.3,119.6,10.4,5,10,2022-01-18T10:13:34,2022-01-18T19:59:34,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-19,3.6,-5.5,-1.3,3.6,-9.5,-4.2,-14.7,36.1,0,0,0,,0,0,19.4,14.4,282.7,1014,43.8,7.9,121.2,10.6,5,10,2022-01-19T10:13:04,2022-01-19T20:00:41,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-20,11.7,-6.4,0.8,11.7,-11.7,-2.2,-16.1,31.7,0,0,0,,0,0,39.6,14.4,279.1,1012.2,13.9,8.5,125.5,10.9,6,10,2022-01-20T10:12:33,2022-01-20T20:01:49,0.58,Clear,Clear conditions throughout the day.,clear-day,"51709099999,ZWSH"
"Kashi, China",2022-01-21,3,-7.8,-2.2,3,-12.4,-5.2,-14.9,38.3,0,0,0,,0,0,39.6,18,15.8,1013.4,5.5,8.9,126.4,11,6,10,2022-01-21T10:12:00,2022-01-21T20:02:58,0.61,Clear,Clear conditions throughout the day.,clear-day,"51709099999,ZWSH"
"Kashi, China",2022-01-22,2,-7.5,-3,0.6,-12.9,-7,-15,40.1,0,0,0,,0,0,18.4,18,323.4,1015.6,63.8,9.5,116.7,10.3,5,10,2022-01-22T10:11:25,2022-01-22T20:04:07,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-23,0.6,-5.1,-2.4,0,-8.8,-4.7,-14.1,40.8,0,0,0,,0,0,18.4,14.4,347.1,1021.5,61.1,9.3,95.7,8.3,5,10,2022-01-23T10:10:47,2022-01-23T20:05:16,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-24,3,-8.1,-3,1,-13,-6.3,-13.9,44.5,0,0,0,,0,0,17.3,14.4,326.2,1020.7,7.2,9.3,127.5,11.3,6,10,2022-01-24T10:10:08,2022-01-24T20:06:26,0.72,Clear,Clear conditions throughout the day.,clear-day,"51709099999,ZWSH"
"Kashi, China",2022-01-25,3.6,-7.5,-2.7,3,-12.9,-6.4,-13.8,44,0,0,0,,0,0,16.9,14.4,328.8,1018.2,27.2,8.7,125.8,10.9,6,10,2022-01-25T10:09:27,2022-01-25T20:07:36,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-26,2,-5.2,-2.1,0,-9,-5.1,-13.8,41.4,0,0,0,,0,0,24.5,11.3,10.5,1021.6,36.9,8.7,91,8,4,10,2022-01-26T10:08:44,2022-01-26T20:08:46,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-27,3,-8.2,-3.1,2,-13.7,-6.4,-14.9,41.4,0,0,0,,0,0,24.5,18,314.9,1026.4,3.2,9.5,133.7,11.8,6,10,2022-01-27T10:07:59,2022-01-27T20:09:57,0.82,Clear,Clear conditions throughout the day.,clear-day,"51709099999,ZWSH"
"Kashi, China",2022-01-28,2.5,-8.1,-3.1,2,-13.7,-6.7,-15.1,40.6,0,0,0,,0,0,20.2,18,308.7,1021.7,40.8,10.3,120.6,10.8,6,10,2022-01-28T10:07:13,2022-01-28T20:11:08,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-29,1.6,-5.1,-2,1,-10.3,-4.7,-14.3,39,0,0,0,snow,0.1,0.1,18.7,14.4,302.8,1018.3,70.5,9.4,93.9,8.1,4,10,2022-01-29T10:06:24,2022-01-29T20:12:19,0.89,Partially cloudy,Partly cloudy throughout the day.,snow,"51709099999,ZWSH"
"Kashi, China",2022-01-30,3,-7.3,-2.6,3,-12.7,-6.3,-15.3,39.5,0,0,0,,0,0,16.9,18,329.8,1022.4,48.2,10.1,119.9,10.5,6,10,2022-01-30T10:05:34,2022-01-30T20:13:30,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-01-31,2,-6.2,-2.3,-0.8,-11.6,-6.1,-15.9,35.2,0,0,0,,0,0,18,14.4,335.9,1021.1,46.1,10.6,110.6,9.6,5,10,2022-01-31T10:04:42,2022-01-31T20:14:41,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-01,3.2,-5.4,-1.5,1.8,-10.4,-5,-16.1,33,0,0,0,,0,0,19.4,18,331.5,1023.7,28.9,10.9,135.4,12,6,10,2022-02-01T10:03:48,2022-02-01T20:15:52,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-02,3.2,-5.9,-1.9,3.2,-11.6,-5.2,-16.1,33.9,0,0,0,,0,0,19.4,18,301.3,1020.7,43.3,10.6,111.8,9.8,5,10,2022-02-02T10:02:53,2022-02-02T20:17:04,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-03,3,-5.9,-1.5,2.3,-10.4,-4.9,-15.8,33.9,0,0,0,,0,0,23.4,14.4,331.2,1022.6,67.8,9.7,70.1,6.3,3,10,2022-02-03T10:01:56,2022-02-03T20:18:15,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-04,2,-6.9,-2.4,-1,-12.3,-6.1,-16.2,34.9,0,0,0,,0,0,27.7,16.3,357.3,1025.3,48,10.6,134.4,11.7,6,10,2022-02-04T10:00:57,2022-02-04T20:19:26,0.09,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-05,0,-6.4,-3.6,-2.5,-11,-6.6,-11.2,56.9,0,0,0,,0,0,27.7,14.4,48.5,1024.5,60.9,10.2,132.7,11.8,6,10,2022-02-05T09:59:57,2022-02-05T20:20:37,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-06,-2,-6.2,-4.4,-2,-10.7,-7.4,-8.5,73.7,0.2,100,8.33,snow,0.2,0.1,19.1,14.4,342,1019.7,81.6,8.1,94.8,8.4,6,10,2022-02-06T09:58:55,2022-02-06T20:21:49,0.16,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow,"51709099999,ZWSH"
"Kashi, China",2022-02-07,-1,-7.5,-3.4,-1,-11.1,-4.7,-8.9,66.2,0,0,0,,0,0,11.5,10.8,31.2,1022.4,85.5,9.6,128.7,11.1,6,10,2022-02-07T09:57:52,2022-02-07T20:22:59,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-08,1,-4,-1.8,1,-7.1,-3,-10,54.3,0,0,0,,0,0,16.9,7.2,1.2,1023.1,81.7,9.4,116.1,10.1,5,10,2022-02-08T09:56:47,2022-02-08T20:24:10,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-09,4,-6,-1.5,2.8,-10.8,-3.5,-11.1,49.6,0,0,0,,0,0,16.9,14.4,304.6,1017.7,63.1,10.2,125.9,11.3,6,10,2022-02-09T09:55:41,2022-02-09T20:25:21,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-10,10,-4,1.8,9.2,-8,-0.8,-12.6,39.3,0,0,0,,0,0,54.7,18,316.2,1017.3,44.8,10.9,140.9,12.5,6,10,2022-02-10T09:54:33,2022-02-10T20:26:31,0.29,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-11,6.5,-4,1.7,4.4,-8.3,-1.1,-14.6,29.9,0,0,0,,0,0,54.7,14.4,29.9,1019,59.1,11.7,145,12.9,7,10,2022-02-11T09:53:24,2022-02-11T20:27:42,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-12,10,-3.3,3.1,10,-7,1.2,-12.5,32.7,0,0,0,,0,0,24.3,14.4,328.7,1016.6,52.2,10.3,116.8,10.5,5,10,2022-02-12T09:52:14,2022-02-12T20:28:52,0.35,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-13,9,-1.4,3.6,7.3,-5.5,1.4,-12.5,30.6,0,0,0,,0,0,19.4,14.4,35.5,1016.5,35.6,10.3,155.1,13.7,7,10,2022-02-13T09:51:02,2022-02-13T20:30:02,0.39,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-14,7,-3,1.7,6.3,-6.7,-0.5,-12.7,35,0,0,0,,0,0,22.7,14.4,349.5,1018.3,38.9,10.6,150.7,13.5,6,10,2022-02-14T09:49:49,2022-02-14T20:31:11,0.42,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-15,12,-1,4.6,12,-3.6,2.8,-14.3,26.9,0,0,0,,0,0,52.9,18,226.2,1015,35.1,11.6,162.9,14.5,7,10,2022-02-15T09:48:35,2022-02-15T20:32:21,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-16,11,1,5.3,11,-3.7,2.4,-21.5,12.8,0,0,0,,0,0,52.9,28.8,316,1013.1,43,13.1,162,14.4,7,10,2022-02-16T09:47:20,2022-02-16T20:33:30,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-17,7,-1.2,2.8,4.3,-6.2,-0.4,-16.5,25.1,0,0,0,,0,0,43.2,21.6,36.3,1018.5,47.8,10.7,158,13.8,6,10,2022-02-17T09:46:03,2022-02-17T20:34:38,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-18,2,-3,-0.7,-1.3,-7.1,-4.4,-10,50.3,0,0,0,,0,0,29.9,21.6,68.3,1029.9,40.9,2.9,115,10.1,5,10,2022-02-18T09:44:46,2022-02-18T20:35:47,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-19,3,-4.7,-0.9,1.6,-8.4,-3.6,-9.5,54.1,0,0,0,,0,0,21.6,14.4,293.3,1029.3,18.8,3.9,163.2,14,6,10,2022-02-19T09:43:27,2022-02-19T20:36:55,0.59,Clear,Clear conditions throughout the day.,clear-day,"51709099999,ZWSH"
"Kashi, China",2022-02-20,5,-5.2,-0.8,5,-10.4,-3.5,-10.4,49.4,0,0,0,,0,0,25.2,14.4,324.5,1026.6,11.1,4.2,167.8,14.5,7,10,2022-02-20T09:42:07,2022-02-20T20:38:03,0.62,Clear,Clear conditions throughout the day.,clear-day,"51709099999,ZWSH"
"Kashi, China",2022-02-21,5,-4.1,0,3.4,-9.2,-3,-10.9,45.7,0,0,0,,0,0,25.2,14.4,342.2,1024.6,1.7,4.3,170.4,14.8,7,10,2022-02-21T09:40:46,2022-02-21T20:39:10,0.66,Clear,Clear conditions throughout the day.,clear-day,"51709099999,ZWSH"
"Kashi, China",2022-02-22,5,-2.6,0.5,3.4,-6.6,-2.1,-11.8,40.1,0,0,0,,0,0,21.6,14.4,347.9,1022.3,21.1,4,152.9,13.2,6,10,2022-02-22T09:39:25,2022-02-22T20:40:18,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-23,5,-3,0.8,3,-7.2,-1.7,-12,39.2,0,0,0,,0,0,18,14.4,302.6,1022.5,30.2,4.3,137.6,11.9,5,10,2022-02-23T09:38:02,2022-02-23T20:41:25,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-24,8,-2.1,2.4,7,-5.5,0.6,-12.7,33.4,0,0,0,,0,0,18,14.4,295.2,1023.8,41.5,4.7,147.9,12.6,7,10,2022-02-24T09:36:38,2022-02-24T20:42:31,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-25,8,1,4.3,6.9,-2.3,2.6,-11.2,31.6,0,0,0,,0,0,21.6,14.4,245.9,1024.5,46.7,5.5,125.8,10.7,5,10,2022-02-25T09:35:14,2022-02-25T20:43:38,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-26,8.3,0,4.1,7.2,-3.2,1.8,-7.4,44.2,0,0,0,,0,0,25.2,14.4,271.3,1021.2,57.2,8.7,144.3,12.5,6,10,2022-02-26T09:33:48,2022-02-26T20:44:44,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-02-27,12,-1.2,4.9,12,-5.5,2.9,-9,38.3,0,0,0,,0,0,25.2,14.4,15.2,1020.2,14,9.5,184.9,15.9,7,10,2022-02-27T09:32:22,2022-02-27T20:45:49,0.87,Clear,Clear conditions throughout the day.,clear-day,"51709099999,ZWSH"
"Kashi, China",2022-02-28,11,0.6,5.7,11,-3.2,3.6,-10.8,31.1,0,0,0,,0,0,25.2,18,336.4,1022.7,66.1,10.2,169.1,14.6,7,10,2022-02-28T09:30:55,2022-02-28T20:46:55,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"51709099999,ZWSH"
"Kashi, China",2022-03-01,10.7,1,5.3,10.7,-1.5,3.3,-13,26.4,0,0,0,,0,0,25.2,14.4,26.4,1021.4,39.2,8.7,166.1,12.4,7,10,2022-03-01T09:29:27,2022-03-01T20:48:00,0.94,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"51709099999,ZWSH"
