name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
key west,2022-01-01,28.8,24.5,26,31.2,24.5,26.7,21.3,75.8,0,0,0,,0,0,25.9,18.4,141,1018,20.7,16,463.3,38.5,7,,2022-01-01T07:11:32,2022-01-01T17:50:21,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,0470W,TS607,72201512850,KNQX,KEYW,SANF1,0468W,99734899999"
key west,2022-01-02,28.6,24.4,25.9,30.8,24.4,26.7,21.6,77.6,0,0,0,,0,0,31.7,22.5,158.1,1017.8,28.4,16,479.9,39.9,7,,2022-01-02T07:11:48,2022-01-02T17:51:01,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72201012836,0470W,TS607,72201512850,KNQX,KEYW,SANF1,0468W,99734899999"
key west,2022-01-03,26.6,20.5,23.2,26.6,20.5,23.2,20.1,83,0.5,100,4.17,rain,0,0,52,42.3,354.2,1019.5,55.6,15.8,405.4,33.7,6,,2022-01-03T07:12:03,2022-01-03T17:51:41,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72201012836,0470W,TS607,72201512850,KNQX,KEYW,SANF1,0468W,99734899999"
key west,2022-01-04,21.9,18.3,20.6,21.9,18.3,20.6,16.3,76.5,0,0,0,,0,0,33.5,25.9,359.5,1020.2,78.6,16,406.5,32.1,5,,2022-01-04T07:12:17,2022-01-04T17:52:22,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,0470W,TS607,72201512850,KNQX,KEYW,SANF1,0468W,99734899999"
key west,2022-01-05,23.9,20.4,22.6,23.9,20.4,22.6,18.6,78.5,0,0,0,,0,0,24.1,22,297.7,1016.5,17.9,16,463.7,35,7,,2022-01-05T07:12:30,2022-01-05T17:53:04,0.1,Clear,Clear conditions throughout the day.,clear-day,"72201012836,0470W,TS607,72201512850,KNQX,KEYW,SANF1,0468W,99734899999"
key west,2022-01-06,26.6,20.8,22.9,26.6,20.8,22.9,18.7,77.9,0,0,0,,0,0,22.3,13,84,1016.7,24.8,16,474.7,39.2,7,,2022-01-06T07:12:41,2022-01-06T17:53:46,0.13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72201012836,0470W,TS607,72201512850,KNQX,KEYW,SANF1,0468W,99734899999"
key west,2022-01-07,28.8,22.3,24.7,31.5,22.3,25.2,21.8,84.6,0,0,0,,0,0,20.5,16.4,57.5,1019.3,24.5,15.9,413.6,34.3,6,,2022-01-07T07:12:51,2022-01-07T17:54:28,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,0470W,TS607,72201512850,KNQX,KEYW,SANF1,0468W,99734899999"
key west,2022-01-08,28.6,23.1,24.8,31.5,23.1,25.5,21.8,83.6,3.475,100,16.67,rain,0,0,35.3,22.4,85.4,1023.6,28.3,15.6,448.1,37.3,7,,2022-01-08T07:12:59,2022-01-08T17:55:11,0.19,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"72201012836,0470W,TS607,72201512850,KNQX,KEYW,SANF1,0468W,99734899999"
key west,2022-01-09,28.6,23.7,25.3,31.5,23.7,25.9,21.8,81.7,0.04,100,4.17,rain,0,0,31.7,18.5,95.2,1023.9,32.8,16,426.8,33.7,6,,2022-01-09T07:13:06,2022-01-09T17:55:54,0.25,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"72201012836,0470W,TS607,72201512850,KNQX,KEYW,SANF1,0468W,99734899999"
key west,2022-01-10,26.7,23.3,24.3,26.7,23.3,24.3,22,87.2,0,0,0,,0,0,29.5,22.2,25.2,1021.6,34.1,16,384,27.6,5,,2022-01-10T07:13:11,2022-01-10T17:56:38,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72201012836,0470W,TS607,72201512850,KNQX,KEYW,SANF1,0468W,99734899999"
