name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
krasnodar,2022-01-01,9,3,6.1,6.3,1,3.7,4.4,88.9,24.4,100,83.33,rain,0,0,,28.8,219.3,1012.9,57.3,9,35.7,3.2,2,,2022-01-01T08:02:37,2022-01-01T16:52:48,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"34929099999,URKK"
krasnodar,2022-01-02,9,0,4.3,6,-4.3,0.3,2.8,90.3,24.4,100,87.5,rain,0,0,,28.8,292.7,1011.6,80,9.3,30.8,2.7,2,,2022-01-02T08:02:39,2022-01-02T16:53:43,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"34929099999,URKK"
krasnodar,2022-01-03,7,-2,2.5,2.2,-5.9,-1.5,-1,77.7,1.8,100,41.67,"rain,snow",0,0,54,39.6,225.1,1014.3,50.9,10,26.9,2.4,1,,2022-01-03T08:02:38,2022-01-03T16:54:41,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"34929099999,URKK"
krasnodar,2022-01-04,9,4,6.5,5.4,0.7,2.3,4,84.7,15.1,100,83.33,rain,0,0,61.2,43.2,235.3,1007.4,89,9.9,19.1,1.7,1,,2022-01-04T08:02:34,2022-01-04T16:55:40,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"34929099999,URKK"
krasnodar,2022-01-05,10,3,7.2,10,1,5.7,3.5,79,1.9,100,50,rain,0,0,,28.8,207.9,1013,28,10,53.8,4.6,3,,2022-01-05T08:02:28,2022-01-05T16:56:41,0.09,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"34929099999,URKK"
krasnodar,2022-01-06,16,8,11.5,16,6.1,11.1,3,57,0,0,0,,0,0,,32.4,221.6,1011.5,0,10,51.3,4.4,3,,2022-01-06T08:02:19,2022-01-06T16:57:43,0.12,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
krasnodar,2022-01-07,14,5,9,14,1.9,7.7,4.3,73.5,0,0,0,,0,0,,28.8,259.6,1016.6,41.7,10,69.3,6,3,,2022-01-07T08:02:08,2022-01-07T16:58:48,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,URKK"
krasnodar,2022-01-08,5,1,2.8,2.5,-4.2,-0.9,0.8,86.9,0,0,0,,0,0,,25.2,55.4,1023.5,67.1,10,77.1,6.6,3,,2022-01-08T08:01:54,2022-01-08T16:59:54,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"34929099999,URKK"
krasnodar,2022-01-09,9,1,4.3,6.8,-2.3,1.2,1.6,83.6,0,0,0,,0,0,,21.6,84.1,1013.8,0,10,70.3,6.1,3,,2022-01-09T08:01:37,2022-01-09T17:01:01,0.25,Clear,Clear conditions throughout the day.,clear-day,"34929099999,URKK"
krasnodar,2022-01-10,10,0,5,10,-2.5,3.4,2.4,83.8,0.1,100,4.17,rain,0,0,16.2,14.4,67.1,1008.3,11.1,10,87.3,7.5,4,10,2022-01-10T08:01:18,2022-01-10T17:02:10,0.25,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"34929099999,URKK"
