name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
las vegas,2022-01-01,8.5,1.8,5.6,6,-1.5,2.1,-12.7,26.1,0,0,0,,0,0.9,63.3,37.4,346.6,1022.9,5.7,16,140.7,12.1,6,,2022-01-01T06:51:48,2022-01-01T16:36:55,0.97,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-02,8,-2.7,2.5,7.4,-5.3,1.4,-12.5,34.4,0,0,0,,0,0.9,,13.9,306.8,1031,2.4,16,141.1,12.1,6,,2022-01-02T06:51:57,2022-01-02T16:37:43,0,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-03,9.4,-1.7,3.9,9,-4.7,2.6,-11.5,32.8,0,0,0,,0,0.8,,10,333.7,1025.3,12.7,16,122.9,10.6,6,,2022-01-03T06:52:04,2022-01-03T16:38:32,0.03,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-04,12.7,0.6,6.1,12.7,-2.2,5.1,-9.2,34.1,0,0,0,,0,0.8,,11.4,312.8,1024.4,16.8,16,127.7,11,6,,2022-01-04T06:52:09,2022-01-04T16:39:22,0.07,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-05,14.2,1.8,7.7,14.2,-0.4,7,-7.1,35.7,0,0,0,,0,0.8,,13.2,339.4,1022.3,9.9,16,129,11.1,5,,2022-01-05T06:52:12,2022-01-05T16:40:13,0.1,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-06,16.6,3.9,9.5,16.6,2.2,8.9,-2.8,43.2,0,0,0,,0,0.8,,10,337.4,1018.3,5.2,16,128.4,11.1,6,,2022-01-06T06:52:13,2022-01-06T16:41:05,0.13,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-07,17.3,3.7,11,17.3,2,10.6,-1.3,45,0,0,0,,0,0.8,29.5,16.5,9.2,1011,12.2,16,130,11.2,6,,2022-01-07T06:52:12,2022-01-07T16:41:58,0.17,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-08,18,8.4,13,18,6,12.6,-4,31.9,0,0,0,,0,0.8,38.9,28.5,341.6,1016.5,6.5,16,134.4,11.7,6,,2022-01-08T06:52:09,2022-01-08T16:42:53,0.2,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-09,16.4,7.1,11,16.4,5,10.1,-6.3,30.2,0,0,0,,0,0.8,27.7,22,355.6,1030.7,0.3,16,137.8,11.7,6,,2022-01-09T06:52:04,2022-01-09T16:43:48,0.25,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-10,15.6,4.4,9.5,15.6,2.1,8.5,-8,29.6,0,0,0,,0,0.7,16.6,13.9,311.6,1033.2,13.5,16,125.6,10.8,7,10,2022-01-10T06:51:57,2022-01-10T16:44:44,0.26,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-11,16.3,3.9,9.6,16.3,1.2,8.4,-9.3,26.5,0,0,0,,0,0.7,17.3,16.4,318.5,1031.1,9.1,16,144.1,12.5,6,10,2022-01-11T06:51:48,2022-01-11T16:45:41,0.3,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-12,18.4,5.4,11.2,18.4,3.1,10.6,-7.2,27.6,0,0,0,,0,0.7,13.3,12.8,293.7,1029.5,16,16,138,12,6,10,2022-01-12T06:51:37,2022-01-12T16:46:38,0.33,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-13,17.5,6.1,11.6,17.5,5.2,11.3,-4.7,32.3,0,0,0,,0,0.7,10.1,10.2,341.4,1024.4,33.1,16,84.9,7.3,4,10,2022-01-13T06:51:25,2022-01-13T16:47:37,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-14,19.6,8.5,13.9,19.6,7,13.6,-5.1,27.3,0,0,0,,0,0.7,48.1,29.9,1.1,1024.5,20.8,16,133.6,11.6,6,10,2022-01-14T06:51:10,2022-01-14T16:48:36,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-15,15.4,6.4,10.8,15.4,5.5,10.4,-6.4,30.1,0,0,0,,0,0.7,24.5,14.5,314.2,1027.8,19.6,16,97.7,8.4,5,10,2022-01-15T06:50:53,2022-01-15T16:49:36,0.43,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-16,16.5,2.9,9.2,16.5,0.2,8.4,-8.3,29.8,0,0,0,,0,0.7,12.6,10.3,306.1,1022.3,16.7,16,146.9,12.6,6,10,2022-01-16T06:50:34,2022-01-16T16:50:36,0.46,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-17,15.8,5,9.9,15.8,3.7,9.6,-7.9,28.6,0,0,0,,0,0.7,11.5,9.3,350.9,1018.7,34.1,16,126,10.9,6,10,2022-01-17T06:50:14,2022-01-17T16:51:37,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
las vegas,2022-01-18,15.3,7.5,10.9,15.3,6,10.7,2,55.6,0.726,100,16.67,rain,0,0.7,10.4,8.4,344.9,1017.5,54.7,15.8,123.4,10.7,6,10,2022-01-18T06:49:51,2022-01-18T16:52:38,0.53,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
