name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
little rock,2022-01-01,21.2,6.2,15.3,21.2,2.4,14.9,13.7,90.3,28.891,100,50,rain,0,0,56.4,31.4,303.2,1005.4,94.9,12,9.2,0.8,0,,2022-01-01T07:16:37,2022-01-01T17:09:07,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72340503930,SDNA4,72340313963,KLRF,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-02,5.7,-3.3,-0.7,1.9,-9.4,-6.5,-4.8,74,0.288,100,4.17,snow,0,0,50,31.4,328,1022.3,78.7,15.6,17.8,1.1,1,,2022-01-02T07:16:47,2022-01-02T17:09:53,0,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"72340503930,72340313963,KLRF,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-03,5.6,-6.2,-0.7,4.7,-11.4,-3.3,-8.2,58.6,0,0,0,,0,0,,15.9,22.3,1031.8,0,16,94.7,8,5,,2022-01-03T07:16:56,2022-01-03T17:10:41,0.03,Clear,Clear conditions throughout the day.,clear-day,"72340503930,72340313963,KLRF,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-04,9.9,-3.4,3.3,7.1,-6.6,1,-4.6,58.8,0,0,0,,0,0,27.7,23.7,180.6,1021.7,45.7,16,122.1,8,5,,2022-01-04T07:17:02,2022-01-04T17:11:30,0.06,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72340503930,SDNA4,72340313963,KLRF,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-05,16.6,1.6,8.3,16.6,0.1,7.2,-2.1,51.2,0,0,0,,0,0,,21.9,13.7,1016.2,67.4,16,106.2,7.8,5,,2022-01-05T07:17:06,2022-01-05T17:12:19,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72340503930,72340313963,KLRF,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-06,7.1,-2.2,2.1,3.7,-7,-2.3,-5.3,58.7,1.404,100,16.67,"rain,snow",0,0,29.5,27,18.2,1021.3,95.4,16,61.3,4,2,,2022-01-06T07:17:09,2022-01-06T17:13:10,0.13,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"72340503930,SDNA4,72340313963,KLRF,E9770,UAPA4,KLIT,LNKA4"
little rock,2022-01-07,1.7,-5,-1.8,-1.9,-10.5,-6.1,-9.6,55.7,0,0,0,,0,0,,25.3,78.5,1027.8,71.4,16,91.9,7.1,4,,2022-01-07T07:17:09,2022-01-07T17:14:02,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72340503930,72340313963,KLRF,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-08,14.9,-0.1,5.6,14.9,-4.7,3.5,1.4,74.8,15.764,100,41.67,rain,0,0,31.7,23.7,114.8,1021,100,11.7,18.2,1.3,1,,2022-01-08T07:17:08,2022-01-08T17:14:54,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,KLIT,LNKA4"
little rock,2022-01-09,18.7,4.9,12.5,18.7,1.5,11.4,6.8,69.6,39.834,100,41.67,rain,0,0,54.5,31.4,2.4,1025.2,91.7,13.1,22,2,1,,2022-01-09T07:17:05,2022-01-09T17:15:48,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,LNKA4,KLIT"
little rock,2022-01-10,11.1,-2.8,4.1,11.1,-6.9,2.1,-8.5,42.3,0,0,0,,0,0,24.8,23.5,337.9,1037.4,21.6,16,91.1,7.7,4,10,2022-01-10T07:17:00,2022-01-10T17:16:42,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72340503930,72341613925,72340313963,KLRF,KSGT,UAPA4,E9770,KLIT,LNKA4"
