name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2022-01-01,16.1,13.1,13.8,16.1,13.1,13.8,10.9,82.9,0.015,100,4.17,rain,0,0,46.4,0.2,204.3,1017.5,74.5,15.4,65.4,1.9,1,,2022-01-01T08:06:16,2022-01-01T16:02:07,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2022-01-02,13.3,9.8,11.8,13.3,9.8,11.8,9,83,1.406,100,16.67,rain,0,0,52,0.2,232.7,1010.6,67.9,24,46.2,1.5,1,,2022-01-02T08:06:08,2022-01-02T16:03:12,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D5621,03672099999,03781099999,AR120,03772099999,03770099999"
london,2022-01-03,11,9.1,9.9,11,9.1,9.9,7,81.8,0,0,0,,0,0,46.4,0.2,229.2,1008,59,20.1,50.6,1.5,1,,2022-01-03T08:05:57,2022-01-03T16:04:19,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2022-01-04,9,2.1,5.7,9,0.3,5.4,3,83,4.39,100,16.67,rain,0,0,,16.7,350.7,1001.4,59.8,21.7,35.4,0.9,1,,2022-01-04T08:05:43,2022-01-04T16:05:29,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2022-01-05,6.5,1.1,3.4,6.5,1.1,3.4,-0.4,76.6,0,0,0,,0,0,,0.1,289.9,1013.8,10.2,27.3,60.4,2.2,2,,2022-01-05T08:05:26,2022-01-05T16:06:42,0.09,Clear,Clear conditions throughout the day.,clear-day,"D5621,03672099999,03781099999,AR120,03772099999,03770099999"
london,2022-01-06,7.3,-1.9,3,7.3,-1.9,3,0.9,86.9,1.193,100,12.5,rain,0,0,57.6,3.4,264.2,1016.6,48.6,17.8,54.8,1.6,1,,2022-01-06T08:05:05,2022-01-06T16:07:56,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2022-01-07,6.3,1.1,4.4,6.3,1.1,4.4,1.4,81,0.407,100,4.17,rain,0,0,55.4,0.2,255.3,1010.7,36.2,31.8,69.4,2.1,2,,2022-01-07T08:04:40,2022-01-07T16:09:13,0.16,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2022-01-08,10,1.3,6.4,10,-1,6.2,4.7,89.4,6.995,100,41.67,rain,0,0,51.4,8.7,215.4,1001.6,69.8,17.2,21.9,0.7,0,,2022-01-08T08:04:13,2022-01-08T16:10:33,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2022-01-09,7.7,2.3,4.6,7.7,2.3,4.5,1.7,81.9,0.001,100,4.17,rain,0,0,,14.8,262.9,1003.1,17.8,22.6,64.6,2.1,2,,2022-01-09T08:03:42,2022-01-09T16:11:54,0.25,Rain,Clear conditions throughout the day with early morning rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
london,2022-01-10,9.1,1.6,5.9,9.1,1.6,5.9,4.9,93.4,0.199,100,4.17,rain,0,0,,6.6,158.1,1018.5,73.6,10.9,28.9,0.9,1,,2022-01-10T08:03:09,2022-01-10T16:13:18,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"D5621,03672099999,03781099999,03772099999,03770099999"
