name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
louisville,2022-01-01,17.8,12.8,14.7,17.8,12.8,14.7,13.6,93.3,49.547,100,91.67,rain,0,0,38.9,24.2,188.2,1004.8,98.5,9.8,22.6,0.8,0,,2022-01-01T08:00:01,2022-01-01T17:33:40,0.96,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
louisville,2022-01-02,13.8,0,5,13.8,-5.8,1.5,2.6,84.8,1.462,100,33.33,"rain,snow",0,0,42,24.9,333,1014.1,100,13.9,58.8,2.1,2,,2022-01-02T08:00:08,2022-01-02T17:34:29,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
louisville,2022-01-03,2.3,-3.9,-0.9,2.3,-10.1,-4.3,-7.1,63.2,0,0,0,,0,0,38.4,25.2,343.2,1027.7,32.3,16,213.3,8.2,5,,2022-01-03T08:00:13,2022-01-03T17:35:19,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
louisville,2022-01-04,7.8,-4.4,1.7,4.2,-8.3,-1.3,-3.3,71.2,0,0,0,,0,0,48.4,28.7,167.4,1022.5,19.3,15.8,233.9,8.3,5,,2022-01-04T08:00:16,2022-01-04T17:36:11,0.06,Clear,Clear conditions throughout the day.,clear-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
louisville,2022-01-05,9.7,-0.9,6.5,6.6,-5.2,2.4,-3,51.4,0,0,0,,0.1,0,57.3,33.4,238.3,1012,47.3,16,226.9,8.2,5,,2022-01-05T08:00:17,2022-01-05T17:37:05,0.1,Partially cloudy,Partly cloudy throughout the day.,snow,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
louisville,2022-01-06,-1.4,-9.2,-5.7,-6.1,-15.1,-10.9,-10.7,69,3.875,100,37.5,snow,1.3,0.6,38.9,21.3,308.5,1019.8,89,11,26.9,1,0,,2022-01-06T08:00:16,2022-01-06T17:37:59,0.13,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
louisville,2022-01-07,-5.9,-11.7,-9,-6.7,-18.4,-13.8,-14.1,66.7,0,0,0,,2.2,2.7,,17.5,280.7,1028.5,65.8,15.4,101.5,3.9,3,,2022-01-07T08:00:13,2022-01-07T17:38:54,0.16,Partially cloudy,Partly cloudy throughout the day.,snow,"KFTK,KLOU,E0797,AU953,KSDF,72423093821,72424013807,72423513810"
louisville,2022-01-08,6.9,-10,-2.2,4.3,-15.9,-6.3,-7.9,66.6,8.456,100,16.67,rain,0,1.7,48.9,25.5,148.8,1027.2,48.9,15.7,180.9,7.1,4,,2022-01-08T08:00:08,2022-01-08T17:39:51,0.19,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
louisville,2022-01-09,8.3,-1.4,5.3,8.3,-6.6,1.8,0.4,73.2,32.892,100,58.33,rain,0,0.1,53.3,24.4,294.4,1024.6,74.1,13,88.4,3.2,3,,2022-01-09T08:00:01,2022-01-09T17:40:49,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
louisville,2022-01-10,2.8,-6.4,-2.3,-2.3,-11.7,-6.4,-10.8,53.4,0,0,0,,0,0,38.2,26.8,283.3,1034,15.8,16,149.3,8.7,5,10,2022-01-10T07:59:51,2022-01-10T17:41:48,0.26,Clear,Clear conditions throughout the day.,clear-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
