name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
lukla,2022-01-01,17.9,6.2,12.1,17.9,6.2,12.1,7.9,76.6,0,0,0,,,,,14.4,226,,41.8,11.2,174.2,15.1,7,,2022-01-01T06:48:53,2022-01-01T17:14:18,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44462099999,remote"
lukla,2022-01-02,17.8,6.9,12.2,17.8,6.9,12.1,6.7,70.2,0,0,0,,,,,12.6,211.8,,25.6,11.8,182.2,15.6,7,,2022-01-02T06:49:09,2022-01-02T17:15:00,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44462099999,remote"
lukla,2022-01-03,17.9,10,12.6,17.9,10,12.6,6.8,68.4,0,0,0,,,,,16.2,230.5,,38.1,14,179.1,15.3,7,,2022-01-03T06:49:23,2022-01-03T17:15:42,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"44462099999,remote"
lukla,2022-01-04,17.9,7.1,12.1,17.9,7.1,12.1,6.6,70.1,0,0,0,,,,,13.7,207.5,,27.2,13.4,181.5,15.7,7,,2022-01-04T06:49:35,2022-01-04T17:16:24,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44462099999,remote"
lukla,2022-01-05,18.1,10.2,13.3,18.1,10.2,13.3,7.7,69.8,0,0,0,,,,,15.8,208.1,,44.8,10,155.6,13.3,6,,2022-01-05T06:49:46,2022-01-05T17:17:08,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44462099999,remote"
lukla,2022-01-06,17.8,7.9,12.6,17.8,7.9,12.6,8.9,78.6,0,0,0,,,,,16.9,207.7,,26.4,9.2,152.4,13.1,6,,2022-01-06T06:49:55,2022-01-06T17:17:52,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44462099999,remote"
lukla,2022-01-07,18.9,8.1,13.1,18.9,8.1,13.1,9.4,79.1,0,0,0,,,,,13.3,223.6,,31.5,9.6,137.8,11.7,6,,2022-01-07T06:50:03,2022-01-07T17:18:37,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44462099999,remote"
lukla,2022-01-08,19.9,8.7,13.9,19.9,8.7,13.9,10,78.1,0,0,0,,,,,15.8,236.6,,8.9,10,175,15.1,7,,2022-01-08T06:50:10,2022-01-08T17:19:22,0.18,Clear,Clear conditions throughout the day.,clear-day,"44462099999,remote"
lukla,2022-01-09,20,8.9,13.9,20,8.9,13.9,9.8,77.4,0,0,0,,,,,18,231.6,,30.6,9.6,177.2,15.3,7,,2022-01-09T06:50:15,2022-01-09T17:20:08,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"44462099999,remote"
lukla,2022-01-10,18.8,-15.2,8.4,18.8,-25.9,6.3,2.8,68.3,0,0,0,snow,0,23.1,23.8,28.1,2.1,1030.7,40.5,17.1,106.7,9.4,4,10,2022-01-10T06:50:18,2022-01-10T17:20:54,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"44462099999,remote"
lukla,2022-01-11,14.9,-15.8,-7.3,14.9,-26.9,-13.2,-14.7,58.4,0.6,100,12.5,snow,0.7,22.3,24.5,29.2,19.1,1026.3,58.9,18.1,176.4,15.6,7,10,2022-01-11T06:50:20,2022-01-11T17:21:41,0.28,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"44462099999,remote"
lukla,2022-01-12,9.2,-15.7,-8.8,9.2,-25.9,-14.6,-13.7,69.5,2.9,100,33.33,snow,3.4,23.7,21.6,24.5,27.5,1024.1,91.3,11.9,140,12.3,6,10,2022-01-12T06:50:20,2022-01-12T17:22:28,0.31,"Snow, Overcast",Cloudy skies throughout the day with snow in the morning and afternoon.,snow,"44462099999,remote"
lukla,2022-01-13,15.1,-17.8,-9.5,15.1,-29.4,-16,-15.4,64.1,1.2,100,29.17,snow,2.1,26.5,24.1,28.1,17.6,1024.1,44.1,14.1,187.8,16.5,8,10,2022-01-13T06:50:18,2022-01-13T17:23:16,0.34,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"44462099999,remote"
lukla,2022-01-14,13.7,-16,-9.1,13.7,-27.1,-16.3,-16.9,55.3,0.7,100,16.67,snow,0.3,23.5,24.1,29.2,8.2,1024.5,26.3,18.9,153.6,13.3,6,10,2022-01-14T06:50:15,2022-01-14T17:24:04,0.38,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"44462099999,remote"
lukla,2022-01-15,12.9,-16.7,-9.9,12.9,-27.9,-16.9,-18.5,52.2,1.3,100,16.67,snow,1.2,22.5,27,30.6,16.2,1025.8,29.9,18.3,200.8,17.7,8,10,2022-01-15T06:50:11,2022-01-15T17:24:52,0.41,"Snow, Partially cloudy",Becoming cloudy in the afternoon with afternoon snow.,snow,"44462099999,remote"
lukla,2022-01-16,15.7,-16.4,-7.7,15.7,-28.9,-14.8,-17.4,47.3,0.1,100,4.17,snow,0,21.5,34.2,36.7,21.4,1027.3,7.6,21.3,207.6,18.2,8,10,2022-01-16T06:50:05,2022-01-16T17:25:40,0.44,Snow,Clear conditions throughout the day with afternoon snow.,rain,"44462099999,remote"
lukla,2022-01-17,15.4,-13.7,-6,15.4,-24.1,-11.2,-15.1,50.5,0.1,100,4.17,snow,0,20.4,23.4,28.1,23.6,1025.5,65.4,19.5,183.2,16.2,8,10,2022-01-17T06:49:57,2022-01-17T17:26:29,0.48,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,rain,"44462099999,remote"
lukla,2022-01-18,14.4,-14.6,-6.5,14.4,-23.7,-12.3,-11.8,67.7,4.1,100,20.83,snow,3.7,22.2,20.2,23.8,20.7,1022.4,72,14.5,164.7,14.3,7,10,2022-01-18T06:49:48,2022-01-18T17:27:18,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"44462099999,remote"
lukla,2022-01-19,14.2,-16,-8.2,14.2,-25.8,-14.2,-15.3,65.9,1,100,29.17,snow,0.8,23.6,19.8,22.3,27.6,1022,56,12,197.5,17.2,8,10,2022-01-19T06:49:37,2022-01-19T17:28:06,0.54,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"44462099999,remote"
lukla,2022-01-20,12.7,-16.1,-8.3,12.7,-26.2,-14.1,-12.1,80,7.7,100,66.67,snow,7.7,28.4,20.5,23,31.2,1017,92,4.3,140.2,12.4,6,10,2022-01-20T06:49:24,2022-01-20T17:28:55,0.58,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"44462099999,remote"
lukla,2022-01-21,8.7,-17.4,-10,8.7,-28.2,-16.3,-13.8,74.2,2.4,100,37.5,snow,1.6,29.7,23.4,25.9,23.5,1019.3,72.3,11.7,184.3,16.1,8,10,2022-01-21T06:49:10,2022-01-21T17:29:44,0.61,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"44462099999,remote"
lukla,2022-01-22,9.9,-17.7,-9.6,9.9,-28.9,-16,-14.8,67.7,1.4,100,20.83,snow,1,28.1,24.1,27.7,5.6,1018,44.6,13.8,195.3,17,8,10,2022-01-22T06:48:55,2022-01-22T17:30:33,0.65,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"44462099999,remote"
lukla,2022-01-23,10.1,-18.4,-10.6,10.1,-30.2,-17.8,-15.4,69.6,2.1,100,29.17,snow,1.8,29.2,24.5,28.1,2.5,1020.2,49,13.4,175.1,15.4,8,10,2022-01-23T06:48:38,2022-01-23T17:31:23,0.68,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"44462099999,remote"
lukla,2022-01-24,10.9,-18.9,-9.8,10.9,-30.6,-16.5,-15.3,66.4,2.6,100,29.17,snow,2.6,29.8,23.8,27.4,7.3,1020.9,50.7,12.9,191.5,16.8,8,10,2022-01-24T06:48:19,2022-01-24T17:32:12,0.72,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"44462099999,remote"
lukla,2022-01-25,11.9,-18,-10.9,11.9,-29.5,-18.1,-17.7,58.9,0.5,100,16.67,snow,0.1,27,23.4,27.4,3.3,1021.6,28.8,18.2,206.8,18.2,8,10,2022-01-25T06:47:59,2022-01-25T17:33:00,0.75,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"44462099999,remote"
lukla,2022-01-26,8.2,-18.3,-11.3,8.2,-29.2,-17.9,-16.8,66.7,3.3,100,41.67,"rain,snow",5.5,26.7,21.2,25.6,10.2,1020.9,50.7,11.8,188.6,16.6,8,10,2022-01-26T06:47:38,2022-01-26T17:33:49,0.79,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"44462099999,remote"
lukla,2022-01-27,11.1,-21,-12.6,11.1,-33.7,-20.4,-19.6,59,2.3,100,33.33,snow,1.4,27.1,25.2,29.5,16.2,1023.3,40,14,208.9,18.3,9,10,2022-01-27T06:47:15,2022-01-27T17:34:38,0.83,"Snow, Partially cloudy",Becoming cloudy in the afternoon with snow.,snow,"44462099999,remote"
