name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2022-01-01,17.8,4.4,9.9,17.8,4.4,9.8,2.3,61.7,0,0,0,,0,0,9,6.1,0.9,1029.1,36.7,13.8,53,4.6,2,,2022-01-01T08:38:02,2022-01-01T17:58:50,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08219099999,08213099999,08223099999,08222099999,D9945,08215099999"
madrid,2022-01-02,15.5,3.7,9.3,15.5,3.7,9.3,3.6,68.7,0,0,0,,0,0,12.6,8.2,9.4,1029.6,45.8,15.5,44.9,3.7,2,,2022-01-02T08:38:08,2022-01-02T17:59:41,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08219099999,08213099999,08223099999,08222099999,D9945,08215099999"
madrid,2022-01-03,14.7,4.2,8.9,14.7,4.2,8.9,5.9,82.2,0,0,0,,0,0,10.8,9.8,189.3,1026.4,48.7,13.2,46.9,4,2,,2022-01-03T08:38:11,2022-01-03T18:00:33,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08213099999,08223099999,08222099999,D9945,08215099999"
madrid,2022-01-04,12.1,3.3,7.4,12.1,1.9,6.2,5.6,88.7,6.888,100,20.83,rain,0,0,87.1,34.7,271.3,1015.9,74.3,9.5,15.4,1.4,1,,2022-01-04T08:38:13,2022-01-04T18:01:27,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2022-01-05,8.7,4.6,6,6.2,0.2,3.2,2,76.6,5.749,100,25,rain,0,0,62.6,24.3,291,1018,65,15.1,42.7,3.6,2,,2022-01-05T08:38:12,2022-01-05T18:02:22,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2022-01-06,7.6,1.1,4,7.6,0.1,3.6,1.3,83.2,0.12,100,8.33,rain,0,0,13,7.5,36.6,1020.4,33.2,14.7,61.6,5.3,2,,2022-01-06T08:38:09,2022-01-06T18:03:19,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2022-01-07,10.7,0.2,4.7,10.7,-1,4.1,-0.3,71.4,0,0,0,,0,0,29.2,13,6.8,1027.7,15.6,16,61.5,5.3,2,,2022-01-07T08:38:04,2022-01-07T18:04:17,0.15,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2022-01-08,7.6,0,3.3,5.4,-1.6,2.2,0.4,82.1,0,0,0,,0,0,19.4,21.6,311,1029.7,27.3,15.8,39.4,3.4,2,,2022-01-08T08:37:56,2022-01-08T18:05:16,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2022-01-09,13,3.1,8.5,13,-0.1,7,4.1,74.3,0,0,0,,0,0,79.6,31.3,287.8,1022.8,62.7,14.5,46.5,4,2,,2022-01-09T08:37:47,2022-01-09T18:06:17,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2022-01-10,15.1,7.1,11.4,15.1,5,10.9,6.7,74,0.001,100,4.17,rain,0,0,41.8,24.1,340.2,1020.8,55,16.5,63.2,5.5,2,10,2022-01-10T08:37:35,2022-01-10T18:07:18,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2022-01-11,15.1,5.6,9.8,15.1,5.6,9.8,4.4,70.3,0,0,0,,0,0,18,9,4.5,1024.3,9.1,16.4,63.1,5.3,2,10,2022-01-11T08:37:20,2022-01-11T18:08:21,0.29,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2022-01-12,11.9,3.3,7.2,11.9,2.9,6.7,-1.4,58.6,0,0,0,,0,0,26.3,11.3,30.1,1028.2,0.9,17.3,66.3,5.6,2,10,2022-01-12T08:37:04,2022-01-12T18:09:24,0.32,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
