name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
miami,2022-01-01,27.2,21,23.9,29,21,24.3,20.1,79.6,0,0,0,,0,0,42.3,23.4,141.4,1018.6,34,15,224,8.9,5,,2022-01-01T07:07:39,2022-01-01T17:41:25,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0878W,KHWO,72202412882,72203792809,KMIA,KOPF,72202012839"
miami,2022-01-02,28,21.8,24.3,30.1,21.8,24.8,20.2,78.3,0,0,0,,0,0,38.9,24.6,163,1018,32.7,16,322.1,12.6,6,,2022-01-02T07:07:54,2022-01-02T17:42:05,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0878W,KHWO,72202412882,72203792809,KMIA,KOPF,72202012839"
miami,2022-01-03,26.7,18.4,21.8,28.3,18.4,21.9,17.3,76.3,0.033,100,4.17,rain,0,0,29.5,21.9,281.4,1018.8,36.6,16,172.5,6.8,4,,2022-01-03T07:08:09,2022-01-03T17:42:46,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"0878W,KHWO,72202412882,72203792809,KMIA,KOPF,72202012839"
miami,2022-01-04,24.8,16.5,20.7,24.8,16.5,20.7,13.9,65.9,0,0,0,,0,0,35.3,19.7,41.5,1019.9,68.7,16,217.7,8.6,5,,2022-01-04T07:08:22,2022-01-04T17:43:28,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0878W,KHWO,72202412882,72203792809,KMIA,KOPF,72202012839"
miami,2022-01-05,26.2,20.1,22.7,26.2,20.1,22.7,18.9,79.7,1.921,100,8.33,rain,0,0,,15.7,155.9,1016,52.1,15.9,138.8,5.5,4,,2022-01-05T07:08:34,2022-01-05T17:44:11,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"0878W,KHWO,72202412882,72203792809,KMIA,KOPF,72202012839"
miami,2022-01-06,26.4,16.8,21.2,26.4,16.8,21.2,15.7,72.8,0,0,0,,0,0,,13.2,313.8,1016.6,28.2,16,276.7,11.9,6,,2022-01-06T07:08:44,2022-01-06T17:44:54,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0878W,0081W,KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839"
miami,2022-01-07,27.9,21.2,23.9,29.5,21.2,24.2,20,79.6,0,0,0,,0,0,,16.3,18,1019.2,64.2,16,133.4,5.8,3,,2022-01-07T07:08:53,2022-01-07T17:45:37,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"0878W,KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839"
miami,2022-01-08,26,22.5,24,26,22.5,24,19.8,77.4,1.838,100,20.83,rain,0,0,40.7,25.9,62.1,1024.7,68,15.9,148.6,5.9,3,,2022-01-08T07:09:00,2022-01-08T17:46:21,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"0878W,KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839"
miami,2022-01-09,25.6,22.1,23.6,25.6,22.1,23.6,20.1,81.3,7.111,100,50,rain,0,0,42.5,31.1,90.3,1025.1,90.2,15.6,132.1,5.2,3,,2022-01-09T07:09:06,2022-01-09T17:47:05,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"0878W,KHWO,72202412882,72203792809,0235W,KMIA,KOPF,72202012839"
miami,2022-01-10,26.9,21.4,23.8,28.2,21.4,23.9,20.1,80.6,0.205,100,4.17,rain,0,0,37.1,12.4,61,1021.6,63.7,15.8,166.3,9.5,6,30,2022-01-10T07:09:10,2022-01-10T17:47:50,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"0878W,KHWO,72202412882,72203792809,KMIA,KOPF,72202012839"
