name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
milwaukee,2022-01-01,0.4,-6.9,-3.4,-3.6,-14.7,-10.2,-6.4,79.7,3.309,100,33.33,snow,3.5,2.4,62.1,32.2,357,1012.8,100,9.1,14.6,0.5,0,,2022-01-01T07:23:15,2022-01-01T16:27:34,0.96,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"KENW,F2905,72640014839,KRAC,D0835,KMWC,KMKE,72642494818"
milwaukee,2022-01-02,-3.9,-10.8,-7.3,-8.4,-16.2,-13.4,-12.8,65.2,0.51,100,12.5,snow,1.8,5.8,38.9,25.1,326.3,1022.3,56.5,13.8,32.6,1.1,1,,2022-01-02T07:23:18,2022-01-02T16:28:28,0,"Snow, Partially cloudy",Clearing in the afternoon with early morning snow.,snow,"KENW,72640014839,KRAC,D0835,KMWC,KMKE,72642494818"
milwaukee,2022-01-03,-5.1,-14.6,-9.5,-11.7,-20.3,-15.5,-16.2,58.8,0,0,0,,0,5.1,44.6,27.1,229.7,1026.2,26.2,16,46.4,1.7,1,,2022-01-03T07:23:19,2022-01-03T16:29:23,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KENW,72640014839,KRAC,D0835,KMWC,KMKE,72642494818"
milwaukee,2022-01-04,1.2,-7.3,-2.4,-3.4,-13.2,-7.7,-8.4,63.6,0,0,0,,0,4.5,48.2,24,189.5,1012.9,72.1,16,76.4,2.8,1,,2022-01-04T07:23:17,2022-01-04T16:30:20,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KENW,72640014839,KRAC,D0835,KMWC,KMKE,72642494818"
milwaukee,2022-01-05,0.9,-9.5,-5.9,-3.7,-19,-13.9,-11.1,66.8,0,0,0,,0,4,68.9,39,255.1,1003.3,97.5,13.4,64.7,2.2,1,,2022-01-05T07:23:12,2022-01-05T16:31:19,0.1,Overcast,Cloudy skies throughout the day.,cloudy,"KENW,72640014839,KRAC,D0835,KMWC,KMKE,72642494818"
milwaukee,2022-01-06,-8.4,-13.7,-10.2,-16,-22.9,-18.3,-15.3,66.7,0,0,0,,0.4,4.2,47.9,25.6,291.8,1017.7,78,14.6,55.9,2,1,,2022-01-06T07:23:05,2022-01-06T16:32:19,0.13,Partially cloudy,Partly cloudy throughout the day.,snow,"KENW,72640014839,KRAC,D0835,KMWC,KMKE,72642494818"
milwaukee,2022-01-07,-6.8,-16.1,-12.4,-10.7,-25.4,-19.6,-18.8,59.3,0,0,0,,0,4.2,35.3,21.1,269.8,1025.8,43.6,16,30,1,1,,2022-01-07T07:22:56,2022-01-07T16:33:21,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KENW,72640014839,KRAC,D0835,KMWC,KMKE,72642494818"
milwaukee,2022-01-08,-0.7,-10.7,-5.4,-4,-18.8,-11.7,-11.3,64.4,0,0,0,,0,3.6,47.9,23.5,188.7,1019.8,83.9,13.8,53.8,1.9,1,,2022-01-08T07:22:44,2022-01-08T16:34:24,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KENW,72640014839,KRAC,D0835,D8359,KMWC,KMKE,72642494818"
milwaukee,2022-01-09,-0.2,-12,-6.5,-4.8,-20.1,-13.8,-14.3,55.3,0,0,0,,0,3.4,61.8,37.4,287.4,1025.5,45.4,15.2,30.6,1.1,1,,2022-01-09T07:22:30,2022-01-09T16:35:29,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KENW,72640014839,KRAC,D0835,KMWC,KMKE,72642494818"
milwaukee,2022-01-10,-11.6,-16.3,-13.5,-18,-24.6,-21.7,-23.8,42.2,0,0,0,,0,3.2,42,27.2,296.9,1034.2,22.1,16,30.8,1.1,1,,2022-01-10T07:22:13,2022-01-10T16:36:35,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KENW,72640014839,KRAC,D0835,KMWC,KMKE,72642494818"
