name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
minneapolis,2022-01-01,-17.5,-23.6,-21.4,-26.7,-34.6,-30.7,-26.9,61.3,0,0,0,,0.1,2.5,33.5,20.5,327.4,1024.6,25.8,16,139.6,5,3,,2022-01-01T07:51:24,2022-01-01T16:42:18,0.96,Partially cloudy,Partly cloudy throughout the day.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2022-01-02,-15.7,-25.7,-20.7,-19.8,-31.9,-25.5,-25.5,65.6,0,0,0,,0,2.5,,11.9,224.7,1027.1,8.2,15.8,197.4,7.1,4,,2022-01-02T07:51:25,2022-01-02T16:43:14,0,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2022-01-03,-3.5,-16.1,-9.9,-3.7,-23.2,-14.2,-14.7,68.6,0,0,0,,0,2.5,,13.4,150.9,1020.7,16.4,16,132.3,4.7,4,,2022-01-03T07:51:23,2022-01-03T16:44:12,0.03,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2022-01-04,0.1,-9,-3.9,-3,-14.6,-8.6,-7.9,74.2,0,0,0,,0.5,2.6,53.6,27.5,112.3,1004.6,54.7,14.9,92,3.4,2,,2022-01-04T07:51:18,2022-01-04T16:45:12,0.06,Partially cloudy,Becoming cloudy in the afternoon.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2022-01-05,-5.9,-15.6,-11.2,-13.7,-24.7,-20.3,-15,73.7,1.045,100,33.33,snow,0.6,3.2,56,31.9,317.6,1010.6,99.5,5.9,114.1,4.1,3,,2022-01-05T07:51:11,2022-01-05T16:46:13,0.1,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2022-01-06,-16,-22.1,-20.1,-24.9,-33.8,-29.8,-25,65.3,0.29,100,8.33,snow,0.2,3.7,35.3,23.1,312.5,1026.7,61.5,14.7,175.1,7,4,,2022-01-06T07:51:02,2022-01-06T16:47:17,0.13,"Snow, Partially cloudy",Clearing in the afternoon with early morning snow.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2022-01-07,-11.3,-26.9,-20.6,-21.7,-34.5,-28.2,-25.5,65.3,0,0,0,,0,3.6,61.3,36.2,160.7,1024.7,38.4,15.3,114.5,6.5,4,,2022-01-07T07:50:49,2022-01-07T16:48:21,0.16,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2022-01-08,-2.1,-12.4,-6.7,-5.3,-22.6,-14.1,-11.9,66.9,0,0,0,,0,2.9,61.2,38.3,195,1011.6,53.6,16,73.5,3.1,2,,2022-01-08T07:50:34,2022-01-08T16:49:28,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HPN07,F0824,KSTP,HPN21,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2022-01-09,-14.7,-20,-16.9,-23.5,-30.4,-26.6,-23.6,56.6,0,0,0,,0,2.6,50.5,29.5,287.4,1032.7,19.9,16,205.9,7.5,4,,2022-01-09T07:50:17,2022-01-09T16:50:36,0.25,Clear,Clear conditions throughout the day.,clear-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2022-01-10,-15.3,-21.8,-18.4,-16.5,-30.9,-25.4,-25.4,54.8,0,0,0,,0.7,3.1,19.4,17,304.6,1037.7,24.8,16,129.7,7.5,4,10,2022-01-10T07:49:57,2022-01-10T16:51:45,0.26,Partially cloudy,Partly cloudy throughout the day.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
