name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
munich,2022-01-01,13,1.8,8.3,13,-1,7.4,3.7,73.5,0,0,0,,0,0,,16.5,223.3,1028.1,45,41.5,48.2,4.2,2,,2022-01-01T08:04:13,2022-01-01T16:30:29,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D1024,06346,02319,07431,F5940,01262,01103,remote,03379"
munich,2022-01-02,15.4,1.8,9,15.4,0.5,8.5,0,57.6,0,0,0,,0,0,,22.4,234.3,1021.5,77.6,34.4,36.9,3.1,2,,2022-01-02T08:04:11,2022-01-02T16:31:28,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D1024,06346,02319,07431,01262,D5222,01103,03379"
munich,2022-01-03,12.3,9,10.3,12.3,7.2,9.6,2.8,59.7,0,0,0,,0,0,,28.3,246.8,1017,95.1,,24.9,2.1,1,,2022-01-03T08:04:05,2022-01-03T16:32:30,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"D1024,06346,02319,07431,F5940,01262,01103,03379"
munich,2022-01-04,16.1,5.6,10.6,16.1,3.8,9.7,4.8,68.6,3.252,100,79.17,rain,0,0,,30.9,250.1,1001.7,96.3,39,23.6,2,1,,2022-01-04T08:03:57,2022-01-04T16:33:34,0.06,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D1024,06346,02319,07431,F5940,01262,01103,03379"
munich,2022-01-05,4.7,0.4,2,2.9,-5.1,-2.2,-1.5,78.5,8.606,100,58.33,"rain,snow",0.2,0.1,,24.7,260.2,1008.8,92.3,32.6,16.5,1.3,1,,2022-01-05T08:03:46,2022-01-05T16:34:40,0.09,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"D1024,06346,02319,07431,F5940,01262,D5222,01103,03379"
munich,2022-01-06,2.2,-0.4,0.6,-0.4,-5.3,-3.2,-2.8,78.4,0.711,100,37.5,"rain,snow",0.1,0.2,,20.8,251.2,1019.8,55.7,36.8,33,2.9,2,,2022-01-06T08:03:32,2022-01-06T16:35:47,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"D1024,06346,02319,07431,F5940,01262,01103,03379"
munich,2022-01-07,1.2,-3.9,-1.2,-1.4,-5.8,-3.6,-4.3,80.3,1.962,100,29.17,"rain,snow",2.3,0.9,,15.4,228.3,1020.8,61.3,30.3,35.8,3,2,,2022-01-07T08:03:15,2022-01-07T16:36:57,0.15,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"D1024,06346,02319,07431,01262,01103,03379"
munich,2022-01-08,1.6,-1.7,0.4,-1.7,-5,-3.2,-3.1,77.5,1.168,100,29.17,"rain,snow",1.3,3,,25,222.8,1013.9,42.7,31,33.8,2.8,2,,2022-01-08T08:02:55,2022-01-08T16:38:09,0.19,"Snow, Rain, Partially cloudy",Clearing in the afternoon with a chance of rain or snow throughout the day.,snow,"D1024,06346,02319,07431,01262,01103,03379"
munich,2022-01-09,4.1,0.3,2.1,0.4,-3.7,-1.7,-1.5,77.4,2.437,100,54.17,"rain,snow",0,1.1,,30,231,1004.6,97.9,34.4,28.8,2.6,2,,2022-01-09T08:02:33,2022-01-09T16:39:23,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"D1024,06346,02319,07431,F5940,01262,01103,03379"
munich,2022-01-10,2,0.7,1.2,1.8,-1.6,-0.5,-0.9,85.6,0.034,100,20.83,"rain,snow",0.2,0.3,16.2,11.1,318.8,1019.9,85,27.3,16.4,1.4,1,10,2022-01-10T08:02:07,2022-01-10T16:40:38,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"D1024,06346,02319,07431,F5940,01262,01103,03379"
