name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
nanjing,2022-01-01,8,-1,4.8,8,-1,3.5,-0.9,67.7,0,0,0,,0,0,27,14.4,121.1,1028.3,34.6,8.8,104.2,8.9,4,,2022-01-01T07:05:40,2022-01-01T17:11:11,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58238099999,ZSNJ"
nanjing,2022-01-02,11,-5,3.3,11,-5,2.4,-1.9,72.5,0,0,0,,0,0,22.3,14.4,76.8,1029.1,6.8,4.1,133.9,11.6,5,,2022-01-02T07:05:53,2022-01-02T17:11:55,0.98,Clear,Clear conditions throughout the day.,clear-day,"58238099999,ZSNJ"
nanjing,2022-01-03,13,-2,5.1,13,-4.8,4.2,0.3,74.6,0,0,0,,0,0,22.3,10.8,84,1025.7,8.5,3.1,130.3,11.2,5,,2022-01-03T07:06:04,2022-01-03T17:12:40,0,Clear,Clear conditions throughout the day.,clear-day,"58238099999,ZSNJ"
nanjing,2022-01-04,10,0,5.7,7.3,-1.3,3.4,2.9,82.6,7,100,8.33,rain,0,0,35.6,25.2,73.7,1025.1,41.4,3,74.7,6.6,3,,2022-01-04T07:06:14,2022-01-04T17:13:25,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"58238099999,ZSNJ"
nanjing,2022-01-05,8,3,5.5,5.5,0.2,3,4.7,94.9,20.2,100,20.83,rain,0,0,41.8,22.3,50.9,1023.8,100,5.1,20.3,1.8,1,,2022-01-05T07:06:21,2022-01-05T17:14:12,0.08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"58238099999,ZSNJ"
nanjing,2022-01-06,8,3,5.6,5.7,1,3.6,1.5,76,0,0,0,,0,0,27.4,18,55.1,1031.7,77.9,9.7,84.1,7.3,4,,2022-01-06T07:06:27,2022-01-06T17:15:00,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58238099999,ZSNJ"
nanjing,2022-01-07,9,1,4.8,8.6,-1.3,3.9,0.3,74.5,0,0,0,,0,0,22,10.8,56,1031.3,37.6,6.1,92.4,8.1,4,,2022-01-07T07:06:32,2022-01-07T17:15:48,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58238099999,ZSNJ"
nanjing,2022-01-08,10,2,6.2,10,2,5.8,1.6,72.9,0,0,0,,0,0,17.6,8.5,48.9,1027.3,61.2,6.3,69.2,6,3,,2022-01-08T07:06:34,2022-01-08T17:16:38,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58238099999,ZSNJ"
nanjing,2022-01-09,7.5,5,5.9,7.5,4.5,5.7,2.5,79.1,0,0,0,,0,0,17.6,7.2,69.7,1024.5,92.6,3.4,92.1,7.9,4,,2022-01-09T07:06:35,2022-01-09T17:17:28,0.21,Overcast,Cloudy skies throughout the day.,cloudy,"58238099999,ZSNJ"
nanjing,2022-01-10,8,4,5.7,8,2.2,5.1,3.4,85.3,0.8,100,8.33,rain,0,0,29.9,7.3,329.3,1023.7,95.4,2.7,74.4,6.4,3,10,2022-01-10T07:06:34,2022-01-10T17:18:19,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"58238099999,ZSNJ"
nanjing,2022-01-11,8,0.7,4.4,8,-1.3,2.8,-0.8,70.5,0,0,0,rain,0,0,29.9,15.1,50.9,1028.4,56.2,4.8,156.3,13.8,5,10,2022-01-11T07:06:31,2022-01-11T17:19:10,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58238099999,ZSNJ"
nanjing,2022-01-12,10,-2,2.8,8.7,-5.9,1.7,-2.6,70.1,0,0,0,,0,0,23.4,10.8,129.3,1025.1,2.6,6.6,158,13.8,5,10,2022-01-12T07:06:27,2022-01-12T17:20:02,0.31,Clear,Clear conditions throughout the day.,clear-day,"58238099999,ZSNJ"
nanjing,2022-01-13,6,-2.3,2.7,4.5,-4.7,0.5,-7.1,53,0,0,0,,0,0,42.5,17.6,356.8,1029.6,36.7,8.6,157.7,13.8,5,10,2022-01-13T07:06:21,2022-01-13T17:20:55,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58238099999,ZSNJ"
nanjing,2022-01-14,5,-5,1.1,4,-8.3,-0.5,-5.3,64.5,10,100,4.17,"rain,snow",0,0,31.7,21.6,117.2,1026.3,40.7,9.2,97.4,8.7,3,10,2022-01-14T07:06:13,2022-01-14T17:21:48,0.37,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"58238099999,ZSNJ"
nanjing,2022-01-15,11,2,5.6,11,-0.1,5.1,0.3,70.9,0,0,0,,0,0,19.1,10.8,247.2,1024.2,19.4,4.2,142.5,12.5,4,10,2022-01-15T07:06:03,2022-01-15T17:22:41,0.41,Clear,Clear conditions throughout the day.,clear-day,"58238099999,ZSNJ"
nanjing,2022-01-16,10,4,6.6,7.7,2.2,4.8,1.6,71.5,0,0,0,,0,0,27,18,73.6,1028,25.8,3.6,132.5,11.7,4,10,2022-01-16T07:05:52,2022-01-16T17:23:35,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58238099999,ZSNJ"
nanjing,2022-01-17,11.5,3,6.9,11.5,1,5.7,2.8,76.1,0,0,0,,0,0,28.1,14,67,1028.3,33.7,3.7,130.8,11.5,4,10,2022-01-17T07:05:38,2022-01-17T17:24:29,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58238099999,ZSNJ"
nanjing,2022-01-18,13,2,6.4,13,-1.1,4.9,2.1,75.6,0,0,0,,0,0,30.6,18,93.2,1026.7,15.7,6.6,155.4,13.5,5,10,2022-01-18T07:05:23,2022-01-18T17:25:24,0.5,Clear,Clear conditions throughout the day.,clear-day,"58238099999,ZSNJ"
nanjing,2022-01-19,13,-1,6.1,13,-1,5.7,2.5,79.3,0,0,0,,0,0,28.4,16.7,50.3,1024.8,24.6,2.6,153.7,13.5,5,10,2022-01-19T07:05:06,2022-01-19T17:26:19,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58238099999,ZSNJ"
