name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new orleans,2022-01-01,27.2,24.3,25.5,30,24.3,26.1,22.5,83.8,0.002,100,4.17,rain,0,0,48.3,27.8,179.4,1010.7,92.8,14.5,88.7,4.1,2,,2022-01-01T06:56:17,2022-01-01T17:11:51,0.96,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"KNEW,72231553917,F1622,KNBG,KMSY,TS947,K7N0,72231612958"
new orleans,2022-01-02,25.6,2.9,16.7,25.6,-2.1,15.6,13.7,82.3,5.402,100,20.83,rain,0,0,51.9,29.7,288.9,1015.1,92.2,14.5,64.2,3,2,,2022-01-02T06:56:30,2022-01-02T17:12:34,0,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KNEW,72231553917,F1622,KNBG,KMSY,E6362,TS947,K7N0,72231612958"
new orleans,2022-01-03,10,2.3,5.8,8.4,-1.9,3.2,-0.8,63.7,0,0,0,,0,0,37.1,18.4,350.4,1028.6,47.9,16,176.2,8,5,,2022-01-03T06:56:42,2022-01-03T17:13:18,0.03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KNEW,72231553917,F1622,KNBG,KMSY,TS947,K7N0,72231612958"
new orleans,2022-01-04,14.3,3.8,8.7,14.3,1.4,7.7,4.2,74.8,0,0,0,,0,0,,11.2,73.7,1024.7,17.8,15.3,127.5,5.3,5,,2022-01-04T06:56:52,2022-01-04T17:14:03,0.06,Clear,Clear conditions throughout the day.,clear-day,"KNEW,72231553917,F1622,KNBG,KMSY,TS947,K7N0,72231612958"
new orleans,2022-01-05,19.3,12.2,15.9,19.3,12.2,15.9,10.9,72.5,0,0,0,,0,0,,11.1,118.8,1017,82.8,16,81.2,3.5,2,,2022-01-05T06:57:01,2022-01-05T17:14:49,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KNEW,72231553917,F1622,KNBG,KMSY,TS947,K7N0,72231612958"
new orleans,2022-01-06,23.4,8.3,17,23.4,6.2,16.8,13.7,81.5,0.602,100,8.33,rain,0,0,44.6,16.7,149.3,1015,39.8,15.7,127.6,6.2,4,,2022-01-06T06:57:08,2022-01-06T17:15:35,0.13,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"KNEW,72231553917,F1622,KNBG,KMSY,TS947,K7N0,72231612958"
new orleans,2022-01-07,12.3,5,8.2,12.3,2.4,6.5,3.9,74.6,0,0,0,,0,0,31.7,22.3,42.7,1023.9,73,16,103.8,4.7,2,,2022-01-07T06:57:13,2022-01-07T17:16:22,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KNEW,72231553917,F1622,KNBG,KMSY,TS947,K7N0,72231612958"
new orleans,2022-01-08,19.9,12.9,16.3,19.9,12.9,16.3,13,81.4,0.001,100,4.17,rain,0,0,27.7,18.4,88.1,1024,62.6,15.8,91.8,4.3,2,,2022-01-08T06:57:16,2022-01-08T17:17:10,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KNEW,72231553917,F1622,KNBG,KMSY,E6362,TS947,K7N0,72231612958"
new orleans,2022-01-09,26.7,19.3,22.2,28.4,19.3,22.4,19.1,83.9,0.003,100,12.5,rain,0,0,38.9,18.4,166,1022.9,79.8,12,107.1,5.1,3,,2022-01-09T06:57:18,2022-01-09T17:17:58,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KNEW,72231553917,F1622,KNBG,KMSY,TS947,K7N0,72231612958"
new orleans,2022-01-10,18.3,9.3,12.4,18.3,6.5,11.9,3.2,57.8,0.8,100,12.5,rain,0,0,48.5,22.3,13.5,1029.8,37.6,16,99.6,6.1,4,10,2022-01-10T06:57:19,2022-01-10T17:18:47,0.26,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KNEW,72231553917,F1622,KMSY,KNBG,TS947,K7N0,72231612958"
