name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
nice,2022-01-01,13.7,8,10.9,13.7,5,10.1,6.9,76.7,0.008,100,4.17,rain,0,0,25.1,18.3,331.6,1027,94.6,24.6,67.5,0.5,1,,2022-01-01T08:04:43,2022-01-01T17:04:22,0.95,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"07684099999,LFMD,E5975,07690099999,16153099999,LFMN,07675099999"
nice,2022-01-02,12.9,8,10.5,12.9,5.4,9.7,6.5,76.6,0,0,0,,0,0,32.2,19.4,326.2,1026.4,87.1,24.5,66.2,2.1,1,,2022-01-02T08:04:46,2022-01-02T17:05:16,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07684099999,LFMD,E5975,07690099999,16153099999,LFMN,07675099999"
nice,2022-01-03,13.9,7.1,9.6,13.9,3.6,7.6,6.4,80.8,0.009,100,4.17,rain,0,0,32.7,24.2,339.8,1019.8,74.1,18.6,134.2,4.8,3,,2022-01-03T08:04:47,2022-01-03T17:06:12,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07684099999,LFMD,E5975,07690099999,16153099999,LFMN,07675099999"
nice,2022-01-04,12.1,6.1,9.4,12.1,2.9,7.8,6,79.8,0.009,100,4.17,rain,0,0,27.1,19.6,329.4,1011.9,75.3,16.4,91.1,2.6,2,,2022-01-04T08:04:44,2022-01-04T17:07:10,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07684099999,LFMD,E5975,07690099999,16153099999,LFMN,07675099999"
nice,2022-01-05,14.6,9,12,14.6,5.9,11.8,8.2,77.6,9.48,100,29.17,rain,0,0,54.5,39.9,16.7,1000.7,76.9,19.2,141.7,4.7,4,,2022-01-05T08:04:40,2022-01-05T17:08:09,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07684099999,LFMD,E5975,07690099999,16153099999,LFMN,07675099999"
nice,2022-01-06,14.6,5.7,8.5,14.6,2.2,6.4,1.7,63.6,1.162,100,12.5,rain,0,0,33,21.4,324.3,1009.8,46.1,27,169.9,5.4,4,,2022-01-06T08:04:33,2022-01-06T17:09:10,0.12,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"07684099999,LFMD,E5975,07690099999,16153099999,LFMN,07675099999"
nice,2022-01-07,13.7,3.9,7.2,13.7,0.2,4.6,-3.3,47.8,0,0,0,,0,0,44.2,27.1,318.9,1017.1,26.9,29,179.2,6.4,4,,2022-01-07T08:04:23,2022-01-07T17:10:12,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07684099999,LFMD,E5975,07690099999,16153099999,LFMN,07675099999"
nice,2022-01-08,12.8,3.8,7.6,12.8,-0.8,5.6,0.4,61.1,0,0,0,,0,0,34.5,24.1,336.6,1013.4,28.4,31.7,174.5,6.3,4,,2022-01-08T08:04:11,2022-01-08T17:11:16,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07684099999,LFMD,E5975,07690099999,16153099999,LFMN,07675099999"
nice,2022-01-09,14.2,5.4,10.3,14.2,2.6,9.5,-2,45.2,0,0,0,,0,0,67.5,49.8,299.1,1004.2,33.9,32.2,176.4,5.1,4,,2022-01-09T08:03:56,2022-01-09T17:12:21,0.25,Partially cloudy,Partly cloudy throughout the day.,wind,"07684099999,LFMD,E5975,07690099999,16153099999,LFMN,07675099999"
nice,2022-01-10,13.6,4.8,8,13.6,0.6,5.8,-2.7,47.1,0,0,0,,0,0,35.9,23.1,326,1009.9,30.1,31.7,108.8,5.5,4,10,2022-01-10T08:03:39,2022-01-10T17:13:28,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07684099999,LFMD,E5975,07690099999,16153099999,LFMN,07675099999"
