name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
omaha,2022-01-01,-12.1,-16.8,-15.3,-23.2,-29.4,-26.8,-20.2,66.7,0.925,100,20.83,snow,1.1,0.3,56.6,39,350.5,1020.8,89.7,12.4,45.6,1.7,1,,2022-01-01T07:49:38,2022-01-01T17:05:28,0.96,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"E6254,KOFF,F7499,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-02,-10.8,-21.5,-15.8,-16,-28.5,-21.9,-21.3,63.5,0,0,0,,3.5,3.1,,22.7,190.3,1028.3,9.5,16,242.6,8.5,4,,2022-01-02T07:49:43,2022-01-02T17:06:20,0,Clear,Clear conditions throughout the day.,snow,"E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-03,2.3,-14.5,-6.5,-2.4,-22.1,-12.8,-11.1,70,0,0,0,,0.1,3.2,37.1,22.3,146.6,1023,17.1,16,204.8,8.2,4,,2022-01-03T07:49:45,2022-01-03T17:07:13,0.03,Clear,Clear conditions throughout the day.,snow,"C3318,E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-04,5.9,-8.4,-0.2,3.7,-19.7,-6.3,-6.4,63.9,0,0,0,,0,2.1,87.4,52.4,225.8,1007.1,59.6,16,160.8,6.2,3,,2022-01-04T07:49:45,2022-01-04T17:08:08,0.06,Partially cloudy,Partly cloudy throughout the day.,wind,"E6254,KOFF,HITI4,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-05,-10,-15,-12,-18.8,-27.7,-22.7,-19.8,52.5,0,0,0,,0,0.6,75.1,46.1,317.1,1021.1,41.7,16,169.3,6.1,3,,2022-01-05T07:49:43,2022-01-05T17:09:05,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-06,-13.4,-18.3,-15.9,-21.2,-29.2,-25.2,-22.3,58.5,0,0,0,,0,0.5,43.6,30.3,325.4,1029.5,45.5,16,228.1,8,4,,2022-01-06T07:49:38,2022-01-06T17:10:03,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-07,-6.2,-16.1,-10.4,-14.7,-22.3,-18.1,-18.3,52.4,0,0,0,,0,0.5,48.1,35.2,158.3,1022.4,79.3,16,193.7,7.5,4,,2022-01-07T07:49:31,2022-01-07T17:11:02,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C3318,E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-08,2.5,-7.2,-2.5,0.2,-15.9,-8.2,-6.4,74.7,0,0,0,,0,0.5,59,38.4,166.5,1012.5,71.1,14.6,61.2,2.2,1,,2022-01-08T07:49:22,2022-01-08T17:12:03,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-09,-3.9,-13.3,-8.2,-7.6,-21.8,-15.1,-16.9,50.6,0,0,0,,0,0.4,49.6,34.5,327.4,1035.2,22.5,16,211.5,8.2,4,,2022-01-09T07:49:11,2022-01-09T17:13:05,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-10,0.5,-9.5,-5.1,0.5,-15.5,-8.7,-12.8,56.2,0,0,0,,0,0.4,20.5,18.1,108.8,1035.2,9.5,16,216,8.5,4,,2022-01-10T07:48:57,2022-01-10T17:14:08,0.26,Clear,Clear conditions throughout the day.,clear-day,"E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-11,11.4,-6.6,1.3,11.4,-13.2,-2.2,-7.2,56.1,0,0,0,,0,0.2,37.1,23.3,172.4,1022.9,47.8,16,218.9,7.8,4,,2022-01-11T07:48:41,2022-01-11T17:15:12,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-12,13.6,-2.7,4.1,13.6,-7,2.4,-5,53.9,0,0,0,,0,0,29.5,19.9,316.3,1017.6,68.6,16,194.8,7.1,3,,2022-01-12T07:48:23,2022-01-12T17:16:17,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-13,12,0.9,5.6,12,-2.4,3.4,-1.9,59.5,0,0,0,,0,0,35.3,24.8,337.9,1017.6,51.3,16,203.5,8,4,,2022-01-13T07:48:02,2022-01-13T17:17:24,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E6254,KOFF,F7499,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-14,2.3,-5.6,-0.3,0.8,-14.9,-4.8,-2,88.6,5.14,100,41.67,"rain,snow",1.3,0.4,66,43.2,15.6,1016.4,96.6,8.3,33.1,1.2,1,,2022-01-14T07:47:39,2022-01-14T17:18:31,0.39,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-15,-6.2,-14.4,-10.2,-12.9,-20.6,-17.8,-13.3,78,1.905,100,16.67,snow,6.8,5.7,57.9,42,0.7,1029.1,52.7,12.5,199.6,7.9,4,,2022-01-15T07:47:14,2022-01-15T17:19:39,0.43,"Snow, Partially cloudy",Clearing in the afternoon with early morning snow.,snow,"E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-16,3.4,-15.6,-5.5,-0.1,-23.6,-11.2,-8.9,77.9,0,0,0,,0.1,7.8,40.7,21.9,74.5,1016.6,44.6,16,198.5,7.8,4,,2022-01-16T07:46:47,2022-01-16T17:20:48,0.46,Partially cloudy,Partly cloudy throughout the day.,snow,"E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-17,3.6,-6.3,-1.4,0,-9.1,-5.1,-3.6,85,0,0,0,,0,6.7,,20.3,149.6,1014.4,38.1,15.3,173.5,6.8,3,,2022-01-17T07:46:17,2022-01-17T17:21:58,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-18,7.6,-3.6,1.6,6.2,-8.5,-2.4,-2.1,77.6,0,0,0,,0,4.8,56.8,40.5,69.7,1008.1,46.6,15.9,210.6,8.4,5,,2022-01-18T07:45:46,2022-01-18T17:23:09,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E6254,KOFF,F7499,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-19,-3.1,-14.8,-10.1,-11.6,-23.2,-19.6,-16.8,58.4,0,0,0,,0,2.7,55.8,41.8,344.1,1031.2,71.9,16,180.2,7.2,4,,2022-01-19T07:45:12,2022-01-19T17:24:20,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
omaha,2022-01-20,-9.5,-18.7,-14.7,-9.5,-25.6,-19.8,-20.4,62.8,0,0,0,,0,2.5,31.7,17.7,17.1,1040.2,1,16,259.3,10.3,5,,2022-01-20T07:44:36,2022-01-20T17:25:32,0.6,Clear,Clear conditions throughout the day.,clear-day,"E6254,KOFF,72549704908,KMLE,KOMA,72550014942,KCBF"
