name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
orlando,2022-01-01,28.8,20.4,23.6,29.5,20.4,23.8,18.6,75.6,0,0,0,,0,0,,17.3,193.4,1018.1,10,12.8,330.4,13.1,6,,2022-01-01T07:18:18,2022-01-01T17:40:12,0.96,Clear,Clear conditions throughout the day.,clear-day,"72205312841,72205712854,D4166,72205012815,KISM,KORL,KMCO"
orlando,2022-01-02,28.8,20.5,24,30,20.5,24.2,19.4,77,0,0,0,,0,0,33.5,22.3,207.4,1016.9,37,15.8,199.9,8.1,4,,2022-01-02T07:18:32,2022-01-02T17:40:54,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72205312841,72205712854,D4166,72205012815,KISM,KORL,KMCO"
orlando,2022-01-03,23.2,12.8,19,23.2,12.8,19,10.1,59.6,0.176,100,8.33,rain,0,0,50,31.4,284.7,1019.1,20.8,15.9,357,14.1,7,,2022-01-03T07:18:45,2022-01-03T17:41:37,0.03,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"72205312841,72205712854,D4166,72205012815,KISM,KORL,KMCO"
orlando,2022-01-04,23.7,10,16.7,23.7,10,16.7,11,70.2,0,0,0,,0,0,,23.4,32.2,1022.3,18.2,16,281.3,11.2,5,,2022-01-04T07:18:56,2022-01-04T17:42:21,0.06,Clear,Clear conditions throughout the day.,clear-day,"72205312841,1341W,72205712854,D4166,72205012815,KISM,KORL,KMCO"
orlando,2022-01-05,25.6,15,19.8,25.6,15,19.8,15,75.4,0,0,0,,0,0,,16.3,283.4,1017,73.4,16,197.7,7.9,5,,2022-01-05T07:19:06,2022-01-05T17:43:05,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72205312841,72205712854,D4166,72205012815,KISM,KORL,KMCO"
orlando,2022-01-06,23.3,14.3,18.9,23.3,14.3,18.9,10.4,59.6,0,0,0,,0,0,,12.6,307.8,1016.6,39.6,16,337.5,13.4,6,,2022-01-06T07:19:14,2022-01-06T17:43:51,0.13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72205312841,72205712854,D4166,72205012815,KISM,KORL,KMCO"
orlando,2022-01-07,25,14.3,19.7,25,14.3,19.7,13.7,68.6,0.439,100,8.33,rain,0,0,,23,1.2,1020.4,40.7,16,317.9,12.5,6,,2022-01-07T07:19:20,2022-01-07T17:44:36,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72205312841,72205712854,D4166,72205012815,KISM,KORL,KMCO"
orlando,2022-01-08,26.2,13.7,19.1,26.2,13.7,19.1,12.9,68.7,0,0,0,,0,0,,25.2,74.9,1027.6,9.7,16,303,12.2,6,,2022-01-08T07:19:25,2022-01-08T17:45:23,0.19,Clear,Clear conditions throughout the day.,clear-day,"72205312841,72205712854,D4166,72205012815,KISM,KORL,KMCO"
orlando,2022-01-09,27.7,16.3,21.8,28.6,16.3,22,16.8,75,0,0,0,,0,0,33.5,23.3,119.2,1026.6,32.8,16,273.2,10.8,6,,2022-01-09T07:19:29,2022-01-09T17:46:10,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72205312841,72205712854,D4166,72205012815,KISM,KORL,KMCO"
orlando,2022-01-10,26.1,16.7,20.8,26.1,16.7,20.8,17.4,81.3,0.262,100,4.17,rain,0,0,37.1,24.5,346.2,1023.1,56.8,16,148.1,8.6,5,60,2022-01-10T07:19:30,2022-01-10T17:46:57,0.26,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"72205312841,72205712854,D4166,72205012815,KISM,KORL,KMCO"
